N	4gram	Vygotskiy_	Mirosoze
1	и вместе с тем	3	5
2	в то время как	3	4
3	не что иное как	1	4
4	одна и та же	2	3
5	одной и той же	3	3
6	в том что он	3	3
7	так же как и	1	3
8	все более и более	4	2
9	что до сих пор	2	1
10	в том смысле что	1	1
11	и в самом деле	14	1
12	в том случае если	4	1
13	то время как у	1	1
14	и мы увидим что	1	1
15	указывает на то что	3	1
16	что в то время	1	1
17	чтобы открыть что в	1	1
18	к нему и много	1	1
19	том что он не	2	1
20	не иное что как	1	1
21	с тем что в	1	1
22	имеет совершенно другой смысл	1	1
23	она не может жить	1	1
24	до сих пор не	1	1
25	в том что оно	1	1
