N	2gram	Tiupa_Hudo	Formalny
1	и в	34	95
2	т е	6	94
3	и не	15	78
4	может быть	12	66
5	в этом	22	61
6	не может	10	57
7	вовсе не	2	53
8	и его	8	51
9	так и	19	50
10	точки зрения	7	47
11	в нем	5	42
12	в его	17	42
13	прежде всего	12	41
14	с точки	5	40
15	как и	16	39
16	и т	15	37
17	в самом	7	35
18	не в	16	35
19	а не	23	34
20	но и	13	33
21	то же	14	32
22	самом деле	6	32
23	не только	22	30
24	в пределах	4	28
25	в том	24	26
26	отнюдь не	4	26
27	если бы	7	26
28	то что	13	25
29	при этом	21	24
30	в своей	15	24
31	лишь в	5	24
32	на самом	2	24
33	было бы	8	23
34	связи с	4	23
35	в ней	6	23
36	в то	12	22
37	и ее	3	22
38	и с	10	21
39	что в	8	21
40	как бы	11	21
41	между ними	2	20
42	с тем	1	20
43	не менее	9	20
44	входит в	1	20
45	как мы	5	20
46	и от	6	20
47	же время	11	20
48	место в	3	20
49	в их	2	20
50	по себе	3	19
51	художественное произведение	1	19
52	хотя бы	2	19
53	т д	5	19
54	не могут	1	19
55	все это	2	19
56	все же	5	18
57	в связи	3	18
58	т п	10	18
59	только в	8	18
60	и все	10	18
61	с его	9	18
62	все эти	4	18
63	как раз	7	17
64	как в	11	17
65	во всяком	1	16
66	с другой	4	16
67	так же	3	16
68	всяком случае	1	16
69	в искусстве	1	16
70	совершенно не	1	16
71	потому что	7	16
72	именно в	9	15
73	все время	2	15
74	должно быть	2	15
75	с другими	2	15
76	его в	5	15
77	бы в	2	15
78	во всех	2	15
79	и на	6	15
80	так как	2	15
81	но в	6	15
82	в литературе	3	15
83	в жизни	9	14
84	только на	6	14
85	в своем	9	14
86	в ее	16	14
87	в этой	11	14
88	что он	14	14
89	вместе с	2	14
90	еще не	10	14
91	произведения и	2	14
92	и потому	3	14
93	жизни и	10	14
94	в целом	2	14
95	в результате	2	13
96	тем что	6	13
97	настоящее время	1	13
98	что и	3	13
99	ни в	5	13
100	как его	3	13
101	могут быть	1	13
102	независимо от	1	13
103	как таковой	1	13
104	для них	1	13
105	сводится к	7	13
106	со стороны	6	13
107	что же	4	13
108	до конца	3	13
109	в настоящее	1	13
110	того что	5	13
111	как ее	1	13
112	она не	6	13
113	а в	11	13
114	там где	2	12
115	уже не	12	12
116	к тому	11	12
117	в действительности	5	12
118	по отношению	15	12
119	как это	8	12
120	и здесь	1	12
121	того чтобы	6	12
122	и для	5	12
123	отношению к	15	12
124	в корне	1	11
125	никогда не	8	11
126	что они	4	11
127	так сказать	3	11
128	то ни	2	11
129	между тем	14	11
130	литературного произведения	1	11
131	литературы в	1	11
132	они не	2	11
133	это и	2	11
134	для него	15	11
135	этом отношении	4	11
136	в основе	3	11
137	в общем	1	11
138	но не	7	11
139	слова и	1	11
140	не как	3	10
141	другой стороны	1	10
142	в своих	4	10
143	в первом	2	10
144	в художественном	6	10
145	в дальнейшем	2	10
146	раз и	2	10
147	бы то	1	10
148	не было	8	10
149	здесь и	1	10
150	он не	8	10
151	если же	1	10
152	главным образом	1	10
153	с ее	7	10
154	как о	3	10
155	в слове	1	10
156	не является	1	10
157	и теперь	1	10
158	друг друга	5	10
159	формы и	1	10
160	и др	1	10
161	мы не	2	10
162	по существу	1	10
163	и как	1	10
164	на фоне	5	10
165	не о	3	10
166	еще более	1	9
167	и даже	4	9
168	говорить о	4	9
169	не могло	2	9
170	мы знаем	4	9
171	но ведь	2	9
172	в каждом	1	9
173	совсем не	1	9
174	литературы и	1	9
175	или иного	4	9
176	отношения к	1	9
177	в свою	1	9
178	и до	1	9
179	здесь не	2	9
180	но это	2	9
181	ничего не	11	9
182	и к	6	8
183	в них	3	8
184	в данном	3	8
185	одной стороны	4	8
186	была бы	3	8
187	с одной	4	8
188	ясно что	2	8
189	же как	4	8
190	между собой	1	8
191	в сторону	2	8
192	в других	4	8
193	сих пор	3	8
194	из этого	1	8
195	всех этих	1	8
196	до сих	3	8
197	что это	2	8
198	с этим	3	8
199	роль в	2	8
200	на основе	2	8
201	не должна	1	8
202	это не	12	8
203	не следует	2	8
204	для того	3	8
205	в области	1	8
206	можно говорить	1	7
207	же и	3	7
208	его от	1	7
209	более или	1	7
210	в художественную	1	7
211	но все	2	7
212	становится в	1	7
213	является для	1	7
214	свою очередь	1	7
215	сказать что	3	7
216	установка на	1	7
217	что именно	1	7
218	к этому	1	7
219	вот как	1	7
220	в сущности	2	7
221	из них	5	7
222	время в	1	7
223	говорит в	2	7
224	от этого	2	7
225	смысл и	1	7
226	в себе	19	7
227	столь же	6	7
228	бы быть	1	7
229	искусства в	1	7
230	в особенности	1	7
231	во втором	2	7
232	не на	1	7
233	сами по	1	7
234	жизни в	12	7
235	том что	31	7
236	что бы	2	7
237	чем же	2	7
238	известной степени	1	7
239	высшей степени	2	7
240	ничем не	3	7
241	в первый	2	7
242	он и	2	7
243	и более	2	7
244	в какой	1	7
245	или менее	1	7
246	в одной	3	7
247	того или	4	7
248	стороны и	1	7
249	как к	4	7
250	в высшей	1	7
251	и только	2	7
252	произведения а	1	6
253	в этих	7	6
254	как она	3	6
255	например в	3	6
256	их в	2	6
257	при таком	1	6
258	отличается от	1	6
259	о том	21	6
260	художественного восприятия	2	6
261	он был	1	6
262	мы полагаем	1	6
263	жизнь и	2	6
264	только не	3	6
265	по преимуществу	6	6
266	от его	1	6
267	именно так	2	6
268	и других	1	6
269	в которой	2	6
270	но для	1	6
271	в конце	5	6
272	и это	7	6
273	в смысле	1	6
274	на этом	5	6
275	и тем	2	6
276	от нее	2	6
277	один из	6	6
278	они и	2	6
279	его с	1	6
280	на ее	3	6
281	с ним	6	6
282	ее и	2	6
283	в плоскости	1	6
284	к его	1	6
285	его и	2	6
286	из этих	3	6
287	в произведении	1	6
288	художественных произведений	1	6
289	именно на	2	6
290	в направлении	1	6
291	нет и	2	6
292	той же	3	6
293	не из	1	6
294	данном случае	3	6
295	уже в	2	6
296	полагаем что	1	6
297	так в	2	6
298	нисколько не	1	6
299	особенно в	3	6
300	его не	1	6
301	не по	2	6
302	в частности	10	6
303	тем самым	2	6
304	отношение к	3	6
305	такой же	3	6
306	тому что	8	6
307	с этой	3	5
308	даже в	4	5
309	в виду	1	5
310	в рамки	1	5
311	значительной степени	3	5
312	в мире	10	5
313	можно сказать	9	5
314	в котором	5	5
315	вопрос о	2	5
316	из виду	1	5
317	как на	2	5
318	в нашем	2	5
319	к которому	1	5
320	как от	2	5
321	конструктивный принцип	1	5
322	в литературоведении	1	5
323	она есть	1	5
324	характерно что	4	5
325	к нему	2	5
326	всего в	1	5
327	то в	6	5
328	на язык	1	5
329	не останется	1	5
330	хотя и	3	5
331	не столько	4	5
332	что не	4	5
333	учения о	1	5
334	а только	4	5
335	могло бы	1	5
336	мы уже	7	5
337	и что	3	5
338	не могла	4	5
339	этом смысле	1	5
340	в поэтической	1	5
341	друг другу	1	5
342	и по	3	5
343	а как	2	5
344	в него	2	5
345	если в	4	5
346	в отношении	1	5
347	функции в	1	5
348	что оно	1	5
349	ни о	3	5
350	даже не	1	5
351	может стать	1	5
352	подхода к	1	5
353	приводит к	5	5
354	не имеет	2	5
355	да и	5	5
356	роли в	2	5
357	ни на	2	5
358	то он	1	5
359	бы и	2	5
360	то и	5	5
361	в значительной	3	5
362	слов и	1	5
363	а лишь	1	5
364	как например	2	5
365	в отличие	1	5
366	одной из	5	5
367	до известной	1	5
368	к предмету	1	5
369	в самой	2	5
370	и то	2	5
371	к социальной	1	5
372	тому чтобы	1	5
373	для нас	4	5
374	в широком	1	5
375	однако не	1	5
376	непосредственно в	1	5
377	а о	2	5
378	и эта	3	5
379	виду что	1	5
380	по теории	2	5
381	в такой	2	5
382	в условиях	1	5
383	отличие от	1	5
384	тому как	4	5
385	мы должны	1	5
386	таким же	1	5
387	еще в	4	5
388	от того	1	5
389	одного из	1	5
390	произведения не	4	5
391	по аналогии	1	5
392	слова в	2	5
393	же в	3	5
394	все более	1	5
395	может и	3	5
396	что было	3	4
397	от него	3	4
398	и другие	5	4
399	к этой	4	4
400	ни стало	1	4
401	литературном произведении	1	4
402	не являются	1	4
403	все дело	1	4
404	к другим	1	4
405	является не	1	4
406	только как	1	4
407	глава первая	1	4
408	превращается в	6	4
409	самого начала	1	4
410	себе в	2	4
411	на него	3	4
412	одна из	4	4
413	едва ли	6	4
414	все в	2	4
415	влияние на	2	4
416	тем не	7	4
417	в годы	1	4
418	в таком	3	4
419	конце концов	1	4
420	между этими	1	4
421	понятий и	1	4
422	в целях	1	4
423	в лучшем	1	4
424	не будет	1	4
425	соединении с	1	4
426	или иное	1	4
427	могла бы	2	4
428	истории и	1	4
429	среды и	1	4
430	он в	2	4
431	что для	1	4
432	нам кажется	1	4
433	слова как	2	4
434	и чем	1	4
435	чтобы не	3	4
436	в романе	1	4
437	однако и	5	4
438	та же	5	4
439	в последнем	1	4
440	героя в	2	4
441	оно было	2	4
442	романа в	3	4
443	подобно тому	4	4
444	вместо того	2	4
445	это время	2	4
446	установкой на	3	4
447	к другому	5	4
448	произведение искусства	1	4
449	идет о	3	4
450	наконец в	2	4
451	со всей	2	4
452	отношении к	1	4
453	нем и	1	4
454	данного произведения	1	4
455	более и	1	4
456	знаем что	2	4
457	между людьми	1	4
458	тот или	1	4
459	но именно	3	4
460	для всего	3	4
461	в литературном	2	4
462	и о	8	4
463	они были	2	4
464	он должен	1	4
465	сам он	3	4
466	не для	1	4
467	о нем	4	4
468	реальной действительности	1	4
469	или в	3	4
470	или иначе	3	4
471	в поэтике	1	4
472	лишь с	1	4
473	или даже	2	4
474	один и	2	4
475	глава вторая	1	4
476	ценностный центр	1	4
477	и тех	3	4
478	с самого	1	4
479	и притом	1	4
480	но при	3	4
481	тех же	2	4
482	как он	4	4
483	же что	1	4
484	к ней	2	4
485	и тогда	2	4
486	б м	2	4
487	пределах одного	1	3
488	к сожалению	1	3
489	для всех	1	3
490	не видели	1	3
491	дело с	2	3
492	время не	1	3
493	остановиться на	1	3
494	самом же	1	3
495	в одном	3	3
496	из ее	1	3
497	в предыдущей	3	3
498	ни одна	2	3
499	из всего	1	3
500	а именно	1	3
501	за ней	2	3
502	в это	4	3
503	на первый	1	3
504	связано с	1	3
505	во все	1	3
506	в противовес	2	3
507	в пределе	2	3
508	действительности как	1	3
509	ничто не	1	3
510	не всегда	1	3
511	это было	2	3
512	сознания в	2	3
513	из себя	1	3
514	но они	1	3
515	в различных	1	3
516	ни одного	1	3
517	к нулю	1	3
518	ней и	1	3
519	в контексте	2	3
520	том чтобы	2	3
521	следующим образом	3	3
522	друг с	1	3
523	в системе	2	3
524	точка зрения	1	3
525	не происходит	1	3
526	еще одну	1	3
527	и понять	1	3
528	и читатель	2	3
529	внимание на	3	3
530	а и	2	3
531	поэзии в	1	3
532	что при	3	3
533	в качестве	13	3
534	и через	1	3
535	но как	3	3
536	системы и	1	3
537	этими двумя	1	3
538	лежит в	1	3
539	не была	3	3
540	но он	3	3
541	роль социальной	1	3
542	не нуждается	1	3
543	быть только	2	3
544	и исторической	1	3
545	же касается	2	3
546	в чем	1	3
547	и своей	1	3
548	этой плоскости	1	3
549	не сводится	1	3
550	от характера	1	3
551	не дает	1	3
552	не связанных	1	3
