N	4gram	Tiupa_Anal	Komedia
1	в то же время	7	16
2	бы то ни было	3	7
3	обращает на себя внимание	3	7
4	и в самом деле	1	7
5	не говоря уже о	1	6
6	в том что он	2	4
7	один и тот же	1	3
8	и там и здесь	1	3
9	в том числе и	1	3
10	и к тому же	2	3
11	состоит в том что	6	2
12	с этой точки зрения	2	2
13	к тому же не	1	2
14	в тех случаях когда	1	2
15	на себя внимание что	1	2
16	мы имеем в виду	1	2
17	той мере в какой	2	1
18	по поводу того что	1	1
19	каков бы ни был	1	1
20	то же время он	1	1
21	не что иное как	5	1
22	ни в коем случае	2	1
23	и в этом случае	1	1
24	если бы он был	1	1
25	в этом случае в	1	1
26	в той мере в	2	1
27	до тех пор пока	1	1
28	в той же мере	1	1
29	подобно тому как мы	1	1
30	выходит далеко за пределы	1	1
31	в литературе нового времени	1	1
32	в собственном смысле слова	1	1
33	тем не менее в	1	1
34	на себя внимание в	1	1
35	в том что именно	1	1
36	на этот раз не	1	1
37	только в том что	1	1
38	в самом деле не	1	1
39	как и вся его	1	1
40	то же самое что	1	1
41	едва ли не в	1	1
42	несмотря на то что	1	1
43	одного и того же	2	1
44	в том же году	1	1
45	в ответ на слова	1	1
46	не следует упускать из	1	1
47	в том случае если	1	1
48	не следует думать что	1	1
49	по отношению ко всем	1	1
50	в самом его конце	1	1
51	одна и та же	1	1
52	не выходят за пределы	1	1
53	мы имеем дело с	4	1
