N	3gram	Bakhtin_Fr	TeoriaLi
1	в том что	6	10
2	по отношению к	2	10
3	в то же	5	8
4	то же время	5	8
5	в отличие от	4	7
6	того или иного	1	6
7	с другой стороны	1	6
8	не может быть	5	5
9	так и не	3	5
10	для того чтобы	2	5
11	той или иной	5	3
12	с точки зрения	6	3
13	имеем в виду	2	3
14	в том числе	10	3
15	можно сказать что	3	3
16	подобно тому как	2	3
17	по своей природе	1	3
18	тех или иных	1	3
19	мы имеем в	1	3
20	в связи с	1	3
21	с одной стороны	2	3
22	в этой системе	1	2
23	но он не	1	2
24	в узком значении	1	2
25	так и его	2	2
26	до известной степени	2	2
27	при этом что	2	2
28	как и в	1	2
29	в самом деле	1	2
30	во внешнем мире	1	2
31	в самом начале	1	2
32	лишь в самом	1	2
33	включает в себя	3	2
34	в отношении к	1	2
35	но в то	2	2
36	том числе и	7	2
37	и в то	2	2
38	том что он	1	2
39	не только не	1	2
40	не могут быть	2	2
41	в известном смысле	1	2
42	в значительной степени	4	2
43	в основе своей	2	2
44	может быть названо	1	2
45	в той или	5	1
46	века и в	3	1
47	лично для себя	1	1
48	то есть для	2	1
49	все то что	1	1
50	то есть в	5	1
51	и др в	2	1
52	но прежде всего	3	1
53	языка но и	1	1
54	языка на котором	1	1
55	и его эстетической	1	1
56	и прежде всего	4	1
57	карнавал переживаемый в	1	1
58	это по преимуществу	1	1
59	отдельности и в	1	1
60	переживаемый в одиночку	1	1
61	которая характерна для	1	1
62	за пределы всего	1	1
63	в большинстве случаев	2	1
64	к однозначности и	1	1
65	но дело в	1	1
66	в себя и	1	1
67	и теперь в	1	1
68	говорит в частности	1	1
69	о том что	3	1
70	в xix веке	2	1
71	то или иное	1	1
72	бы они ни	1	1
73	в свое время	5	1
74	в себе и	2	1
75	как бы в	1	1
76	в целом ряде	2	1
77	фамильярный контакт между	1	1
78	человека с его	1	1
79	в последующих частях	1	1
80	одиночку с острым	1	1
81	к которому впервые	1	1
82	и такие специфические	1	1
83	друг от друга	1	1
84	в настоящее время	1	1
85	умения отрешиться от	1	1
86	в основе его	2	1
87	о мире и	3	1
88	в одной из	1	1
89	отношений между людьми	1	1
90	того что не	1	1
91	по преимуществу ночной	1	1
92	речь идет не	1	1
93	типа так в	1	1
94	серьезного отношения к	1	1
95	но в нашем	1	1
96	начало и конец	2	1
97	дело в том	2	1
98	в глаза в	1	1
99	для него не	1	1
100	в особенности в	1	1
101	именно потому что	1	1
102	и в частности	2	1
103	а между тем	1	1
104	а и в	1	1
105	и здесь мы	1	1
106	в одиночку с	1	1
107	в первую очередь	1	1
108	содержит в себе	2	1
109	как раз в	1	1
110	нет в его	1	1
111	это особого рода	1	1
112	однако и в	1	1
113	бы карнавал переживаемый	1	1
114	это уже не	3	1
115	по ту сторону	1	1
116	и вся она	1	1
117	в этом случае	1	1
118	можно говорить о	1	1
119	во всей своей	1	1
120	к тому же	1	1
121	не только на	1	1
122	как бы карнавал	1	1
123	контакт между всеми	1	1
124	вольный фамильярный контакт	1	1
125	в новое время	4	1
126	же время эти	1	1
127	не входит в	2	1
128	мы нигде не	1	1
129	между тем в	1	1
130	особое отношение к	1	1
131	на время в	1	1
132	подчеркнуть при этом	1	1
133	именно эта сторона	1	1
134	только то что	1	1
135	в узком и	1	1
136	между всеми людьми	1	1
137	таким образом и	1	1
138	этой своей отъединенности	1	1
139	имея в виду	1	1
140	отношения к миру	1	1
141	а затем в	1	1
142	можно даже сказать	1	1
143	в частности с	1	1
144	в области литературы	2	1
