N	3gram	Tiupa_Vved	RusskieA
1	в том что	10	49
2	состоит в том	2	29
3	тем не менее	3	14
4	в этом случае	1	12
5	о том что	6	10
6	в том чтобы	2	9
7	для того чтобы	1	8
8	в данном случае	15	8
9	но это не	1	8
10	подобно тому как	3	8
11	в настоящее время	1	7
12	как мы увидим	1	7
13	состояла в том	1	7
14	мы не можем	1	7
15	не может быть	6	6
16	как мы видели	3	6
17	так же как	1	6
18	в связи с	1	5
19	к тому что	1	5
20	не что иное	1	4
21	в отличие от	11	4
22	в этих случаях	2	4
23	что иное как	1	4
24	можно было бы	2	4
25	во всяком случае	3	4
26	по отношению к	11	3
27	по своему происхождению	1	3
28	более или менее	2	3
29	же как и	1	3
30	мы не имеем	1	3
31	в свою очередь	5	3
32	на то что	2	3
33	здесь мы имеем	1	3
34	все же не	1	3
35	у нас нет	2	3
36	о том как	1	2
37	мы увидим ниже	1	2
38	в е годы	1	2
39	может быть только	1	2
40	том что на	1	2
41	умирающего и воскресающего	1	2
42	с другой стороны	2	2
43	к этому времени	1	2
44	пока еще не	4	2
45	в евгении онегине	1	2
46	к себе в	1	2
47	не связаны с	1	2
48	каждый из этих	1	2
49	сближает его с	1	2
50	как и в	2	2
51	можно сказать что	1	2
52	в этом и	1	2
53	на самом деле	4	2
54	иметь в виду	1	2
55	ни одна из	1	2
56	в равной степени	1	2
57	не только в	3	2
58	и в этом	1	2
59	одна из них	1	2
60	с одной стороны	9	2
61	в этом отношении	7	2
62	в одном и	1	1
63	в том же	1	1
64	принадлежат к числу	1	1
65	мы должны были	1	1
66	как будто бы	3	1
67	но и по	1	1
68	земле и о	1	1
69	не могло бы	1	1
70	дело не только	1	1
71	она состоит в	1	1
72	как и вообще	1	1
73	но в этот	1	1
74	не говорится о	1	1
75	в этом ряду	2	1
76	о любви и	1	1
77	и по своим	1	1
78	в город с	1	1
79	на основе которой	1	1
80	потому что она	1	1
81	только потому что	1	1
82	все то что	1	1
83	в таком случае	1	1
84	одного и того	1	1
85	но не только	1	1
86	не непосредственно а	1	1
87	может быть не	3	1
88	но в данном	2	1
89	здесь не в	1	1
90	по аналогии с	2	1
91	тому же в	1	1
92	в своем роде	2	1
93	быть не только	1	1
94	к наиболее архаическим	1	1
95	к тому же	6	1
96	из них не	1	1
97	и того же	1	1
98	есть на самом	1	1
99	при этом он	1	1
100	но в особенности	1	1
101	то же самое	2	1
102	не входит в	2	1
103	по своим формам	1	1
104	то что и	1	1
105	имея в виду	1	1
106	в значительной степени	2	1
107	и потому не	1	1
108	ни о каких	1	1
109	собой не что	1	1
110	не в духе	1	1
111	в одном из	1	1
112	о которой говорилось	1	1
113	он обращается к	1	1
114	только по отношению	1	1
115	этом и состоит	1	1
116	к празднику рождества	1	1
117	судя по всему	1	1
118	в противном случае	2	1
119	но и в	3	1
120	как он полагал	1	1
121	с нею по	1	1
122	к новой жизни	1	1
123	не до конца	1	1
124	но в целом	1	1
125	с того что	2	1
126	но не всегда	1	1
127	не означает что	1	1
128	при этом не	2	1
129	потому что на	1	1
130	в нашем сознании	2	1
131	может быть вполне	1	1
132	из того что	1	1
133	хотя и не	2	1
134	дело в том	1	1
135	которой говорилось выше	1	1
136	них как бы	1	1
137	и та же	1	1
138	как и все	1	1
139	что она в	1	1
140	значения и смысла	1	1
141	объясняется тем что	1	1
142	и это не	1	1
143	как одна из	1	1
144	ничего не говорится	1	1
145	у него нет	1	1
146	одна и та	1	1
147	на первый взгляд	3	1
148	тогда как в	2	1
149	оно связано с	1	1
150	в ряде случаев	1	1
151	представляет собой очень	1	1
152	это и есть	1	1
153	не мог быть	1	1
154	в основе своей	2	1
