N	2gram	Losev_Prob	Sotsiolo
1	все это	8	7
2	в том	25	5
3	в этом	31	5
4	не только	28	3
5	не в	16	3
6	и в	48	3
7	и только	4	3
8	в его	19	3
9	для нас	14	3
10	литературы и	1	2
11	что в	12	2
12	ведь это	1	2
13	то что	26	2
14	таким образом	20	2
15	том что	29	2
16	или даже	4	2
17	дело не	1	2
18	как бы	10	2
19	в результате	11	2
20	было бы	12	2
21	как будто	9	2
22	в смысле	8	2
23	в частности	5	2
24	и мы	1	2
25	по природе	1	2
26	нужно было	1	2
27	но и	21	2
28	конце концов	7	2
29	может быть	11	2
30	по существу	2	2
31	главным образом	1	2
32	и что	9	2
33	это и	4	2
34	за пределы	1	2
35	по отношению	2	2
36	в конце	10	2
37	как только	1	2
38	отношению к	2	2
39	далеко не	6	2
40	тем более	2	2
41	только в	21	2
42	только как	1	2
43	то же	6	2
44	еще не	4	2
45	как то	1	1
46	а в	8	1
47	что он	12	1
48	художественных произведений	1	1
49	столь же	1	1
50	даже в	2	1
51	науки о	1	1
52	в таких	2	1
53	в силу	6	1
54	это значит	3	1
55	что эти	1	1
56	все эти	12	1
57	не было	4	1
58	когда мы	1	1
59	развития и	2	1
60	связи с	11	1
61	данное дерево	1	1
62	точке зрения	2	1
63	не мешает	2	1
64	в своей	29	1
65	во всяком	7	1
66	и ценное	1	1
67	в мире	1	1
68	и потому	4	1
69	все же	12	1
70	что это	4	1
71	еще и	6	1
72	по крайней	8	1
73	с другой	8	1
74	ни на	2	1
75	мы понимаем	1	1
76	мы должны	1	1
77	результате его	1	1
78	художественный стиль	1	1
79	с ним	4	1
80	право на	1	1
81	между тем	2	1
82	и более	3	1
83	но как	3	1
84	в этой	14	1
85	время в	2	1
86	из себя	1	1
87	в свои	2	1
88	и его	11	1
89	перейти к	3	1
90	ли не	2	1
91	развитие по	1	1
92	нашей работы	1	1
93	никак не	10	1
94	в данном	6	1
95	на все	1	1
96	только для	5	1
97	в области	3	1
98	и по	2	1
99	их на	1	1
100	с помощью	2	1
101	же самое	2	1
102	один из	2	1
103	так и	15	1
104	только тогда	3	1
105	в то	6	1
106	слишком много	1	1
107	слова но	2	1
108	в котором	5	1
109	те же	1	1
110	на следующий	1	1
111	именно на	2	1
112	не выходит	1	1
113	него и	2	1
114	обходится без	1	1
115	должно было	1	1
116	же это	1	1
117	отнюдь не	14	1
118	и не	29	1
119	в имманентном	1	1
120	но она	1	1
121	всяком случае	6	1
122	он ни	1	1
123	хотелось бы	5	1
124	том как	2	1
125	настоящее время	7	1
126	или нет	1	1
127	и о	9	1
128	это вовсе	1	1
129	вступает в	1	1
130	но не	12	1
131	они не	3	1
132	на точке	1	1
133	в те	2	1
134	в него	1	1
135	в цельном	1	1
136	поэтической формы	1	1
137	этой области	1	1
138	для этого	2	1
139	прежде всего	15	1
140	тем что	2	1
141	что она	2	1
142	тем же	4	1
143	в каждом	2	1
144	в чем	3	1
145	а с	4	1
146	же не	4	1
147	но только	5	1
148	и будет	1	1
149	тех кто	1	1
150	мы думаем	1	1
151	в сущности	1	1
152	он говорит	2	1
153	его в	9	1
154	не от	1	1
155	в наше	1	1
156	зависит от	1	1
157	представляется нам	1	1
158	крайней мере	8	1
159	тотчас же	2	1
160	между собою	2	1
161	ни были	1	1
162	я и	1	1
163	вовсе не	18	1
164	даже не	1	1
165	против этого	1	1
166	с одной	5	1
167	и наконец	4	1
168	конечно не	2	1
169	о том	17	1
170	мы не	7	1
171	тому что	2	1
172	в заключение	3	1
173	но именно	2	1
174	мысли в	2	1
175	наше время	1	1
176	в этих	3	1
177	сама по	2	1
178	у него	13	1
179	по себе	5	1
180	на отдельные	1	1
181	на первый	1	1
182	не место	1	1
183	без этого	1	1
184	перед нами	14	1
185	из тех	3	1
186	и никак	2	1
187	хотя бы	11	1
188	же время	1	1
189	что на	1	1
190	это не	8	1
191	чуть ли	1	1
192	одной стороны	5	1
193	в связи	11	1
194	бы в	2	1
195	и должно	1	1
196	работы в	1	1
197	стало быть	1	1
198	в виде	25	1
199	в настоящее	7	1
200	именно в	11	1
201	никогда не	7	1
202	голова его	1	1
203	и есть	4	1
204	не может	6	1
205	и как	10	1
206	что все	1	1
207	литературе мы	2	1
208	случае только	1	1
209	не без	1	1
210	как и	10	1
211	ничего не	3	1
212	в них	5	1
