N	3gram	Bakhtin_Fr	Otkroven
1	к человеку и	1	4
2	для того чтобы	2	3
3	в нем нет	1	3
4	в самой глубине	1	3
5	не могут быть	2	2
6	и в самой	1	2
7	не может быть	5	2
8	человека в его	1	2
9	но и в	5	2
10	в самом начале	1	1
11	в самой жизни	1	1
12	о человеке которая	1	1
13	но от этого	1	1
14	так и не	3	1
15	в одном месте	1	1
16	о том что	3	1
17	я имею в	1	1
18	в том что	6	1
19	в обычном смысле	1	1
20	друг с другом	2	1
21	ни с кем	1	1
22	в нем все	1	1
23	одно из самых	1	1
24	и он всегда	1	1
25	нем нет ничего	1	1
26	и он не	1	1
27	еще одну особенность	1	1
28	как и в	1	1
29	в самом деле	1	1
30	во всяком случае	2	1
31	имею в виду	1	1
32	он еще не	1	1
33	эпоху возрождения но	1	1
34	бросается в глаза	1	1
35	в другом месте	2	1
36	как бы в	1	1
37	и человеческих отношений	1	1
38	в эпоху возрождения	4	1
39	и прежде всего	4	1
40	в этом отношении	5	1
41	и все это	1	1
42	в этой отрицательной	1	1
43	по сравнению с	2	1
44	гюго диккенса и	1	1
45	потому что в	1	1
46	на то что	1	1
47	в строгом смысле	1	1
48	прежде всего в	1	1
49	он говорит в	1	1
50	и в том	2	1
51	человека и человеческих	1	1
52	нужно отметить что	2	1
53	даже и в	4	1
54	и не может	2	1
55	от всех тех	1	1
