N	3gram	Tiupa_Narr	FransuaR
1	то же время	3	55
2	в то же	3	55
3	как мы уже	1	28
4	в том что	8	27
5	в том числе	6	27
6	до сих пор	1	27
7	с точки зрения	2	20
8	в этом отношении	3	20
9	том числе и	4	17
10	о том что	6	17
11	в связи с	2	16
12	как мы видели	1	16
13	то есть в	2	15
14	и прежде всего	1	14
15	не может быть	5	13
16	дело в том	1	13
17	с одной стороны	7	13
18	на самом деле	1	13
19	а также и	1	12
20	и в то	1	12
21	с другой стороны	4	12
22	все то что	1	11
23	в отличие от	5	11
24	можно сказать что	4	11
25	в той или	2	10
26	той или иной	4	10
27	как и в	1	10
28	до наших дней	1	10
29	в данном случае	4	10
30	в значительной степени	2	10
31	не только в	2	10
32	по отношению к	6	9
33	так и в	1	9
34	до известной степени	1	9
35	в свое время	1	9
36	существенную роль в	1	9
37	более или менее	2	8
38	и др в	1	8
39	на протяжении всего	1	8
40	в самом деле	1	7
41	включает в себя	1	7
42	можно было бы	2	7
43	прежде всего в	1	7
44	в отрыве от	1	7
45	подобно тому как	2	7
46	не подлежит сомнению	1	7
47	во всех его	1	6
48	или иной форме	1	6
49	к тому же	4	6
50	и в особенности	1	6
51	но все же	4	6
52	в свою очередь	3	6
53	некоторые из них	1	5
54	друг с другом	1	5
55	то же самое	1	5
56	и до наших	1	5
57	и тот же	1	5
58	между вещами и	1	5
59	в том же	1	5
60	в первом случае	2	5
61	только то что	1	5
62	между жизнью и	1	5
63	жизнью и смертью	1	5
64	в этой системе	1	5
65	в основе своей	4	5
66	том что в	1	4
67	здесь не в	2	4
68	и т.п то	1	4
69	так же как	2	4
70	и то что	1	4
71	как мы увидим	1	4
72	в году в	1	4
73	может быть и	1	4
74	точку зрения на	1	4
75	в нем не	1	4
76	один и тот	1	4
77	же время в	1	4
78	и как бы	1	3
79	или иной степени	1	3
80	он видит в	1	3
81	друг от друга	1	3
82	и того же	1	3
83	не входит в	1	3
84	но в его	1	3
85	но это не	1	3
86	дело здесь не	1	3
87	все же не	4	3
88	содержит в себе	1	3
89	третьей и четвертой	1	3
90	мы уже отмечали	1	3
91	в этом смысле	1	3
92	особое отношение к	1	3
93	одного и того	1	3
94	тех или иных	1	3
95	а с другой	1	3
96	и не в	4	3
97	есть не что	1	3
98	здесь как и	1	3
99	бы то ни	3	3
100	как своего рода	1	3
101	так и не	2	3
102	не что иное	2	3
103	с таким же	1	3
104	что иное как	2	3
105	они свидетельствуют о	1	2
106	в том или	2	2
107	в себя и	2	2
108	они и не	1	2
109	при этом что	1	2
110	в первый раз	1	2
111	не представляется возможным	1	2
112	большую или меньшую	1	2
113	сам по себе	1	2
114	из них в	1	2
115	он не мог	1	2
116	людей так и	1	2
117	далеко не все	1	2
118	оно и не	1	2
119	то ни было	3	2
120	на другой день	2	2
121	ни для кого	1	2
122	то что он	1	2
123	самым существенным образом	1	2
124	между людьми и	1	2
125	дело не с	1	2
126	в том чтобы	1	2
127	да и в	1	2
128	в особенности его	1	2
129	но уже в	1	2
130	по своей природе	1	2
131	так и его	1	2
132	но и там	1	2
133	но от этого	1	2
134	он еще не	1	2
135	том или ином	2	2
136	в конечном счете	2	2
137	так и от	1	2
138	может быть только	1	2
139	но по существу	1	2
140	картины мира и	1	2
141	в известном смысле	2	2
142	в какой-то мере	1	2
143	же время они	1	2
144	не имеет значения	1	2
145	существенно связаны с	1	2
146	какой бы то	1	2
147	и не было	1	2
148	ни на что	1	2
149	и с точки	1	2
150	то что было	1	2
151	на что не	1	2
152	том что он	1	2
153	же как и	1	2
154	не могло не	1	2
155	отношению к которому	2	1
156	а в той	1	1
157	прошлого и будущего	1	1
158	в соответствии с	1	1
159	человека с его	1	1
160	один из них	1	1
161	в неразрывное единство	1	1
162	лишь одной из	1	1
163	здесь мы касаемся	1	1
164	в этом ряду	2	1
165	лично для себя	1	1
166	там и тогда	1	1
167	в области художественной	1	1
168	что не имеет	1	1
169	далеко не всегда	1	1
170	умения отрешиться от	1	1
171	начала и конца	1	1
172	как будто он	3	1
173	жизни а также	1	1
174	и должна быть	1	1
175	прежде всего к	1	1
176	нем не только	1	1
177	и тем самым	3	1
178	тому же принципу	1	1
179	что именно в	1	1
180	со смертью в	1	1
181	с этого момента	1	1
182	понимания не только	1	1
183	об этом свидетельствует	1	1
184	всех его разнообразных	1	1
185	что никогда не	1	1
186	уже более не	1	1
187	может и не	1	1
188	все те же	4	1
189	мира но не	1	1
190	том что у	1	1
191	и строго отграниченная	1	1
192	никогда не бывает	1	1
193	на том свете	2	1
194	как и для	1	1
195	как это было	1	1
196	он не может	1	1
197	тому или другому	1	1
198	и во второй	1	1
199	к тому чтобы	1	1
200	от друга в	1	1
201	и в заключительном	1	1
202	тем более что	1	1
203	было для нас	1	1
204	хотя они и	1	1
205	одной из этих	1	1
206	тех кто не	1	1
207	то или иное	2	1
208	пространства и времени	1	1
209	во всей его	1	1
210	что каждый из	1	1
211	области художественной литературы	1	1
212	в первую очередь	1	1
213	что нет у	2	1
214	низа и верха	1	1
215	но и самого	1	1
216	вовсе и не	1	1
217	а в особенности	1	1
218	в мире и	1	1
219	то есть к	1	1
220	что это за	1	1
221	в этом последнем	1	1
222	что у нее	1	1
223	что в этом	1	1
224	из них как	1	1
225	такого подхода к	1	1
226	именно это и	1	1
227	нового времени а	1	1
228	и не быть	1	1
229	бы он ни	1	1
230	в данном контексте	1	1
231	идет не только	1	1
232	это одно из	1	1
233	он ни был	1	1
234	независимо от того	1	1
235	из этих двух	1	1
236	тем не менее	3	1
237	в силу своей	1	1
238	содержащий в себе	1	1
239	и разнообразный мир	1	1
240	но именно это	1	1
241	в вечности и	1	1
242	что в отличие	1	1
243	что один из	1	1
244	сами по себе	2	1
245	только благодаря этому	1	1
246	в себе самом	1	1
247	между ними здесь	1	1
248	само по себе	1	1
249	тому же в	1	1
250	до нас в	1	1
251	какая бы то	1	1
252	не могло быть	1	1
253	не только о	2	1
254	состоит в том	3	1
255	в едином но	1	1
256	том что оно	1	1
257	своего рода ключом	1	1
258	смертью в той	1	1
259	никогда не было	1	1
260	хотя оно и	1	1
261	все без исключения	1	1
262	что на протяжении	1	1
263	или хотя бы	1	1
264	и придает ему	1	1
265	жизни то есть	1	1
266	о себе самом	1	1
267	а на другой	1	1
268	вещами и ценностями	1	1
269	а в историческом	1	1
270	по аналогии с	1	1
271	того или иного	2	1
272	в пределах литературы	1	1
273	к тому или	1	1
274	к нему в	1	1
275	в церкви и	1	1
276	и события но	1	1
277	в этом своем	1	1
278	картина мира где	1	1
279	к однозначности и	1	1
280	рода ключом к	1	1
281	к одному из	1	1
282	не в состоянии	1	1
283	у него под	1	1
284	а не как	1	1
285	при этом и	1	1
286	речь идет не	1	1
287	время в этой	1	1
288	из которых он	1	1
289	события так и	1	1
290	и какая бы	1	1
291	только потому что	1	1
292	речь идет о	2	1
293	то есть его	1	1
294	именно в том	2	1
295	есть прежде всего	1	1
296	и является в	1	1
297	входит в область	1	1
298	и при этом	1	1
299	и т.д в	1	1
300	на первый взгляд	2	1
301	в этом контексте	1	1
302	тогда как в	2	1
303	один из этих	1	1
