N	3gram	Vygotskiy_	UchenyiS
1	в конечном счете	4	4
2	не может быть	8	4
3	то ни было	1	3
4	с другой стороны	10	3
5	в этой области	1	3
6	бы то ни	1	3
7	в то же	2	3
8	то же время	2	3
9	по нашему мнению	1	3
10	и то что	1	2
11	на каждом шагу	2	2
12	в том что	30	2
13	в самом деле	5	2
14	не могут быть	1	2
15	до сих пор	4	2
16	хотя бы и	1	2
17	и в частности	3	2
18	в конце концов	1	2
19	то же самое	4	2
20	т.е в конечном	1	2
21	в этом отношении	6	2
22	по крайней мере	1	2
23	в этом смысле	3	2
24	во главу угла	1	1
25	элементы из которых	1	1
26	в первую очередь	3	1
27	у нас в	1	1
28	имеем в виду	1	1
29	друг с другом	6	1
30	сам по себе	3	1
31	же самое что	1	1
32	другой стороны в	1	1
33	должно быть по	1	1
34	которые могли бы	1	1
35	прежде всего что	1	1
36	не входит в	1	1
37	никогда не может	1	1
38	между тем в	1	1
39	он прежде всего	1	1
40	или по крайней	1	1
41	что мы можем	1	1
42	же время не	1	1
43	с тем что	1	1
44	большей или меньшей	1	1
45	одно из первых	1	1
46	превратилось бы в	1	1
47	с одной стороны	14	1
48	еще один пример	1	1
49	и с другой	1	1
50	можно сказать что	5	1
51	это не только	1	1
52	говорит он в	3	1
53	на первый план	3	1
54	вот почему в	1	1
55	не в том	1	1
56	бы в чистое	1	1
57	на то что	9	1
58	т.е то что	1	1
59	из первых мест	1	1
60	не только в	1	1
61	и в то	1	1
62	в данном случае	5	1
63	само по себе	3	1
64	мы имеем в	1	1
65	нам думается что	7	1
66	конечном счете оно	1	1
67	на одно из	1	1
68	чуждых друг другу	1	1
69	в течение многих	1	1
70	он пытается заменить	1	1
71	вот почему она	1	1
72	это было бы	1	1
