N	4gram	Vinokur_St	Istorich
1	в то время как	1	13
2	так же как и	1	9
3	совершенно так же как	1	8
4	точно так же как	1	6
5	и т д но	4	6
6	и т д в	1	5
7	и вместе с тем	1	5
8	с другой стороны и	1	5
9	и т д и	2	5
10	мы до сих пор	1	4
11	с другой же стороны	1	3
12	до сих пор не	1	3
13	так же как в	1	3
14	точно так же и	1	3
15	внимание на то что	1	3
16	дело не только в	1	3
17	бы то ни было	1	3
18	о том что в	1	3
19	в том что он	3	2
20	в том что и	1	2
21	в данном случае в	2	2
22	в том отношении что	2	2
23	уже после того как	2	2
24	но в том-то и	1	2
25	одно и то же	1	2
26	нет никакого сомнения что	1	2
27	в прямом смысле этого	1	2
28	ответ на этот вопрос	1	2
29	это не значит что	3	2
30	после того как он	1	2
31	дело в том что	7	2
32	за то что она	1	2
33	иметь в виду что	1	2
34	но это еще не	1	2
35	в том числе и	2	2
36	по отношению к своему	1	1
37	и т д как	1	1
38	в том-то и дело	2	1
39	к тому времени когда	1	1
40	вопрос о том что	1	1
41	во всяком случае не	2	1
42	в том смысле как	1	1
43	она не могла бы	1	1
44	на вопрос о том	1	1
45	в том что в	3	1
46	могут быть установлены только	1	1
47	надо сказать что в	1	1
48	с нашей точки зрения	1	1
49	и т д на	1	1
50	вовсе не в том	1	1
51	что он не может	1	1
52	ничего общего с этим	1	1
53	до сих пор в	1	1
54	свидетельствует о том что	1	1
55	заключается в том что	3	1
56	мысль о том что	1	1
57	том-то и дело что	1	1
58	ответ на вопрос о	2	1
59	его и т д	1	1
60	не менее вопрос о	1	1
61	надо иметь в виду	1	1
62	более или менее ясные	1	1
63	такую большую роль в	1	1
64	тем не менее и	1	1
65	во всяком случае в	2	1
66	а может быть даже	1	1
67	так же как у	1	1
68	к тому что в	1	1
69	представление о том как	1	1
70	не только в том	1	1
71	нет никаких сомнений что	1	1
72	в том смысле что	2	1
73	том отношении что они	2	1
74	тем не менее вопрос	1	1
75	одни и те же	1	1
76	в том что она	1	1
77	в зависимости от степени	1	1
78	но сами по себе	1	1
79	такое же значение как	1	1
80	между прочим и в	1	1
81	говоря уже о том	1	1
82	и т д конечно	1	1
83	уже о том что	2	1
84	ничего не говорится о	1	1
85	не говоря уже о	2	1
86	говорит о том что	3	1
87	только в том что	1	1
88	т д но при	1	1
89	а на самом деле	1	1
90	в этом случае есть	1	1
91	она до сих пор	1	1
92	в том что к	1	1
93	т д и т	1	1
94	имеет такое же значение	1	1
95	и т д вот	1	1
96	мы имеем дело с	1	1
97	но с другой стороны	2	1
98	настоящем смысле этого слова	1	1
99	д и т д	1	1
100	об этом можно судить	1	1
101	в то же время	5	1
102	что же это за	1	1
