N	2gram	Medvedev_F	Psycholo
1	то что	14	193
2	и в	54	190
3	в том	17	163
4	что в	10	123
5	потому что	2	114
6	том что	3	113
7	и что	2	108
8	может быть	30	107
9	таким образом	28	102
10	в этом	39	100
11	все время	7	86
12	в самом	17	82
13	как бы	10	80
14	для того	3	78
15	того чтобы	4	78
16	что он	8	76
17	не только	14	75
18	на то	2	73
19	и не	34	73
20	самом деле	12	70
21	точки зрения	21	69
22	и т	22	69
23	не может	26	68
24	если мы	5	66
25	так же	5	63
26	так как	4	63
27	было бы	10	56
28	если бы	8	55
29	то же	16	54
30	о том	1	54
31	при этом	14	52
32	как и	18	51
33	что и	10	50
34	а не	11	50
35	что это	1	49
36	сказать что	3	46
37	по себе	10	46
38	только в	6	46
39	в сущности	3	46
40	заключается в	1	46
41	к тому	6	45
42	в искусстве	6	45
43	не в	16	45
44	ясно что	3	43
45	искусства и	5	43
46	в этой	10	43
47	никогда не	6	42
48	и все	9	42
49	вместе с	8	41
50	как это	8	40
51	но и	18	40
52	как раз	8	39
53	при помощи	2	39
54	того что	7	39
55	т п	11	38
56	и это	4	37
57	мы видим	1	37
58	что искусство	2	37
59	и как	6	36
60	с тем	11	35
61	вовсе не	18	34
62	как на	5	34
63	и если	2	34
64	и его	27	34
65	тому что	3	33
66	все же	8	33
67	когда он	3	33
68	в себе	4	32
69	все это	11	32
70	художественного произведения	27	32
71	он не	8	31
72	мы не	6	31
73	в его	30	31
74	для нас	1	31
75	в ней	15	31
76	мы увидим	5	30
77	как в	12	30
78	с одной	5	29
79	и для	5	29
80	одной стороны	5	29
81	с точки	17	29
82	в нем	25	29
83	искусства в	4	29
84	увидим что	1	28
85	что они	4	28
86	и то	1	28
87	в своих	3	27
88	в основе	7	27
89	на деле	1	27
90	и на	10	27
91	а в	11	27
92	с другой	8	27
93	все то	1	27
94	искусство как	2	26
95	так что	2	26
96	совершенно не	5	26
97	произведение искусства	4	26
98	только что	1	25
99	художественной формы	2	25
100	и здесь	8	25
101	жизни и	10	25
102	до сих	7	24
103	до конца	9	24
104	тем что	6	24
105	художественное произведение	8	24
106	и совершенно	2	24
107	в целом	7	24
108	в своем	12	23
109	сих пор	7	23
110	из этого	2	23
111	один из	4	23
112	что если	2	23
113	целый ряд	4	23
114	что оно	4	23
115	для этого	6	23
116	могут быть	7	23
117	с этим	6	22
118	из них	5	22
119	что у	1	22
120	между тем	4	22
121	и даже	7	22
122	т д	11	22
123	как она	5	22
124	в котором	2	21
125	том чтобы	3	21
126	в двух	1	21
127	той же	2	21
128	в своей	16	21
129	ни в	3	21
130	в конце	2	21
131	что эта	2	21
132	но только	1	21
133	как мы	10	21
134	и вот	2	21
135	и только	5	21
136	другой стороны	5	20
137	в то	14	20
138	мы имеем	1	20
139	она не	8	20
140	несмотря на	2	20
141	на этом	2	20
142	там где	3	20
143	это не	4	20
144	все эти	12	20
145	в одном	2	19
146	что при	1	19
147	мы уже	1	19
148	в какой	3	19
149	в ее	10	19
150	у него	1	19
151	с этой	4	18
152	в которой	5	18
153	можно было	1	18
154	но в	9	18
155	зависимости от	5	18
156	в каком	1	18
157	вслед за	1	18
158	на самом	8	18
159	но не	5	18
160	и есть	1	18
161	был бы	2	18
162	перед нами	3	18
163	видим что	1	18
164	есть не	1	18
165	в виду	2	17
166	во всяком	6	17
167	полагает что	1	17
168	что для	3	17
169	из этих	4	17
170	но это	4	17
171	одна из	2	17
172	только не	2	17
173	у нас	6	17
174	и о	3	17
175	и к	7	16
176	из которых	1	16
177	к этому	3	16
178	та же	3	16
179	сводится к	6	16
180	говорит о	1	16
181	то это	1	16
182	самого начала	2	16
183	с самого	2	16
184	в таком	2	16
185	же как	3	16
186	совершенно прав	1	16
187	и тем	3	16
188	не имеет	2	16
189	формы и	7	16
190	так и	24	16
191	от того	2	16
192	в результате	8	15
193	в них	4	15
194	только на	8	15
195	что именно	2	15
196	во всех	9	15
197	мы знаем	3	15
198	не могут	8	15
199	искусства как	2	15
200	и потому	9	15
201	в зависимости	4	15
202	далеко не	2	15
203	еще не	6	15
204	для него	9	15
205	в частности	4	15
206	не можем	3	15
207	хотя бы	10	14
208	но он	2	14
209	очевидно что	2	14
210	главным образом	5	14
211	к искусству	1	14
212	в художественном	5	14
213	это и	7	14
214	прежде всего	34	14
215	такой же	2	14
216	что на	3	14
217	эта теория	1	14
218	те же	1	14
219	в жизни	3	14
220	при таком	5	14
221	не то	3	14
222	этих двух	2	14
223	бы в	6	14
224	столь же	2	14
225	должна быть	11	14
