N	3gram	Kanaev_Sov	Stilisti
1	в то же	1	9
2	в зависимости от	4	7
3	то же время	1	7
4	с точки зрения	5	5
5	в свою очередь	2	4
6	той или иной	1	4
7	заключает в себе	1	4
8	и той же	1	4
9	одной и той	1	4
10	с самого начала	3	4
11	то же самое	2	4
12	на самом деле	1	3
13	в этом случае	1	3
14	но все же	1	3
15	мы видели что	3	2
16	в самом деле	1	2
17	есть не что	1	2
18	и те же	1	2
19	мы видим что	1	2
20	не может быть	4	2
21	по отношению к	1	2
22	одни и те	1	2
23	для наших целей	1	2
24	не было бы	1	2
25	не что иное	1	2
26	мы не знаем	1	2
27	и в то	1	2
28	возникновения и развития	1	2
29	равно как и	1	2
30	в связи с	1	2
31	что иное как	1	2
32	тот или иной	1	2
33	в том что	1	1
34	в дальнейшем мы	1	1
35	в этой стадии	1	1
36	это как бы	1	1
37	мы уже знаем	1	1
38	заключать в себе	1	1
39	в конечном счете	1	1
40	только одна из	1	1
41	но все эти	1	1
42	к одному и	1	1
43	по крайней мере	1	1
44	до наших дней	1	1
45	что же делает	1	1
46	тот факт что	1	1
47	и во всех	1	1
48	и не было	1	1
49	тем не менее	2	1
50	в процессе развития	1	1
51	на этот вопрос	1	1
52	и та же	1	1
53	до сих пор	1	1
54	да еще в	1	1
55	у нас есть	1	1
56	прежде всего мы	1	1
57	как мы видим	1	1
58	другое дело если	1	1
59	как мы это	1	1
60	лишь там где	1	1
61	только на его	1	1
62	у нас на	1	1
63	и есть не	1	1
64	еще мало для	1	1
65	не может не	3	1
66	из двух частей	1	1
67	одна и та	1	1
68	как бы два	1	1
69	и все же	1	1
70	точки зрения и	1	1
71	не может ведь	1	1
72	можно было бы	1	1
73	мы не можем	6	1
74	и не может	1	1
75	и в этом	1	1
