N	4gram	Voloshinov	Formalny
1	бы то ни было	1	7
2	и пр и пр	2	7
3	в связи с этим	1	5
4	мы уже знаем что	1	3
5	во всех областях идеологического	1	3
6	всех областях идеологического творчества	1	3
7	с этой точки зрения	1	2
8	свой страх и риск	1	2
9	если мы отвлечемся от	1	2
10	за свой страх и	1	2
11	одних и тех же	1	2
12	мы имеем в виду	1	2
13	и только из него	1	1
14	не могут быть поняты	1	1
15	не что иное как	1	1
16	мы можем сказать что	1	1
17	каких бы то ни	1	1
18	дело в том что	1	1
19	таким образом с точки	1	1
20	характерно для нашего времени	1	1
21	ни в чем не	3	1
22	остановимся прежде всего на	1	1
23	ни в коем случае	1	1
24	в общем можно сказать	1	1
25	а вместе с тем	1	1
26	в полном согласии с	1	1
27	бы оно ни было	1	1
28	не чем иным как	1	1
29	или во всяком случае	1	1
30	на самом деле в	1	1
31	то же самое и	1	1
32	одного и того же	1	1
33	вступать между собою в	1	1
34	не имеющие отношения к	1	1
35	пр и пр в	1	1
36	образом с точки зрения	1	1
37	как один из моментов	1	1
38	в нем нет и	1	1
39	так во всех областях	1	1
