N	2gram	Medvedev_B	TeoriaLi
1	не только	1	24
2	и в	1	24
3	и не	2	17
4	а не	1	14
5	так и	1	14
6	что в	1	10
7	в данном	1	9
8	с другой	1	9
9	в своей	1	8
10	в области	1	7
11	другой стороны	1	6
12	еще не	1	6
13	между ними	1	6
14	литературных произведений	2	5
15	в пределах	1	5
16	и о	1	5
17	художественного произведения	1	5
18	не следует	1	4
19	говорить о	1	4
20	далеко не	1	4
21	и ее	1	4
22	литературы как	1	3
23	не все	1	3
24	таким образом	1	3
25	и потому	1	3
26	прежде всего	1	3
27	отнюдь не	1	3
28	и на	1	2
29	не вполне	1	2
30	в значительной	1	2
31	значительной степени	1	2
32	одной из	1	2
33	теории литературы	1	2
34	все это	2	2
35	у нас	3	2
36	об этом	1	2
37	тем более	1	2
38	ведет по	1	2
39	за пределы	1	2
40	как будто	1	2
41	и меньше	1	1
42	узко и	1	1
43	автора по	1	1
44	также что	1	1
45	никак не	1	1
46	стороны изучение	1	1
47	переходя к	1	1
48	все же	1	1
49	по крайней	1	1
50	можно в	1	1
51	совершенно не	1	1
52	вопрос о	1	1
53	точно и	1	1
54	было и	1	1
55	теорию литературы	1	1
56	в композиции	1	1
57	до конца	1	1
58	в научном	1	1
59	что все	1	1
60	о художественном	1	1
61	книги в	1	1
62	крайней мере	1	1
63	чем на	1	1
64	на которой	1	1
65	не было	1	1
66	а о	1	1
67	и более	1	1
68	и исторической	1	1
69	художественном произведении	1	1
70	не уничтожается	1	1
71	нельзя не	1	1
72	говорить об	1	1
73	можно было	2	1
74	было бы	1	1
75	теоретической и	1	1
76	свести к	1	1
77	имеющихся в	1	1
