N	2gram	Potebnia_M	ViktorSh
1	и в	58	2
2	в том	38	2
3	том что	21	2
4	в другом	3	1
5	от общего	2	1
6	но это	7	1
7	одно и	1	1
8	столь же	6	1
9	история языка	3	1
10	том же	3	1
11	главным образом	4	1
12	в самом	5	1
13	как же	1	1
14	в теории	2	1
15	чем больше	1	1
16	что слово	5	1
17	для них	2	1
18	без знания	1	1
19	а только	8	1
20	именно в	2	1
21	все то	2	1
22	его языка	1	1
23	самом деле	2	1
24	более чем	1	1
25	но разве	1	1
26	речи и	11	1
27	говоря о	3	1
28	и то	4	1
29	так в	4	1
30	крайней мере	6	1
31	этом и	1	1
32	то чего	2	1
33	и его	7	1
34	под влиянием	10	1
35	значительной степени	3	1
36	на одном	1	1
37	хотя бы	4	1
38	сказать чтобы	1	1
39	бы потому	1	1
40	зависят от	2	1
41	по поводу	7	1
42	или без	2	1
43	далеко не	4	1
44	тем более	2	1
45	по крайней	6	1
46	в которых	2	1
47	к этому	3	1
48	только в	36	1
49	одном и	3	1
50	же с	8	1
51	потому что	89	1
52	уже известно	1	1
53	в их	3	1
54	и только	6	1
55	то же	13	1
56	по своим	1	1
57	чего не	3	1
58	не будем	1	1
59	что язык	18	1
60	и том	3	1
61	и не	34	1
62	дело в	3	1
63	да и	1	1
64	в этом	18	1
65	так как	29	1
66	все это	3	1
67	совершенно ясно	1	1
68	в устах	1	1
