N	2gram	Bakhtin_sl	TeoriaLi
1	в качестве	4	33
2	в мире	1	26
3	не только	37	24
4	и в	69	24
5	в частности	3	23
6	то есть	46	22
7	может быть	40	22
8	при этом	12	20
9	в том	7	20
10	и не	32	17
11	а в	10	15
12	но и	37	14
13	а не	29	14
14	так и	22	14
15	в себе	3	14
16	в рамках	1	13
17	такого рода	2	13
18	внутренней речи	3	13
19	но не	7	13
20	в этом	21	12
21	сводится к	1	12
22	но в	13	12
23	в его	19	12
24	то же	17	12
25	том что	6	11
26	точки зрения	24	11
27	и его	45	11
28	что в	3	10
29	по отношению	2	10
30	как это	3	10
31	лишь в	6	10
32	отношению к	2	10
33	в душе	1	9
34	только в	9	9
35	в данном	5	9
36	с другой	8	9
37	не в	14	9
38	в то	17	9
39	в своей	8	8
40	же время	15	8
41	как бы	16	8
42	по своей	2	8
43	не может	27	8
44	в самом	6	7
45	не столько	4	7
46	на смену	1	7
47	или иной	13	7
48	особого рода	1	7
49	и т.п	1	7
50	в отличие	12	7
51	в своем	9	7
52	себя в	14	7
53	мы имеем	1	7
54	а также	5	7
55	отличие от	13	7
56	отношение к	8	7
57	однако в	3	7
58	место в	2	7
59	в области	1	7
60	в нем	44	7
61	другой стороны	5	6
62	в состав	3	6
63	более или	5	6
64	как и	8	6
65	не менее	4	6
66	приводит к	2	6
67	еще не	9	6
68	в основе	8	6
69	то что	2	6
70	со стороны	1	6
71	уже не	5	6
72	с его	8	6
73	в ее	2	6
74	с другими	8	6
75	или иначе	2	6
76	между ними	2	6
77	или менее	5	6
78	героя и	5	6
79	того или	2	6
80	или иного	2	6
81	ни в	4	5
82	в виду	2	5
83	так или	1	5
84	и одновременно	2	5
85	не предполагает	3	5
86	как в	18	5
87	можно сказать	2	5
88	не является	3	5
89	того чтобы	1	5
90	для того	2	5
91	за пределами	3	5
92	на почве	6	5
93	как к	5	5
94	по преимуществу	5	5
95	данном случае	3	5
96	для него	8	5
97	того что	4	5
98	в себя	3	5
99	между тем	5	5
100	он не	5	5
101	и тем	3	5
102	высказывания в	2	5
103	в пределах	27	5
104	и о	3	5
105	могут быть	25	5
106	художественного произведения	1	5
107	текст в	1	4
108	без исключения	2	4
109	в отношении	9	4
110	не на	6	4
111	и сам	4	4
112	в этих	8	4
113	отношения к	3	4
114	что он	2	4
115	в слове	11	4
116	языка в	21	4
117	входит в	8	4
118	в другом	4	4
119	говорить о	2	4
120	отношении к	9	4
121	сказать что	4	4
122	в нашем	1	4
123	к тому	3	4
124	этого слова	2	4
125	никогда не	9	4
126	или иным	1	4
127	и того	1	4
128	это не	8	4
129	хотя и	4	4
130	в литературе	1	4
131	слова в	19	4
132	в их	6	4
133	его в	7	4
134	эстетический объект	1	4
135	но он	4	4
136	не знает	3	4
137	или даже	5	4
138	так в	2	4
139	мира и	4	4
140	по своему	2	4
141	а только	1	4
142	личности и	1	4
143	речи и	4	4
144	в свою	4	4
