N	3gram	Tiupa_Vved	TeoriaLi
1	в том что	10	10
2	по отношению к	11	10
3	не сводится к	6	9
4	в то же	5	8
5	то же время	4	8
6	в отличие от	11	7
7	кадров внутреннего зрения	1	7
8	присутствия в мире	2	6
9	того или иного	1	6
10	в конечном счете	2	6
11	с другой стороны	2	6
12	более или менее	2	6
13	состоит в том	2	6
14	не может быть	6	5
15	так и не	4	5
16	для того чтобы	1	5
17	в данном случае	15	5
18	одного и того	1	4
19	и того же	1	4
20	в свою очередь	5	3
21	той или иной	4	3
22	а всего лишь	1	3
23	в этом смысле	1	3
24	всех без исключения	1	3
25	сближение но не	1	3
26	в том числе	1	3
27	тем не менее	3	3
28	можно сказать что	1	3
29	следует смешивать с	1	3
30	в своем составе	1	3
31	подобно тому как	3	3
32	по своей природе	2	3
33	но не слияние	1	3
34	в равной степени	1	3
35	несет в себе	4	3
36	по сути дела	4	3
37	в связи с	1	3
38	не следует смешивать	1	3
39	с одной стороны	9	3
40	в тарасе бульбе	1	2
41	в нашем случае	3	2
42	войне и мире	2	2
43	в этой системе	1	2
44	по сути своей	1	2
45	в искусстве слова	1	2
46	в структуре текста	1	2
47	в противном случае	2	2
48	креативного и рецептивного	1	2
49	до известной степени	1	2
50	мастера и маргариты	2	2
51	в данном контексте	1	2
52	причастной вненаходимости бахтин	2	2
53	в рамках одного	1	2
54	по большей части	4	2
55	и в самом	1	2
56	как и в	2	2
57	в самом деле	2	2
58	не могло быть	1	2
59	в самом начале	1	2
60	не сводятся к	1	2
61	и то же	1	2
62	в таком случае	1	2
63	внутренней и внешней	1	2
64	со стороны адресата	1	2
65	в войне и	2	2
66	одно и то	1	2
67	но в то	1	2
68	том числе и	1	2
69	в этом мире	1	2
70	и тем самым	2	2
71	с легкой руки	2	2
72	и в то	1	2
73	в соответствии с	8	2
74	во всей его	1	2
75	а с другой	3	2
76	мира представляет собой	1	2
77	мы имеем дело	5	2
78	имеет в своем	1	2
79	преодолеваемая даль и	1	2
80	в рамках которого	1	2
