N	2gram	Berdyaev_N	Myslijsy
1	потому что	4	182
2	и в	16	121
3	может быть	7	107
4	в том	8	103
5	то что	4	83
6	что в	9	73
7	и не	11	73
8	только в	1	72
9	не только	5	67
10	а не	17	67
11	в этом	7	59
12	но и	3	59
13	том что	2	59
14	так как	1	59
15	не в	6	54
16	в себе	2	53
17	по себе	1	52
18	не может	16	52
19	было бы	1	45
20	в нем	5	45
21	не есть	3	42
22	как и	7	42
23	вместе с	2	39
24	мы не	2	38
25	как в	3	37
26	так и	2	37
27	что мы	1	36
28	тем что	1	33
29	и что	2	32
30	а в	2	30
31	что не	1	29
32	но не	2	29
33	есть только	1	28
34	с этим	2	27
35	могут быть	2	27
36	не было	4	26
37	в то	2	24
38	с тем	3	23
39	от того	1	23
40	то это	1	22
41	с другой	3	22
42	не имеет	4	22
43	но в	2	22
44	и потому	4	21
45	не менее	4	21
46	это не	4	20
47	в ней	5	20
48	мысли и	2	19
49	но это	6	19
50	сказать что	3	19
51	с ним	1	19
52	того же	1	19
53	из этих	1	19
54	о том	4	19
55	есть уже	1	19
56	заключает в	1	19
57	должно быть	4	19
58	в самом	1	18
59	для того	1	18
60	не могут	1	18
61	в каком	1	18
62	еще не	3	18
63	уже в	1	17
64	в его	1	17
65	во всяком	1	17
66	слова в	1	17
67	и на	2	16
68	к тому	3	16
69	так же	2	16
70	в своем	1	16
71	нашей мысли	1	16
72	в которой	1	16
73	в них	4	16
74	быть может	4	15
75	в этих	1	15
76	уже не	2	15
77	с одной	2	15
78	с другими	1	15
79	что он	1	15
80	в свою	1	15
81	прежде всего	4	15
82	думать что	2	15
83	тому как	3	15
84	в природе	2	14
85	в котором	1	14
86	во всех	3	14
87	когда мы	2	14
88	должны быть	1	14
89	в истории	3	14
90	мысли в	2	14
91	мы должны	1	14
92	как на	1	13
93	из них	1	13
94	что все	2	13
95	в смысле	2	13
96	и все	4	13
97	том смысле	1	13
98	зависит от	2	13
99	и его	1	13
100	другой стороны	2	12
101	до сих	1	12
102	никогда не	6	12
103	хотя и	2	12
104	быть только	1	12
105	и вместе	1	12
106	в чем	1	12
107	сих пор	1	12
108	оно не	1	12
109	всяком случае	1	12
110	человеческого духа	1	12
111	друг друга	1	12
112	только потому	1	12
113	что такое	3	12
114	все это	5	12
115	есть в	2	12
116	человека и	3	12
117	все что	1	11
118	только для	1	11
119	и это	2	11
120	к нему	1	11
121	в состоянии	1	11
122	подобно тому	3	11
123	в силу	1	11
124	сами по	1	11
125	того чтобы	2	11
126	быть не	1	11
127	к ней	1	11
128	к одному	1	11
129	и только	1	11
130	и их	1	11
131	и с	2	10
132	хотя бы	2	10
133	одной стороны	2	10
134	духа и	3	10
135	и мы	4	10
136	и от	2	10
137	и есть	10	10
138	он не	8	10
139	то время	1	10
140	мы говорим	2	10
141	и для	4	10
142	и того	1	9
143	и даже	2	9
144	вопрос о	3	9
145	что она	2	9
146	в нее	1	9
147	во время	1	9
148	одного и	1	9
149	от нее	1	9
150	не будет	7	9
151	но оно	1	9
152	это было	3	9
153	можно сказать	1	9
154	во всем	1	8
155	говорить о	1	8
156	но все	1	8
157	их в	1	8
158	в более	1	8
159	перестает быть	4	8
160	мы в	1	8
161	смысле в	1	8
162	нельзя сказать	1	8
163	и более	1	8
164	помнить что	2	8
165	и воли	1	7
166	все эти	2	7
167	в жизни	5	7
168	не существует	3	7
169	не всегда	1	7
170	превращается в	1	7
171	или не	1	7
172	в эту	1	7
173	она не	3	7
174	не были	1	7
175	за пределы	3	7
176	этом смысле	2	7
177	значение и	1	7
178	есть вместе	1	7
179	них не	1	7
180	все в	1	7
181	для себя	1	7
182	для сознания	1	7
183	себя и	1	7
184	и во	1	7
185	мысли но	1	7
