N	2gram	Kanaev_Sov	Myshleni
1	в том	4	195
2	в этом	7	167
3	и в	7	162
4	том что	1	161
5	в развитии	4	151
6	таким образом	11	147
7	точки зрения	12	143
8	с помощью	4	131
9	что в	2	119
10	не только	4	116
11	в процессе	1	101
12	так же	1	100
13	и речи	1	96
14	может быть	12	89
15	с точки	5	89
16	не может	17	81
17	как и	6	79
18	так как	4	78
19	и не	6	78
20	только в	1	75
21	в целом	4	74
22	как мы	2	72
23	в его	2	67
24	сказать что	1	65
25	как бы	4	64
26	вместе с	4	62
27	и что	2	60
28	было бы	3	60
29	то же	3	58
30	между собой	3	53
31	в самом	2	52
32	мы должны	4	50
33	мы можем	6	48
34	мы не	9	47
35	если бы	1	46
36	по отношению	1	45
37	но не	1	45
38	с другой	1	45
39	же как	1	43
40	отношению к	1	42
41	не является	1	41
42	о том	1	40
43	одной стороны	1	40
44	никогда не	1	39
45	с одной	2	39
46	мы видели	4	38
47	в области	3	38
48	и к	3	37
49	вопрос о	4	37
50	если мы	4	37
51	мы видим	2	37
52	не в	3	37
53	в этой	3	37
54	с самого	3	36
55	в своем	1	36
56	все эти	5	36
57	самого начала	3	36
58	а не	3	36
59	и его	1	36
60	того же	1	35
61	с другом	2	35
62	можно было	1	35
63	в себе	3	35
64	в которой	2	35
65	и т.д	3	35
66	друг с	2	35
67	он не	1	35
68	связи с	1	34
69	приводит к	2	34
70	прежде всего	5	33
71	при этом	3	33
72	по себе	1	33
73	именно в	1	32
74	той же	2	32
75	же самое	2	32
76	но в	3	32
77	развития и	1	31
78	развития в	2	31
79	все же	3	31
80	и развития	1	29
81	как известно	2	29
82	могут быть	2	29
83	с этим	2	28
84	что с	1	28
85	речи мы	1	28
86	самом деле	2	28
87	в результате	6	27
88	этом случае	1	27
89	в то	1	27
90	что все	2	27
91	что это	2	26
92	мысли в	1	26
93	что она	3	25
94	еще не	3	25
95	уже в	3	25
96	все это	3	25
97	своего развития	1	25
98	только не	1	25
99	мы уже	1	25
100	это не	4	25
101	мы знаем	2	24
102	тот же	2	24
103	понятия и	1	24
104	зависимости от	4	24
105	на этот	2	24
106	в какой	1	24
107	что эта	1	24
108	в нем	3	24
109	этот вопрос	1	23
110	ни в	1	23
111	как он	3	23
112	во всяком	2	22
113	не могут	2	22
114	процесс развития	1	22
115	в известном	1	22
116	в зависимости	4	22
117	между ними	1	21
118	к этому	1	21
119	и следовательно	1	21
120	представление о	1	21
121	в нашем	2	21
122	его в	1	21
123	все время	1	21
124	там где	1	21
125	и все	3	21
126	не имеет	1	21
127	и более	1	21
128	не менее	2	20
129	в другом	1	20
130	к которому	1	20
131	из них	4	20
132	из этих	2	20
133	в такой	1	20
134	а в	4	20
135	на этом	2	20
136	в наших	3	20
137	должно быть	1	20
138	по существу	1	20
139	и их	1	20
140	но мы	3	19
141	в связи	1	19
142	во всех	1	19
143	и по	2	19
144	один из	1	19
145	но если	1	19
146	независимо от	1	19
147	в данном	1	19
148	с ним	1	19
149	из которых	2	19
150	во всей	1	18
151	но это	1	18
152	в отличие	2	18
153	отличие от	2	18
154	для развития	2	18
155	этом смысле	1	18
156	всяком случае	2	18
157	чем в	1	18
158	в своих	1	17
159	их в	4	17
160	в одном	3	17
161	сих пор	1	17
162	и той	1	17
163	до сих	1	17
164	в свою	2	17
165	в совершенно	1	17
166	тем же	2	17
167	и для	1	17
168	все что	1	17
169	нами в	1	17
170	у него	2	17
171	и от	1	17
172	и есть	2	17
173	то и	2	17
174	и только	1	17
175	одной и	1	16
176	значение в	2	16
177	мы имеем	1	16
178	вовсе не	1	16
179	к одному	1	16
180	такой же	2	16
181	и даже	2	16
182	на этой	3	16
183	между двумя	1	16
184	видели что	3	16
185	для нас	3	16
186	которые в	1	16
187	таким же	1	16
188	процессе развития	1	15
189	что при	2	15
190	и это	1	15
191	со всеми	2	15
192	данном случае	1	15
193	в начале	1	15
194	те же	1	15
195	отличается от	3	15
196	но как	1	15
197	известном смысле	1	15
198	значит что	1	15
199	ничего не	6	15
200	это значит	1	14
201	но что	1	14
