1	с точки зрения	3	5
2	в зависимости от	1	4
3	не может быть	5	4
4	то же самое	1	2
5	в свою очередь	3	2
6	тем не менее	3	2
7	в настоящее время	1	2
8	в отличие от	7	2
9	может быть и	2	2
10	в новое время	1	1
11	той или иной	3	1
12	в этом случае	1	1
13	в самом деле	2	1
14	не могут быть	2	1
15	с одной стороны	3	1
16	по крайней мере	1	1
17	заключает в себе	1	1
18	каждая из этих	1	1
19	из этих двух	1	1
20	в свое время	1	1
21	есть не что	1	1
22	какой бы то	1	1
23	бы то ни	2	1
24	в связи с	3	1
25	той же природы	1	1
26	мы говорим о	1	1
27	точки зрения и	1	1
28	не что иное	1	1
29	заключать в себе	1	1
30	существенно отличается от	1	1
31	одной стороны и	1	1
32	с совершенно иными	1	1
33	в конечном счете	6	1
34	в том случае	1	1
35	на две половины	1	1
36	в известном смысле	2	1
37	смысле можно говорить	1	1
38	ведь это не	1	1
39	этом смысле можно	1	1
40	что иное как	1	1
41	и в то	2	1
42	то же время	8	1
43	в том что	10	1
44	так же как	1	1
45	и прежде всего	1	1
46	а не только	1	1
47	в то же	8	1
48	ему принадлежит только	1	1
49	в одном случае	1	1
50	по отношению к	10	1
51	тот или иной	3	1
52	между ним и	1	1
53	дело в том	1	1
54	но только не	1	1
55	то ни было	2	1
56	в данном случае	5	1
57	две половины и	1	1
58	в этом смысле	3	1
59	на какой бы	1	1
