N	3gram	Tiupa_Lite	slovoVRo
1	и т п	2	72
2	не может быть	5	19
3	то же время	12	18
4	в то же	12	18
5	той или иной	1	15
6	с точки зрения	4	15
7	в отличие от	6	14
8	в отношении к	1	12
9	в большинстве случаев	1	11
10	с одной стороны	8	11
11	в этом случае	2	9
12	в зависимости от	1	8
13	во всяком случае	2	8
14	в значительной степени	1	7
15	но в то	1	7
16	и в то	1	6
17	но все же	1	6
18	с другой стороны	5	6
19	в том что	15	5
20	по отношению к	4	5
21	не только в	4	5
22	единого и единственного	1	5
23	в этом отношении	5	5
24	одной стороны и	1	4
25	для того чтобы	1	4
26	до сих пор	1	4
27	и не может	1	4
28	а также и	1	4
29	в свою очередь	2	4
30	лишь тогда когда	1	4
31	своего и чужого	1	4
32	в лучшем случае	1	4
33	у него нет	1	4
34	не могут быть	1	4
35	и в сущности	1	4
36	себя в них	1	4
37	единым и единственным	1	3
38	и то же	1	3
39	не выходит за	1	3
40	тех или иных	2	3
41	в данном случае	6	3
42	в пределах одной	1	3
43	по ту сторону	1	3
44	в связи с	4	3
45	к тому что	1	3
46	в евгении онегине	1	3
47	одно и то	1	3
48	как мы видели	1	3
49	и наконец в	1	2
50	с этой точки	3	2
51	тем не менее	4	2
52	исключают друг друга	1	2
53	далеко не всегда	1	2
54	не исключают друг	1	2
55	не только на	1	2
56	а не только	1	2
57	и в этом	1	2
58	иметь в виду	1	2
59	же время он	1	2
60	бы ни были	1	2
61	а не как	1	2
62	о том что	3	2
63	обстоит дело и	1	2
64	этой точки зрения	3	2
65	и не было	1	2
66	то есть от	1	2
67	мы не можем	1	2
68	можно было бы	2	2
69	во всех этих	1	2
70	с самого начала	1	2
71	не только и	1	2
72	между тем как	1	2
73	друг для друга	2	2
74	и в частности	1	2
75	и не только	1	2
76	тот или иной	1	2
77	что он не	1	1
78	все то что	1	1
79	одним из существеннейших	1	1
80	в конечном счете	8	1
81	дело не только	2	1
82	на задний план	1	1
83	в xix веке	1	1
84	однако и здесь	1	1
85	в первый раз	2	1
86	он не может	1	1
87	в сознании людей	1	1
88	в том числе	2	1
89	каковы бы ни	1	1
90	и слова все	1	1
91	оттесняет на задний	1	1
92	в частности в	1	1
93	так или иначе	8	1
94	не столько в	1	1
95	как например в	1	1
96	максим максимыч в	1	1
97	речь идет о	3	1
98	обычно квалифицируются как	1	1
99	в один из	1	1
100	человека в этом	1	1
101	а во второй	2	1
102	и прежде всего	4	1
103	том что в	1	1
104	не могло быть	2	1
105	как это может	1	1
106	и в пределах	1	1
107	то ни было	1	1
108	одна из форм	1	1
109	а не в	1	1
110	а не с	1	1
111	жизни на основании	1	1
112	бы то ни	1	1
113	перед нами не	1	1
114	в области поэтики	1	1
115	для этой цели	1	1
116	в равной степени	2	1
117	даже и не	1	1
118	могли бы быть	1	1
119	слово как таковое	1	1
120	может и не	1	1
121	в различных его	1	1
122	себя в своей	1	1
123	адекватного подхода к	1	1
124	в одном из	1	1
125	этот последний модус	1	1
126	а как бы	1	1
127	то есть в	1	1
128	себе самому и	1	1
129	в основе этой	1	1
130	вместе с ним	1	1
131	никогда не бывает	1	1
132	по аналогии с	3	1
133	себе как бы	1	1
134	такого героя и	1	1
135	на то что	1	1
136	автора и его	1	1
137	по крайней мере	2	1
138	как это было	1	1
139	в том чтобы	1	1
140	в чем он	1	1
141	о себе как	1	1
142	не может и	1	1
143	и не столько	1	1
144	в пределах самого	1	1
145	в свое время	1	1
146	в виду не	2	1
147	в целом ряде	2	1
148	все более и	1	1
149	но и не	1	1
150	как один из	1	1
151	жизни но и	1	1
152	более и более	1	1
153	не может стать	1	1
154	жизни и в	2	1
155	герой нашего времени	1	1
156	становится одним из	1	1
157	дело в том	2	1
158	подобно тому как	4	1
159	приближается к его	1	1
160	именно в том	1	1
161	но может быть	1	1
162	том что он	1	1
163	в соединении с	1	1
164	своих и чужих	1	1
165	в сущности только	1	1
166	есть по преимуществу	1	1
167	к себе самому	1	1
168	глубокое различие между	1	1
169	т п это	1	1
170	до конца не	1	1
171	произведение в целом	1	1
172	прежде всего в	4	1
173	только и не	1	1
174	нет и не	1	1
175	но с другой	3	1
