N	2gram	Voloshinov	Poddanst
1	не только	6	17
2	и в	13	14
3	и не	8	12
4	в области	2	11
5	в этом	2	10
6	в отношении	2	10
7	в том	2	9
8	то же	4	9
9	но в	4	9
10	хотя бы	5	8
11	в пределах	3	8
12	только в	6	7
13	же время	1	7
14	в то	1	7
15	в ней	2	6
16	быть может	1	6
17	было бы	4	6
18	но и	3	6
19	и пр	7	5
20	может быть	8	5
21	с другой	2	5
22	не в	3	5
23	и о	1	5
24	в которых	1	5
25	и к	2	4
26	что в	3	4
27	по себе	1	4
28	г о	1	4
29	и если	1	4
30	мы должны	6	4
31	не может	8	4
32	а в	2	4
33	то что	6	4
34	как бы	6	4
35	если бы	2	4
36	а также	2	4
37	в своем	1	4
38	том что	2	4
39	в себе	3	3
40	что мы	1	3
41	с одной	2	3
42	мы не	4	3
43	одной стороны	2	3
44	для того	1	3
45	между тем	2	3
46	с точки	5	3
47	потому что	1	3
48	она есть	1	3
49	прежде всего	9	3
50	вслед за	2	3
51	сводится к	1	3
52	заключается в	1	3
53	но не	1	3
54	могут быть	2	3
55	и как	1	3
56	с ними	2	3
57	столь же	1	3
58	в нем	2	3
59	тот же	2	3
60	точки зрения	7	3
61	с этим	3	2
62	и это	1	2
63	и других	1	2
64	осуществляется в	1	2
65	которую мы	1	2
66	и вот	1	2
67	время в	1	2
68	в значительной	1	2
69	хх века	1	2
70	в ее	3	2
71	и тем	2	2
72	в его	7	2
73	а не	2	2
74	все это	4	2
75	в которую	2	2
76	говорить о	3	2
77	для них	1	2
78	может и	1	2
79	и есть	1	2
80	в виде	1	2
81	в них	2	2
82	не было	1	2
83	в начале	1	2
84	в общем	2	2
85	она ни	1	2
86	значительной мере	1	2
87	должно быть	1	2
88	во всей	2	2
89	одна из	1	2
90	в мире	1	2
91	например в	1	2
92	не менее	2	2
93	в ряду	1	2
94	в выборе	4	2
95	не столько	3	2
96	думать что	2	2
97	отнюдь не	1	2
98	да и	3	2
99	есть не	2	2
100	тем более	1	2
101	в статье	1	2
102	к сожалению	2	1
103	нет ничего	2	1
104	поскольку она	1	1
105	как к	1	1
106	у в	1	1
107	собственном смысле	1	1
108	находятся в	1	1
109	и то	3	1
110	мы можем	4	1
111	средств в	1	1
112	мы видим	2	1
113	в данном	2	1
114	только к	1	1
115	с его	1	1
116	существует но	1	1
117	и более	1	1
118	можно говорить	1	1
119	те же	2	1
120	вместе с	1	1
121	и здесь	1	1
122	до тех	4	1
123	как возможность	1	1
124	отличие от	1	1
125	в самом	2	1
126	вопрос о	1	1
127	часть того	1	1
128	времени эта	1	1
129	два направления	1	1
130	они не	1	1
131	поэтики в	1	1
132	только что	1	1
133	душа и	1	1
134	переходит в	1	1
135	в по	1	1
136	выборе и	1	1
137	и который	1	1
138	уже в	2	1
139	пор пока	3	1
140	более или	1	1
141	есть прежде	3	1
142	связана с	3	1
143	того чтобы	1	1
144	и иных	1	1
145	на основе	1	1
146	как известно	1	1
147	и должна	1	1
148	одно и	3	1
149	что при	1	1
150	и уже	3	1
151	мысли и	1	1
152	положение что	1	1
153	связанные с	2	1
154	не как	3	1
155	всей полноте	1	1
156	мы все	1	1
157	в каждом	4	1
158	только на	1	1
159	и через	1	1
160	что эта	2	1
161	борьбе с	1	1
162	и достоевский	1	1
163	и при	2	1
164	и что	1	1
165	в различных	1	1
166	другой стороны	2	1
167	и обрести	1	1
168	еще в	2	1
169	как ни	1	1
170	нет никакого	1	1
171	бы что	1	1
172	эта проблема	1	1
173	далеко не	1	1
174	только то	1	1
175	не дается	1	1
176	не вполне	1	1
177	в истории	1	1
178	упреков в	1	1
179	так же	2	1
180	также и	1	1
181	его в	1	1
182	каждый из	1	1
183	и наоборот	1	1
184	в г	2	1
185	живопись весь	1	1
186	чуть ли	1	1
187	все же	5	1
188	и некоторых	1	1
189	этого процесса	1	1
190	в борьбе	1	1
191	утверждается что	1	1
192	в которой	3	1
193	в этой	1	1
194	разрыва между	1	1
195	не сумеем	2	1
196	промежуток времени	1	1
197	следуя примеру	1	1
198	из нее	1	1
199	в отличие	1	1
200	считают себя	1	1
201	само по	1	1
202	на две	2	1
203	же как	1	1
204	на себя	1	1
205	та или	1	1
206	в эпоху	1	1
207	но для	3	1
208	может идти	1	1
209	к другим	1	1
210	сливаются в	1	1
211	или иная	1	1
212	если он	1	1
213	в живом	1	1
214	как и	3	1
215	в собственном	1	1
216	случаях когда	1	1
217	и именно	1	1
218	говорить об	2	1
219	внимание к	1	1
220	на то	1	1
221	на фоне	4	1
222	ли не	1	1
223	ранних и	1	1
224	в природе	1	1
225	к следующему	1	1
226	там где	2	1
227	тех пор	4	1
228	к предмету	2	1
229	вождя в	1	1
230	бы мы	1	1
231	не будут	1	1
232	в условиях	1	1
233	когда в	1	1
234	в себя	1	1
235	для этого	1	1
236	с ее	1	1
237	и чем	1	1
238	во времени	2	1
239	пусть эта	1	1
240	не имеет	2	1
241	и особенно	1	1
242	одно из	1	1
243	или менее	1	1
244	пути к	2	1
245	и ее	2	1
246	явление и	1	1
247	особенно в	1	1
248	которая и	1	1
249	к более	1	1
250	гоголь и	1	1
251	обратиться к	1	1
252	никогда не	3	1
253	соприкасается с	1	1
254	нашей задачей	1	1
255	еще не	1	1
256	рождается и	1	1
