N	2gram	Trubetskoy	BTomashe
1	у нас	1	3
2	все это	6	2
3	в ней	1	2
4	больше чем	2	2
5	и не	8	2
6	всякий интерес	1	1
7	и о	3	1
8	со всем	1	1
9	и нет	3	1
10	не только	10	1
11	таким образом	22	1
12	не было	2	1
13	в эпоху	7	1
14	прежде всего	2	1
15	и в	26	1
16	так и	6	1
17	на которой	1	1
18	в своей	1	1
19	во всяком	6	1
20	и потому	6	1
21	и во	1	1
22	по крайней	5	1
23	с другой	8	1
24	совершенно не	1	1
25	другой стороны	1	1
26	крайней мере	5	1
27	всяком случае	6	1
28	кроме того	1	1
29	было бы	1	1
30	не следует	1	1
31	и ее	1	1
32	одной из	5	1
33	в значительной	3	1
34	в данном	1	1
35	в области	9	1
36	далеко не	4	1
37	тем более	1	1
38	говорить не	1	1
39	не вполне	3	1
40	и более	1	1
41	что все	4	1
42	его не	2	1
43	а не	5	1
44	и на	2	1
45	еще не	2	1
46	все же	6	1
47	что в	9	1
