N	3gram	Vygotskiy_	VrazhdaK
1	и все же	1	5
2	то же время	1	4
3	в то же	1	4
4	в русской литературе	1	3
5	имел в виду	1	3
6	в том что	30	2
7	не может быть	4	2
8	в письме к	1	2
9	как раз в	2	2
10	с точки зрения	5	2
11	и что в	5	2
12	что в начале	1	2
13	это то что	1	1
14	в ответ на	1	1
15	подчиняется тому же	1	1
16	в свою очередь	1	1
17	а между тем	1	1
18	каждый из них	1	1
19	в то время	4	1
20	в конце концов	6	1
21	одно и то	3	1
22	речь идет о	1	1
23	равно как и	2	1
24	он как бы	1	1
25	ли не самым	1	1
26	о том как	1	1
27	так же как	3	1
28	в своих собственных	1	1
29	на то что	25	1
30	и в то	1	1
31	по крайней мере	1	1
32	не забудем что	1	1
33	и никогда не	1	1
34	шаг за шагом	1	1
35	что в этой	3	1
36	в этом смысле	3	1
37	заключается в том	9	1
38	а с другой	5	1
39	что в нем	3	1
40	они как бы	1	1
41	и то что	4	1
42	не только не	4	1
43	о том что	15	1
44	чтобы разобраться в	1	1
45	до сих пор	9	1
46	в высшей степени	1	1
47	мы знаем о	1	1
48	но в этом	1	1
49	нет ничего общего	1	1
50	есть все основания	1	1
51	в это время	1	1
52	во всяком случае	1	1
53	все равно не	1	1
54	и в самом	3	1
55	уже в конце	1	1
56	как бы в	3	1
57	едва ли не	1	1
58	на первый план	2	1
59	с другой стороны	8	1
60	у него в	1	1
61	но и это	2	1
62	что у него	1	1
63	это и есть	1	1
64	знали что он	1	1
65	в этой сцене	1	1
66	и о которой	1	1
67	и то же	4	1
68	тем что он	1	1
69	в этом отношении	3	1
70	и что он	2	1
71	все же не	1	1
72	и в этом	2	1
73	может быть и	2	1
