N	4gram	Voloshinov	KulturaY
1	с этой точки зрения	1	5
2	одного и того же	1	4
3	до сих пор еще	1	4
4	и пр и пр	2	4
5	только для того чтобы	1	3
6	уже не может быть	1	2
7	не что иное как	1	2
8	одних и тех же	1	2
9	ни в коем случае	1	1
10	в коем случае нельзя	1	1
11	что можно было бы	1	1
12	дело в том что	1	1
13	одна на другую и	1	1
14	из одних и тех	1	1
15	в связи с этим	1	1
16	в этом отношении и	1	1
17	а вместе с тем	1	1
18	мы имеем в виду	1	1
19	бы то ни было	1	1
20	по крайней мере уже	1	1
21	было до сих пор	1	1
22	те же что и	1	1
