N	2gram	Tiupa_Narr	VLabPisa
1	таким образом	5	32
2	в этом	23	29
3	не только	50	26
4	и в	22	26
5	и т	3	25
6	может быть	24	23
7	во сне	4	21
8	и не	34	20
9	хотя бы	4	20
10	не может	16	17
11	в процессе	2	17
12	т д	1	16
13	в его	12	15
14	в том	20	15
15	этом отношении	5	14
16	в силу	5	14
17	все это	1	13
18	прежде всего	7	13
19	в качестве	27	12
20	в частности	23	12
21	как это	7	12
22	что в	6	11
23	с другой	6	11
24	из них	4	11
25	то же	12	10
26	не могут	1	10
27	о том	5	10
28	но и	39	10
29	реальной действительности	1	10
30	для него	8	9
31	как видим	1	9
32	об этом	8	9
33	т п	2	9
34	к этому	2	9
35	могут быть	1	8
36	творчества в	1	8
37	говорит и	1	8
38	другой стороны	2	8
39	только в	23	8
40	по словам	2	8
41	на основании	1	8
42	художника и	1	8
43	все эти	3	8
44	вместе с	3	8
45	том что	15	8
46	ни один	1	8
47	было бы	2	8
48	не следует	3	8
49	в своем	7	8
50	произведения и	1	7
51	это не	6	7
52	говорит о	3	7
53	в году	2	7
54	в конечном	6	7
55	не было	3	7
56	по отношению	5	7
57	очевидно что	1	7
58	тому что	4	7
59	как и	15	7
60	их в	4	7
61	во всех	2	7
62	а не	27	7
63	то что	14	7
64	художественное произведение	1	7
65	главным образом	1	7
66	отношению к	5	7
67	же в	6	7
68	в нем	9	7
69	из этих	6	7
70	один из	8	6
71	произведения как	1	6
72	у него	13	6
73	более или	2	6
74	все же	10	6
75	приводит к	2	6
76	это и	2	6
77	в искусстве	1	6
78	не в	12	6
79	между тем	5	6
80	так и	12	6
81	в себе	14	6
82	или менее	2	6
83	в зависимости	3	6
84	и его	12	6
85	в то	9	6
86	даже в	1	5
87	в результате	4	5
88	в их	1	5
89	связи с	3	5
90	следует понимать	1	5
91	одним из	2	5
92	конечном счете	4	5
93	как говорит	1	5
94	зависимости от	3	5
95	к тому	13	5
96	перед нами	9	5
97	не является	7	5
98	он говорит	1	5
99	действующих лиц	8	5
100	для художника	1	5
101	в одном	5	5
102	в пределах	2	5
103	же время	7	5
104	как бы	11	5
105	в целом	5	5
106	сказать что	5	5
107	в плане	1	5
108	и есть	1	5
109	никогда не	8	5
110	в самом	8	4
111	различного рода	3	4
112	ее в	1	4
113	только что	4	4
114	гоголь в	1	4
115	в ее	4	4
116	как раз	9	4
117	можно сказать	11	4
118	не обходится	1	4
119	что для	1	4
120	в этой	8	4
121	следующим образом	1	4
122	что все	1	4
123	что он	7	4
124	в виду	2	4
125	в романе	3	4
126	с тем	1	4
127	с ними	5	4
128	в своей	8	4
129	является не	1	4
130	роль в	4	4
131	должен быть	1	4
132	с его	6	4
133	для его	1	4
134	в связи	3	4
135	это только	1	4
136	когда он	1	4
137	в нашей	1	4
138	них не	1	4
139	в сознании	6	4
140	из его	1	4
141	одна из	5	4
142	по поводу	3	4
143	отнюдь не	6	4
144	во время	2	4
145	и ее	3	4
146	и к	7	3
147	что они	1	3
148	и он	8	3
149	что у	6	3
150	никитин и	1	3
151	мы имеем	6	3
152	того что	7	3
153	никак не	5	3
154	в комнату	1	3
155	но как	3	3
156	утверждает что	2	3
157	со своим	2	3
158	что и	3	3
159	у нас	4	3
160	сводится к	10	3
161	подобно тому	4	3
162	его в	1	3
163	в форме	7	3
164	если бы	9	3
165	или в	7	3
166	говорит в	1	3
167	опыта и	1	3
168	именно в	5	3
169	в конце	4	3
170	например в	2	3
171	у тургенева	2	3
172	момент в	1	3
173	между ними	3	3
174	и как	4	3
175	в творческом	1	3
176	в слове	4	3
177	в которых	1	3
178	например что	1	3
179	не столь	2	3
180	большей или	2	3
181	том как	3	3
182	мира и	2	3
183	вовсе не	2	3
184	бы в	2	3
185	с этим	1	3
186	а в	19	3
187	что не	2	3
188	некоторые из	1	3
189	как о	2	3
190	в котором	3	3
191	она не	2	3
192	в противоположность	1	3
193	говорить не	1	3
194	в значительной	1	3
195	его не	1	3
196	но даже	1	3
197	того чтобы	7	3
198	всего лишь	8	3
199	для того	4	3
200	тому как	4	3
201	так называемые	1	3
202	как он	3	3
203	вслед за	4	3
204	далеко не	6	3
205	этот вопрос	1	3
206	так же	2	3
207	в творчестве	1	3
208	образом не	1	3
209	или меньшей	1	3
210	как на	2	3
211	это делает	1	3
212	значит и	1	3
213	и от	3	3
214	точки зрения	8	3
215	жизни и	7	3
216	этих и	1	3
217	и по	3	3
218	мы видели	1	3
219	в особенности	2	2
220	этом и	5	2
221	же о	1	2
222	личную жизнь	1	2
223	представить себе	3	2
224	только не	2	2
225	все его	4	2
226	чувственное созерцание	1	2
227	из которых	1	2
228	о наличии	1	2
229	они и	2	2
230	от его	2	2
231	они не	3	2
232	достоевского и	2	2
233	если в	2	2
234	этот труд	1	2
235	должно быть	1	2
236	того как	1	2
237	зависит от	3	2
238	картины в	1	2
239	при всей	5	2
240	ее как	1	2
241	с одной	5	2
242	том числе	1	2
243	должна быть	2	2
244	внимание на	7	2
245	реакции на	1	2
246	своих героев	2	2
247	получает в	1	2
248	с нею	2	2
249	да и	5	2
250	следует иметь	1	2
251	хотя и	8	2
252	подчеркнуть что	2	2
253	о чем	6	2
254	что при	1	2
255	в большей	1	2
256	не приходится	1	2
257	по слову	3	2
258	после этого	1	2
259	как у	6	2
260	и через	2	2
261	для них	2	2
262	произведения эта	1	2
263	не столько	2	2
264	с другими	1	2
265	его от	1	2
266	из многочисленных	1	2
267	по себе	4	2
268	частности в	2	2
269	но с	1	2
270	в своих	2	2
271	и даже	4	2
272	что ни	1	2
273	этой точки	1	2
274	мышления в	1	2
275	и наконец	2	2
276	в которой	2	2
277	не о	2	2
278	а о	2	2
279	ни одна	1	2
280	всех его	2	2
281	и социальные	1	2
282	мысль о	1	2
283	что она	3	2
284	но не	7	2
285	в ней	5	2
286	в жизни	9	2
287	в последнем	1	2
288	свидетельствуют о	1	2
289	к его	5	2
290	не подлежит	3	2
291	же как	2	2
292	что мы	2	2
293	на этом	1	2
294	не вполне	3	2
295	противном случае	1	2
296	живет не	1	2
297	не менее	6	2
298	можно ли	1	2
299	так сказать	4	2
300	ли не	3	2
301	бы не	1	2
302	остановимся на	1	2
303	может не	1	2
304	отличается от	1	2
305	на то	4	2
306	себе и	2	2
307	которая не	3	2
308	в чем	3	2
309	числе и	1	2
310	например как	1	2
311	конечном итоге	1	2
312	говорит об	1	2
313	так например	1	2
314	могло бы	3	2
315	сих пор	3	2
316	и отдельные	1	2
317	по его	3	2
318	а для	4	2
319	еще не	6	2
320	все они	1	2
321	иметь в	1	2
322	во всяком	2	2
323	и потому	2	2
324	еще и	1	2
325	того или	3	2
326	до сих	3	2
327	человека в	2	2
328	и быть	1	2
329	а к	3	2
330	а как	2	2
331	ли это	1	2
332	до нас	1	2
333	первая из	1	2
334	лица и	2	2
335	в течение	1	2
336	всяком случае	2	2
337	одной стороны	5	2
338	относится к	1	2
339	также и	4	2
340	в другом	5	2
341	но то	1	2
342	не по	5	2
343	не всегда	4	2
344	по крайней	1	2
345	лишь в	3	2
346	в системе	1	2
347	результате чего	1	2
348	не с	1	2
349	плана в	1	2
350	в различных	1	2
351	о своем	2	2
352	можно было	2	2
353	часто не	3	2
354	только у	1	2
355	даже не	1	2
356	стороны и	1	2
357	и сам	4	2
358	только то	1	2
359	даже самая	1	2
360	никаких оснований	1	2
361	пока еще	4	2
362	или наконец	1	2
363	как известно	3	2
364	из рассказа	2	2
365	ни одного	2	2
366	он и	2	2
367	к ним	2	2
368	же самое	3	2
369	в книге	1	2
370	будто бы	2	2
371	в сфере	2	2
372	начиная с	3	2
373	и у	4	2
374	о его	3	2
375	одной из	2	2
376	в образе	1	2
377	на него	4	2
378	он не	8	2
379	или иной	6	2
380	в общем	1	2
381	он может	1	2
382	который в	2	2
383	если они	1	2
384	сознания субъекта	2	2
385	в реальной	1	2
386	этом процессе	1	2
387	он сам	4	2
388	в области	4	2
