N	2gram	Berdyaev_M	Vladivir
1	вл соловьева	1	559
2	вл соловьев	2	421
3	и в	61	116
4	то что	10	71
5	и не	26	67
6	у него	38	65
7	не только	42	65
8	в этом	34	53
9	в том	9	52
10	том что	7	51
11	соловьева в	1	50
12	что в	12	48
13	но и	34	47
14	в конце	11	41
15	в его	10	40
16	и с	6	39
17	то есть	3	37
18	и даже	1	36
19	сказать что	5	36
20	также и	6	36
21	учение о	3	35
22	так что	3	35
23	потому что	25	33
24	что он	16	32
25	не может	39	31
26	о том	5	30
27	только в	7	30
28	никогда не	30	29
29	для него	28	29
30	вовсе не	1	27
31	а в	4	27
32	не было	25	26
33	а к	2	25
34	в себе	12	25
35	но в	12	25
36	в то	2	25
37	и то	2	25
38	и его	13	25
39	а также	1	24
40	даже и	2	24
41	точки зрения	6	23
42	он не	34	23
43	может быть	42	23
44	что же	2	23
45	он был	18	22
46	ни в	3	22
47	так как	10	22
48	об этом	2	22
49	в своей	18	21
50	вместе с	7	21
51	а именно	1	20
52	и что	4	20
53	в своем	17	20
54	для нас	3	20
55	прежде всего	18	20
56	не менее	1	19
57	по поводу	1	19
58	в течение	1	19
59	так и	5	19
60	и потому	17	19
61	как и	14	18
62	не мог	6	18
63	не в	16	18
64	не был	8	18
65	хотя и	2	18
66	с его	6	18
67	в письме	1	17
68	то это	1	17
69	что и	6	17
70	в этой	12	17
71	и если	1	17
72	а не	36	17
73	у нас	13	17
74	все же	2	16
75	уже не	8	16
76	к тому	6	16
77	не есть	21	16
78	совсем не	3	16
79	для себя	1	16
80	и все	13	16
81	было бы	11	16
82	того что	13	16
83	в котором	9	16
84	и к	9	15
85	то же	4	15
86	в своих	4	15
87	к этому	3	15
88	в эти	1	15
89	письме к	1	15
90	иной раз	1	15
91	разного рода	2	15
92	до конца	16	15
93	но это	8	15
94	это было	1	15
95	все эти	3	14
96	мы уже	1	14
97	и на	9	14
98	уже в	6	14
99	и как	3	14
100	во всем	5	13
101	с тем	10	13
102	так же	5	13
103	на этот	2	13
104	и от	3	13
105	что это	5	13
106	то время	2	13
107	да и	1	13
108	жизни и	6	13
109	по себе	2	12
110	и это	16	12
111	и у	3	12
112	и по	4	12
113	в нем	26	12
114	то в	2	12
115	если не	1	12
116	всяком случае	1	12
117	ничего не	4	12
118	во всяком	1	12
119	есть только	2	12
120	к леонтьев	1	12
121	но что	1	11
122	хотя бы	8	11
123	в которой	8	11
124	я не	4	11
125	на то	1	11
126	он уже	8	11
127	и здесь	6	11
128	в отношении	6	11
129	это есть	4	11
130	еще в	4	11
131	все это	6	11
132	то он	3	11
133	мы должны	1	11
134	не очень	1	11
135	и о	1	11
136	конце концов	3	11
137	в самом	15	10
138	что все	5	10
139	такого рода	1	10
140	с точки	1	10
141	можно было	1	10
142	к нему	8	10
143	с ним	5	10
144	в россии	2	10
145	еще не	1	10
146	которую он	2	10
147	в истории	2	10
148	он и	2	10
149	о нем	2	10
150	в ней	23	10
151	но не	8	10
152	и был	1	9
153	о чем	3	9
154	и сам	1	9
155	с этим	4	9
156	смысле слова	7	9
157	с другой	1	9
158	но он	17	9
159	и можно	3	9
160	а с	1	9
161	не будет	3	9
162	из этого	1	9
163	в начале	2	9
164	оно есть	1	9
165	отношения к	6	9
166	своей жизни	1	9
167	что мы	1	9
168	что если	1	9
169	это не	10	9
170	ни с	4	9
171	с этой	4	8
172	это значит	3	8
173	не столько	1	8
174	в этих	6	8
175	тем что	7	8
176	в это	1	8
177	которой он	2	8
178	в этот	2	8
179	конечно не	3	8
180	себя в	6	8
181	и он	21	8
182	в смысле	1	8
183	в чем	3	8
184	значит что	4	8
185	как в	9	8
186	должно быть	5	8
187	как бы	10	8
188	и для	7	8
189	тот же	1	8
190	xix века	4	8
191	и я	5	8
192	только и	7	8
193	когда он	3	8
194	отношение к	9	8
195	к этой	3	7
196	в одном	1	7
197	в них	5	7
198	но все	1	7
199	к ней	6	7
200	в нашем	2	7
201	и мы	2	7
202	мы читаем	1	7
203	себе и	4	7
204	за пределы	5	7
205	о его	1	7
206	был в	4	7
207	и есть	21	7
208	который был	4	7
209	в я	1	7
210	если бы	5	7
211	к его	1	7
212	не имеет	7	7
213	в каком	2	7
214	философии но	2	7
215	бы и	8	7
216	и вот	7	7
217	того чтобы	4	7
218	но если	4	7
219	в свое	1	7
220	не без	1	7
221	к концу	5	7
222	нисколько не	1	7
223	на его	1	7
224	то и	1	7
225	е в	1	7
226	как он	4	7
227	был и	1	6
228	же и	2	6
229	тому что	2	6
230	мысли и	2	6
231	те же	5	6
232	в виду	2	6
233	уже на	1	6
234	его на	4	6
235	но у	2	6
236	для того	4	6
237	в отличие	1	6
238	он сам	11	6
239	той же	3	6
240	его в	6	6
241	чем в	3	6
242	что она	5	6
243	на себя	1	6
244	время как	2	6
245	под влиянием	1	6
246	и речи	1	6
247	по своей	4	6
248	в боге	7	6
249	он пишет	1	6
250	она была	2	6
251	не раз	1	6
252	не с	1	6
253	и из	1	6
254	должен был	4	6
255	но на	2	6
256	и теперь	1	6
257	н страхов	1	6
258	мы не	2	6
259	которых он	5	6
260	всегда был	1	6
261	и тут	1	6
262	и всегда	3	6
263	было для	3	6
264	но я	1	6
265	к своему	2	6
266	по своему	3	6
267	жизнь и	5	6
268	ко всему	2	6
269	тем более	1	6
270	отличие от	1	6
271	в жизни	7	6
272	есть и	6	6
273	от того	4	6
274	в период	1	6
275	о боге	7	6
276	и наконец	1	6
277	что на	1	6
278	есть не	9	6
279	еще более	3	5
280	говорит о	1	5
281	и до	1	5
282	отношением к	2	5
283	на эту	1	5
284	вопрос о	7	5
285	говорит что	3	5
286	не вполне	1	5
287	как на	1	5
288	и еще	3	5
289	него не	3	5
290	быть в	1	5
291	что они	4	5
292	во всех	3	5
293	что у	3	5
294	и за	2	5
295	в философии	1	5
296	и тем	1	5
297	в последний	1	5
298	он в	4	5
299	вера в	3	5
300	с которым	2	5
301	во время	1	5
302	в частности	1	5
303	один из	9	5
304	все то	1	5
305	жизни в	3	5
306	за границу	1	5
307	нет ничего	9	5
308	бог и	8	5
309	в свою	5	5
310	мы имеем	1	5
311	по преимуществу	4	5
312	что я	1	5
313	друг друга	12	5
314	это был	2	5
315	ее в	1	5
316	со своим	2	5
317	на одной	2	5
318	место в	4	5
319	в их	4	5
320	и без	2	5
321	он никогда	3	5
322	на все	3	5
323	со своей	2	5
324	она не	9	5
325	но она	3	5
326	учение об	1	5
327	в россию	1	5
328	и часто	2	5
329	бытия и	1	5
330	и прежде	1	5
331	в области	1	5
332	и только	1	5
333	которой мы	1	5
334	не к	6	5
335	только что	1	4
336	которые не	2	4
337	нас в	3	4
338	нужно сказать	1	4
339	их в	1	4
340	по своим	1	4
341	отца и	1	4
342	не могли	1	4
343	мы увидим	4	4
344	но этот	3	4
345	об отношении	1	4
346	с л	1	4
347	уже и	1	4
348	не что	4	4
349	в глаза	1	4
350	бога и	13	4
351	наряду с	1	4
352	были в	1	4
353	она есть	3	4
354	бог есть	4	4
355	не то	1	4
356	сам по	2	4
357	и весь	1	4
358	что иное	4	4
359	есть его	1	4
360	и нужно	2	4
361	нет и	6	4
362	не о	2	4
363	но для	2	4
364	и всю	2	4
365	и вместе	4	4
366	об этой	1	4
367	всех своих	1	4
368	на этом	5	4
369	в духе	6	4
370	кажется что	1	4
371	когда мы	2	4
372	я в	1	4
373	всю жизнь	7	4
374	любви к	14	4
375	время он	1	4
376	эту тему	1	4
377	вплоть до	1	4
378	не так	6	4
379	и против	3	4
380	как с	1	4
381	в сущности	2	4
382	истории в	2	4
383	что сам	1	4
384	не на	1	4
385	не могут	6	4
386	с ней	3	4
387	был для	2	4
388	заключается в	1	4
389	по истории	1	4
390	и т	1	4
391	себя и	6	4
392	с начала	1	4
393	он мог	2	4
394	человека и	19	4
395	только одно	3	4
