N	3gram	Bakhtin_Fr	PoTuStor
1	с точки зрения	4	6
2	на самом деле	5	4
3	по ту сторону	1	4
4	с самого начала	1	4
5	до сих пор	6	3
6	не может быть	2	3
7	в большинстве случаев	3	3
8	по сравнению с	2	3
9	во всяком случае	2	3
10	можно сказать что	2	3
11	все то что	2	2
12	и с его	2	2
13	в конечном счете	1	2
14	о том что	3	2
15	не нуждается в	1	2
16	в его целом	3	2
17	и в этом	1	2
18	со всех сторон	1	1
19	остановимся прежде всего	1	1
20	так и в	1	1
21	все же в	2	1
22	в том что	2	1
23	мы знаем что	1	1
24	не что иное	1	1
25	что иное как	1	1
26	дело в том	2	1
27	его интересует только	2	1
28	ни в коем	1	1
29	той или иной	2	1
30	вводит нас в	1	1
31	но несмотря на	1	1
32	лежит на границе	1	1
33	подобно тому как	2	1
34	него существует только	1	1
35	как мы сказали	1	1
36	не дает нам	2	1
37	в применении к	1	1
38	для него существует	1	1
39	можно было бы	2	1
40	прежде всего на	1	1
41	каждого из этих	1	1
42	и прежде всего	3	1
43	никакому сомнению что	2	1
44	в данном случае	3	1
45	мы имеем в	2	1
46	как мы знаем	2	1
47	что в них	1	1
48	что между ними	1	1
49	между ними уже	1	1
50	самом деле в	1	1
51	так как его	1	1
52	и его школы	1	1
53	то ни было	1	1
54	имеем в виду	2	1
55	и того же	1	1
56	этого метода в	1	1
57	и т.п и	1	1
58	до поры до	1	1
59	и др и	1	1
60	в высшей степени	1	1
61	в свое время	1	1
62	его отношение к	2	1
63	коем случае нельзя	1	1
64	в коем случае	1	1
65	для того чтобы	5	1
66	что может быть	1	1
67	но в основном	1	1
68	как это делает	1	1
69	в нем и	1	1
70	с одной стороны	4	1
71	на первый план	1	1
72	поры до времени	1	1
73	в этом отношении	4	1
74	или во всяком	1	1
75	момент и момент	1	1
76	связи с этим	1	1
77	таким образом и	2	1
78	это и есть	2	1
79	сих пор еще	2	1
80	бы то ни	1	1
81	но даже и	2	1
82	свой смысл и	1	1
83	но вернемся к	3	1
84	но именно этот	1	1
85	одного и того	1	1
86	смысл и значение	1	1
87	несколько слов о	1	1
88	в связи с	5	1
89	может быть только	1	1
