N	2gram	Medvedev_F	Myshleni
1	в том	17	195
2	внутренней речи	1	191
3	в этом	39	167
4	то что	14	166
5	и в	54	162
6	том что	3	161
7	в развитии	2	151
8	таким образом	28	147
9	точки зрения	21	143
10	с помощью	13	131
11	что в	10	119
12	мышления и	2	117
13	не только	14	116
14	того что	7	109
15	в процессе	17	101
16	так же	5	100
17	речи и	2	99
18	и речи	2	96
19	потому что	2	95
20	того чтобы	4	91
21	может быть	30	89
22	с точки	17	89
23	что он	8	86
24	не может	26	81
25	как и	18	79
26	для того	3	78
27	так как	4	78
28	и не	34	78
29	только в	6	75
30	в целом	7	74
31	как мы	10	72
32	речи в	1	70
33	но и	18	70
34	заключается в	1	67
35	в его	30	67
36	сказать что	3	65
37	как бы	10	64
38	вместе с	8	62
39	и что	2	60
40	было бы	10	60
41	в качестве	2	60
42	то же	16	58
43	в основе	7	58
44	мышления в	1	56
45	в отношении	3	55
46	между собой	1	53
47	в силу	1	53
48	в самом	17	52
49	по сравнению	1	51
50	в сущности	3	51
51	к тому	6	49
52	что они	4	48
53	тем что	6	48
54	понятий и	4	47
55	на основе	6	47
56	мы не	6	47
57	сравнению с	1	46
58	если бы	8	46
59	по отношению	4	45
60	но не	5	45
61	с другой	8	45
62	с тем	11	43
63	же как	3	43
64	тем самым	5	43
65	тому что	3	42
66	как это	8	42
67	отношению к	4	42
68	не является	3	41
69	о том	1	40
70	по своей	1	40
71	одной стороны	5	40
72	никогда не	6	39
73	говорит он	7	39
74	с одной	5	39
75	так и	24	39
76	мы видели	5	38
77	в области	6	38
78	и к	7	37
79	вопрос о	3	37
80	если мы	5	37
81	мы видим	1	37
82	не в	16	37
83	в этой	10	37
84	значение слова	1	37
85	с самого	2	36
86	в своем	12	36
87	все эти	12	36
88	самого начала	2	36
89	как в	12	36
90	а не	11	36
91	и его	27	36
92	того же	1	35
93	можно было	1	35
94	в себе	4	35
95	в которой	5	35
96	он не	8	35
97	связи с	12	34
98	во внутренней	1	34
99	и как	6	34
100	приводит к	4	34
101	прежде всего	34	33
102	при этом	14	33
103	по себе	10	33
104	именно в	12	32
105	и на	10	32
106	той же	2	32
107	что оно	4	32
108	по своему	1	32
109	что и	10	32
110	и тем	3	32
111	но в	9	32
112	слова и	5	32
113	все же	8	31
114	из того	1	31
115	и то	1	31
116	на то	2	30
117	этом отношении	7	30
118	этого слова	4	29
119	между тем	4	29
120	и развития	2	29
121	как известно	1	29
122	могут быть	7	29
123	от того	2	29
124	с этим	6	28
125	самом деле	12	28
126	только что	1	27
127	с этой	4	27
128	в результате	8	27
129	другой стороны	5	27
130	этом случае	1	27
131	в то	14	27
132	и с	17	27
133	в своей	16	27
134	связь между	1	27
135	речи но	1	27
136	перед нами	3	27
137	в их	16	26
138	понятия в	2	26
139	в собственном	1	26
140	собственном смысле	1	26
141	что это	1	26
142	для него	9	26
143	мысли в	2	26
144	в частности	4	26
145	значения слова	1	25
146	в чем	2	25
147	еще не	6	25
148	уже в	1	25
149	все это	11	25
150	можно сказать	2	25
151	своего развития	2	25
152	только не	2	25
153	мы уже	1	25
154	это не	4	25
155	в смысле	2	24
156	мы знаем	3	24
157	зависимости от	5	24
158	целый ряд	4	24
159	на этот	1	24
160	в какой	3	24
161	так что	2	24
162	что эта	2	24
163	в нем	25	24
164	в слове	4	24
165	в высшей	4	24
166	друг друга	4	23
167	этот вопрос	2	23
168	состоит в	3	23
169	бы в	6	23
170	ни в	3	23
171	как он	2	23
172	связи между	1	23
173	слова в	2	23
174	во всяком	6	22
175	не могут	8	22
176	о развитии	1	22
177	смысле этого	4	22
178	столь же	2	22
179	в зависимости	4	22
180	и развитие	2	22
181	в школе	2	22
182	высшей степени	4	22
183	между ними	3	21
184	к этому	3	21
185	и ее	15	21
186	представление о	2	21
187	в нашем	2	21
188	его в	5	21
189	все время	7	21
190	в свете	1	21
191	там где	3	21
192	и все	9	21
193	не имеет	2	21
194	в истории	10	21
195	в сознании	1	21
196	ее в	3	21
197	и более	4	21
198	отношение к	4	21
199	в виду	2	20
200	не менее	12	20
201	в котором	2	20
202	в другом	2	20
203	к которому	2	20
204	из них	5	20
205	из этих	4	20
206	в такой	3	20
207	и других	4	20
208	а в	11	20
209	едва ли	3	20
210	как раз	8	20
211	на этом	2	20
212	должно быть	13	20
213	по существу	8	20
