N	3gram	Bakhtin_Pr	Russkaja
1	друг с другом	6	14
2	то же время	8	10
3	в то же	8	10
4	с точки зрения	13	9
5	в том что	6	7
6	во всяком случае	1	6
7	а между тем	2	5
8	до сих пор	8	5
9	не может быть	8	4
10	на то что	2	4
11	более или менее	3	4
12	той или иной	2	3
13	в конце концов	1	3
14	можно было бы	2	3
15	в данном случае	1	3
16	в этом случае	1	3
17	и то что	1	3
18	к вопросу о	1	3
19	и не может	6	3
20	что он не	1	2
21	с самим собой	1	2
22	в большинстве случаев	9	2
23	и тем самым	1	2
24	но она не	1	2
25	о том что	3	2
26	сама по себе	2	2
27	к тому что	1	2
28	а следовательно и	2	2
29	друг от друга	2	2
30	мы говорили в	2	2
31	и вместе с	1	2
32	что в большинстве	2	1
33	главное и это	1	1
34	с другом как	1	1
35	и не к	1	1
36	но при этом	1	1
37	лишь тогда когда	1	1
38	с другом все	1	1
39	и с точки	1	1
40	дело в том	3	1
41	в этом есть	1	1
42	смысле этого слова	2	1
43	и в некоторых	1	1
44	которая как мы	1	1
45	но в то	3	1
46	это конечно не	2	1
47	мы уже знаем	1	1
48	уже знаем что	1	1
49	мы не знаем	1	1
50	том числе и	13	1
51	не подлежит сомнению	1	1
52	как бы не	1	1
53	так же как	1	1
54	тех или иных	2	1
55	по отношению к	5	1
56	такое положение в	1	1
57	и прежде всего	5	1
58	и во всем	1	1
59	и ту же	1	1
60	но не к	1	1
61	по крайней мере	2	1
62	прежде всего в	1	1
63	полное представление о	1	1
64	и в других	1	1
65	но это же	1	1
66	с самого начала	4	1
67	так как это	1	1
68	в его жизни	1	1
69	что касается до	1	1
70	но мы уже	1	1
71	в некоторых из	1	1
72	сойтись друг с	1	1
73	одну и ту	1	1
74	здесь же мы	1	1
75	в связи с	1	1
76	то же самое	1	1
77	что с точки	1	1
78	в том числе	15	1
79	тем не менее	2	1
80	того и другого	2	1
81	некоторых из них	2	1
82	что для этого	1	1
83	сходятся друг с	1	1
84	во всем мире	2	1
85	может стремиться к	1	1
86	в этом отношении	1	1
87	по отношению ко	1	1
88	жизни и в	1	1
89	в применении к	1	1
90	в этом и	1	1
91	спорят друг с	1	1
92	в его целом	1	1
93	к себе и	1	1
94	на этот вопрос	1	1
95	или хотя бы	1	1
96	состоит в том	1	1
97	к тому же	1	1
98	которую можно назвать	1	1
99	потому что они	1	1
100	и в этом	1	1
101	друг к другу	1	1
