N	2gram	Medvedev_V	DiskursI
1	и в	2	49
2	и не	1	44
3	в том	2	44
4	том что	2	40
5	в этом	1	38
6	в частности	1	36
7	далеко не	1	18
8	то же	1	17
9	только в	1	16
10	ни к	1	14
11	столь же	1	11
12	и т.д	1	10
13	сводится к	1	9
14	потому что	1	8
15	к этому	1	7
16	но это	1	7
17	и его	1	7
18	именно в	1	6
19	крайней мере	1	6
20	и то	1	6
21	в которых	1	6
22	собственно и	1	6
23	по крайней	1	6
24	дело в	1	6
25	по своим	1	5
26	в другом	1	5
27	значительной степени	1	5
28	в значительной	1	5
29	в их	1	5
30	в самом	1	4
31	и составляет	1	4
32	чего не	1	4
33	я не	1	4
34	более чем	1	4
35	прозы в	1	3
36	к чему	1	3
37	одно и	1	3
38	да и	1	3
39	а.н веселовского	2	3
40	хотя бы	1	3
41	без учета	1	2
42	все то	1	2
43	по поводу	1	2
44	теории литературы	1	2
45	время в	1	2
46	а только	1	2
47	речи и	1	2
48	самом деле	1	2
49	в теории	1	2
50	все это	1	2
51	по существу	1	2
52	впрочем не	1	2
53	так в	1	2
54	тем более	1	2
55	в книге	3	2
56	и только	1	2
57	о теории	1	1
58	другое дело	1	1
59	на одном	1	1
60	не одно	1	1
61	в конце	2	1
62	теории прозы	2	1
63	никакой теории	1	1
64	даже не	1	1
65	все дело	1	1
66	одном и	1	1
67	их как	1	1
68	для них	1	1
69	к созданию	1	1
70	и заключается	1	1
71	не играет	1	1
72	том же	1	1
73	и том	1	1
74	стоит на	1	1
75	так как	1	1
76	другом месте	1	1
77	о существенной	1	1
78	же с	1	1
79	то чего	1	1
80	и почти	1	1
81	в сугубо	1	1
82	этом и	1	1
