N	4gram	Tiupa_Anal	Narrotol
1	в то же время	7	8
2	состоит в том что	1	6
3	мы имеем дело с	1	5
4	обращает на себя внимание	1	3
5	дело в том что	3	3
6	представляет собой своего рода	1	2
7	присутствия человеческого я в	1	2
8	мысль о том что	1	2
9	есть на самом деле	1	2
10	с той или иной	2	2
11	как уже говорилось выше	1	2
12	и дело здесь не	1	2
13	одного и того же	4	2
14	ни чем иным как	1	2
15	в войне и мире	2	2
16	как раз в том	1	2
17	раз в том что	1	2
18	в той или иной	2	2
19	к тому же в	2	2
20	человеческого я в мире	1	2
21	в полном его составе	1	1
22	в свою очередь членится	1	1
23	в готовом стабильно дифференцированном	1	1
24	оно живет в готовом	1	1
25	дифференцированном и оцененном мире	1	1
26	не что иное как	1	1
27	присутствия я в мире	4	1
28	имеет в своем составе	1	1
29	живет в готовом стабильно	1	1
30	свою очередь членится на	1	1
31	нем звучит один голос	1	1
32	не для того чтобы	1	1
33	строго отграниченная система смыслов	1	1
34	который в свою очередь	2	1
35	индивида и его поступки	1	1
36	может ощущаться завершенная и	1	1
37	лишь в самом начале	1	1
38	и строго отграниченная система	1	1
39	в качестве одного из	1	1
40	и к себе самому	1	1
41	и делает героя в	1	1
42	не отделен от своей	1	1
43	завершенная и строго отграниченная	1	1
44	своей судьбы они едины	1	1
45	войне и мире толстого	1	1
46	состоит как раз в	1	1
47	едины судьба выражает внеличную	1	1
48	и его поступки только	1	1
49	в данном случае это	1	1
50	позицию по отношению к	1	1
51	представляет собой один из	1	1
52	дело здесь не только	4	1
53	в этом же году	1	1
54	организации кадров внутреннего зрения	1	1
55	кадров внутреннего зрения и	1	1
56	один и тот же	1	1
57	в нем звучит один	1	1
58	единственный в тексте случай	1	1
59	вступает в противоречие с	1	1
60	ощущаться завершенная и строго	1	1
61	они едины судьба выражает	1	1
62	ни одна из них	1	1
63	не следует смешивать с	1	1
64	судьбы они едины судьба	1	1
65	не тот кто говорит	1	1
66	в том что он	2	1
67	его поступки только раскрывают	1	1
68	сторону индивида и его	1	1
69	выражает внеличную сторону индивида	1	1
70	готовом стабильно дифференцированном и	1	1
71	только раскрывают содержание судьбы	1	1
72	судьба выражает внеличную сторону	1	1
73	в организации кадров внутреннего	1	1
74	он не тот кто	1	1
75	одна из них не	1	1
76	тем не менее не	1	1
77	в соответствии с его	1	1
78	по тем или иным	1	1
79	внеличную сторону индивида и	1	1
80	и здесь мы имеем	1	1
81	здесь не только в	3	1
82	отделен от своей судьбы	1	1
83	то же время они	1	1
84	может быть определена как	1	1
85	не в том что	1	1
86	бахтин может ощущаться завершенная	1	1
87	поступки только раскрывают содержание	1	1
88	слова в соответствии с	1	1
89	от своей судьбы они	1	1
90	в том или ином	1	1
91	стабильно дифференцированном и оцененном	1	1
92	есть не что иное	1	1
