N	3gram	Trubetskoy	Problemy
1	то же время	10	26
2	в то же	10	26
3	с точки зрения	9	25
4	по отношению к	1	18
5	о себе самом	1	17
6	на самом деле	6	15
7	не может быть	4	14
8	в большинстве случаев	2	12
9	но в то	1	11
10	в конце концов	3	11
11	до сих пор	5	10
12	в самом деле	1	9
13	с самого начала	1	9
14	с самим собой	2	9
15	во всяком случае	6	9
16	в том что	7	8
17	в его целом	1	8
18	и не может	3	8
19	друг с другом	14	8
20	сама по себе	2	7
21	бы то ни	4	7
22	и в этом	1	7
23	то ни было	1	6
24	к тому же	1	5
25	той или иной	3	5
26	по крайней мере	1	5
27	но все же	1	5
28	можно было бы	3	5
29	но на самом	1	5
30	себе еще не	1	4
31	к тому чтобы	4	4
32	он не может	1	4
33	тем не менее	1	4
34	а между тем	5	4
35	по себе еще	1	4
36	более или менее	4	4
37	смысле этого слова	1	4
38	и прежде всего	1	4
39	о том что	2	4
40	в этом отношении	1	4
41	друг к другу	1	4
42	но при этом	1	3
43	в настоящее время	2	3
44	в данном случае	3	3
45	и в других	1	3
46	что он есть	1	3
47	в том и	2	3
48	на то что	4	3
49	того и другого	1	3
50	на этот вопрос	1	3
51	в этом случае	3	3
52	тем что он	1	3
53	что он не	2	2
54	так чтобы в	1	2
55	при том условии	3	2
56	что же это	1	2
57	как бы ни	1	2
58	и в другом	2	2
59	в том же	1	2
60	для того чтобы	6	2
61	что все это	1	2
62	в свою очередь	1	2
63	дело в том	1	2
64	друг от друга	2	2
65	как бы не	1	2
66	которая как мы	1	2
67	вместе с тем	3	2
68	то же самое	1	2
69	к тому что	2	2
70	только то что	1	2
71	и во всяком	2	2
72	идет не об	1	2
73	что в большинстве	1	2
74	сводится к тому	1	2
75	том и в	2	2
76	и только в	1	2
77	но она не	2	2
78	а следовательно и	2	2
79	в значительной степени	1	2
80	в лучшем случае	3	2
81	него прежде всего	1	2
82	и в том	2	2
83	всяком случае не	1	2
84	в себе и	2	2
85	прежде всего в	1	2
86	так же как	1	1
87	эта последняя может	1	1
88	должны были бы	1	1
89	его лежит не	1	1
90	и в жизни	1	1
91	и как бы	1	1
92	может быть назван	1	1
93	каждая из них	1	1
94	в этом направлении	2	1
95	не могло бы	1	1
96	различны в зависимости	1	1
97	до известной степени	1	1
98	для него прежде	1	1
99	и во всем	1	1
100	есть то что	1	1
101	котором идет речь	2	1
102	в том числе	1	1
103	что он на	1	1
104	на том же	1	1
105	о которых мы	1	1
106	заключает в себе	1	1
107	мы подходим к	1	1
108	не может но	1	1
109	он на самом	1	1
110	здесь же мы	1	1
111	то что оно	1	1
112	то есть не	1	1
113	во что бы	3	1
114	прежде всего необходимо	1	1
115	она не может	2	1
116	самим собой в	1	1
117	которой он сам	2	1
118	но даже и	1	1
119	с нею в	1	1
120	одного и того	1	1
121	с другом как	1	1
122	согласиться с ним	1	1
123	это конечно не	1	1
124	о котором идет	2	1
125	том числе и	1	1
126	и вместе с	2	1
127	точно так же	2	1
128	в полной мере	1	1
129	тех или иных	1	1
130	такое положение в	1	1
131	а в том	1	1
132	и того же	1	1
133	зависит от того	1	1
134	по сравнению со	1	1
135	одну и ту	1	1
136	в связи с	1	1
137	что с точки	1	1
138	в своем стремлении	1	1
139	не может не	3	1
140	мы уже указали	1	1
141	по этому пути	1	1
142	перед нами не	1	1
143	на первый взгляд	1	1
144	это как не	1	1
145	того ни другого	1	1
146	то ни стало	3	1
147	быть не может	1	1
148	лишь тогда когда	1	1
149	того или иного	2	1
150	за то что	1	1
151	самим собой не	1	1
152	не только для	1	1
153	что он может	1	1
154	приходится признать что	1	1
155	прежде всего на	1	1
156	любви и примирения	1	1
157	и вот в	1	1
158	и видеть в	1	1
159	и ту же	1	1
160	заключается в том	1	1
161	единство все же	1	1
162	ни того ни	1	1
163	в другом месте	1	1
164	сойтись друг с	1	1
165	и без них	1	1
166	самим собой и	2	1
167	не только к	2	1
168	к одному из	1	1
169	но как бы	1	1
170	может стремиться к	1	1
171	точку зрения все	1	1
172	несмотря на то	1	1
173	вообще оставаясь в	1	1
174	то и другое	1	1
175	должно быть и	1	1
176	в противном случае	1	1
177	что бы то	3	1
178	ни одна из	2	1
179	и в частности	1	1
180	его жизни и	1	1
181	что оно есть	1	1
182	здесь мы подходим	1	1
183	мы не знаем	1	1
184	с нею и	1	1
185	прежде всего с	1	1
186	и то что	3	1
187	и что в	1	1
188	то что для	1	1
189	а в нем	1	1
190	или хотя бы	1	1
191	в другом случае	2	1
192	это потому что	2	1
193	самим собой а	1	1
194	вопрос о том	1	1
195	но для этого	1	1
196	из которых каждый	2	1
197	это и есть	1	1
198	второстепенную роль и	1	1
199	данном случае и	1	1
200	но и для	1	1
201	этого вопроса необходимо	1	1
202	неизбежно приводит к	1	1
203	потому что они	1	1
204	именно с точки	1	1
