N	3gram	Losev_Vlad	DiskursI
1	в том что	13	28
2	с одной стороны	1	14
3	не может быть	4	12
4	то же время	7	10
5	о том что	9	9
6	в то же	7	8
7	в этом отношении	2	8
8	и все же	2	7
9	так и в	1	6
10	к тому же	3	6
11	по крайней мере	1	6
12	и как бы	1	5
13	с другой стороны	3	5
14	в свою очередь	2	5
15	что же касается	8	5
16	дело в том	7	5
17	не только в	3	5
18	до известной степени	1	4
19	тем не менее	8	4
20	можно сказать что	3	4
21	не в том	3	4
22	а с другой	1	4
23	и не может	1	4
24	в свое время	6	4
25	в этом случае	1	4
26	говоря уже о	3	3
27	в том числе	1	3
28	при этом в	2	3
29	более или менее	5	3
30	и то же	1	3
31	мы имеем дело	1	3
32	не говоря уже	3	3
33	и в частности	3	3
34	одно и то	1	3
35	содержит в себе	1	3
36	в себе не	1	3
37	том что в	3	3
38	во всяком случае	8	3
39	также и в	2	3
40	бы то ни	2	2
41	заключать в себе	1	2
42	он не может	1	2
43	потому что в	2	2
44	о чем не	1	2
45	но в данном	1	2
46	и в то	3	2
47	для своего времени	2	2
48	по себе не	1	2
49	а в том	3	2
50	до настоящего времени	1	2
51	то ни было	1	2
52	в целом и	1	2
53	лицом к лицу	1	2
54	и в том	2	2
55	мысль о том	1	2
56	не могли быть	1	2
57	из той же	1	2
58	в том чтобы	4	2
59	и в особенности	1	2
60	так и не	3	2
61	только то что	1	2
62	и той же	1	2
63	не приходится удивляться	1	2
64	же время и	1	2
65	как мы видели	1	2
66	одной и той	1	2
67	но отнюдь не	1	2
68	и то что	7	2
69	с ней в	1	2
70	а также и	2	2
71	что он не	3	1
72	себе не может	1	1
73	в этот период	1	1
74	к разного рода	1	1
75	а не на	1	1
76	если не для	1	1
77	что же это	1	1
78	и тем самым	1	1
79	ему в этом	1	1
80	как и вообще	1	1
81	в чем не	1	1
82	в этом смысле	4	1
83	не было и	1	1
84	в году как	1	1
85	дело не в	1	1
86	в самом деле	1	1
87	в котором он	1	1
88	для того чтобы	3	1
89	что отнюдь не	1	1
90	с ним в	2	1
91	у него в	2	1
92	но на этот	1	1
93	свидетельствует о том	1	1
94	и притом весьма	1	1
95	и вообще в	3	1
96	что у него	2	1
97	так или иначе	3	1
98	же касается самого	2	1
99	сам по себе	1	1
100	это в основном	1	1
101	приходит к выводу	1	1
102	может быть названа	1	1
103	даже и в	1	1
104	есть не что	1	1
105	каков он есть	1	1
106	не может не	1	1
107	имеет дело с	1	1
108	как раз и	2	1
109	ни к какой	1	1
110	в связи с	7	1
111	на этот раз	7	1
112	но все же	1	1
113	несмотря на все	1	1
114	к этому времени	3	1
115	но это не	2	1
116	и о том	1	1
117	он все же	1	1
118	в себе черты	1	1
119	и в этом	1	1
120	прежде всего на	1	1
121	в споре с	1	1
122	во второй половине	3	1
123	заключающие в себе	1	1
124	в ответ на	2	1
125	с теми же	2	1
126	за то что	2	1
127	и потому что	3	1
128	но вообще в	1	1
129	вместе с тем	2	1
130	равно как и	1	1
131	к чему не	1	1
132	иначе но не	1	1
133	и только в	1	1
134	но и здесь	1	1
135	на то что	6	1
136	это обстоятельство было	1	1
137	в этом же	2	1
138	заключается в том	1	1
139	в это время	5	1
140	со своего рода	1	1
141	в которой он	2	1
142	что не только	1	1
143	то что в	1	1
144	там же с	19	1
145	а также в	1	1
146	к одному из	1	1
147	и в них	1	1
148	чего бы то	1	1
149	это не только	1	1
150	и даже с	1	1
151	если в первых	1	1
152	тем более что	2	1
153	хотя и не	2	1
154	хотя бы на	2	1
155	они ничего не	1	1
156	не что иное	2	1
157	и он и	1	1
158	как и следовало	1	1
159	что во всех	1	1
160	том что и	1	1
161	именно здесь в	1	1
162	так и его	1	1
163	кроме того и	2	1
164	не менее об	1	1
165	он не столько	1	1
166	к той же	1	1
167	том что он	4	1
168	и до конца	2	1
169	то чего не	1	1
170	а также от	1	1
171	что иное как	2	1
172	ни к чему	1	1
173	и на его	2	1
174	свободное отношение к	1	1
175	в известной степени	1	1
176	это и есть	1	1
177	оно может быть	1	1
178	и потому как	1	1
179	нет и не	1	1
180	в одних случаях	1	1
181	ни в чем	1	1
182	приходится удивляться что	1	1
183	имеем дело с	1	1
184	после того как	2	1
185	начала и до	2	1
