N	3gram	Medvedev_U	Stilisti
1	в то же	3	9
2	то же время	3	7
3	то же самое	2	4
4	в конце концов	2	3
5	тех или иных	2	3
6	не только в	1	3
7	в этом случае	1	3
8	в той же	1	3
9	в самом деле	2	2
10	художественное творчество и	1	2
11	точном смысле этого	1	2
12	не может быть	4	2
13	можно сказать что	1	2
14	не было бы	1	2
15	но в то	1	2
16	и в то	1	2
17	равно как и	1	2
18	в точном смысле	1	2
19	на первый взгляд	1	2
20	в этом отношении	2	2
21	и не только	1	2
22	является только одним	1	1
23	в том что	2	1
24	его и в	1	1
25	в конечном счете	4	1
26	по крайней мере	2	1
27	хотя бы и	2	1
28	более или менее	1	1
29	но даже и	2	1
30	говорить не о	1	1
31	до сих пор	2	1
32	они находятся в	1	1
33	то о чем	1	1
34	ничего не значит	1	1
35	само по себе	1	1
36	мы имеем в	1	1
37	она должна была	1	1
38	в наиболее резких	1	1
39	и т.д в	1	1
40	не может обойтись	1	1
41	тем что он	1	1
42	между тем в	1	1
43	с другой стороны	3	1
44	слово как таковое	1	1
