N	4gram	Propp_Morf	KulturaY
1	и тем не менее	2	7
2	в то же время	1	6
3	можно было бы сказать	1	6
4	с этой точки зрения	1	5
5	состоит в том что	3	4
6	было бы сказать что	1	4
7	и т д и	1	4
8	в том случае когда	1	3
9	в том случае если	2	3
10	только в том случае	1	3
11	в том что он	1	3
12	в тех случаях когда	2	3
13	уже не может быть	1	2
14	лишь после того как	1	2
15	не что иное как	2	2
16	в собственном смысле слова	3	2
17	один и тот же	1	2
18	то во всяком случае	1	2
19	и т д это	1	2
20	и пр таким образом	1	1
21	и т д такое	1	1
22	нужно иметь в виду	1	1
23	ни в коем случае	1	1
24	если это так то	1	1
25	все более и более	1	1
26	хотя и здесь несомненно	1	1
27	одно и то же	1	1
28	ниже мы увидим что	1	1
29	это еще не все	1	1
30	и т д в	2	1
31	ответить на этот вопрос	1	1
32	даже в тех случаях	1	1
33	с точки зрения их	1	1
34	что бы то ни	1	1
35	в то время как	3	1
36	в связи с этим	4	1
37	было бы считать вообще	1	1
38	и т д а	2	1
39	что далеко не все	1	1
40	с тех пор как	1	1
41	без всякого ущерба для	1	1
42	в этом случае он	1	1
43	и т д словом	1	1
44	тех случаях когда в	1	1
45	бы то ни было	2	1
46	что это и не	1	1
47	и т д другие	1	1
48	которые хотя и не	2	1
49	также по отношению к	1	1
50	бы то ни стало	1	1
51	здесь прежде всего следует	1	1
52	во всех этих случаях	1	1
53	приводит к тому что	1	1
54	и т д все	1	1
55	но если это так	2	1
56	во что бы то	1	1
57	можно себе представить что	1	1
58	и т д но	4	1
59	есть не что иное	1	1
