N	4gram	Potebnia_M	Tvorches
1	в то же время	3	24
2	дело в том что	3	4
3	заключается в том что	1	2
4	с самого начала и	1	1
5	не что иное как	2	1
6	и тем самым заставляет	1	1
7	но и потому что	1	1
8	в том смысле что	2	1
9	все более и более	2	1
10	очень важную роль в	1	1
11	что в каждом человеке	1	1
12	не имеют для них	1	1
13	одного и того же	6	1
14	лишь в том что	1	1
15	не противоречит тому что	1	1
16	сами по себе а	1	1
17	и т д и	1	1
18	в том и другом	2	1
19	не только потому что	1	1
20	с другой стороны и	1	1
21	и т д в	1	1
22	бы то ни было	1	1
23	если так можно выразиться	1	1
24	д и т д	1	1
25	и в свою очередь	3	1
