N	2gram	Bakhtin_Pr	Literetu
1	а не	29	50
2	и не	55	47
3	не только	26	46
4	и в	64	44
5	может быть	43	43
6	при этом	8	41
7	но и	26	41
8	тогда как	1	40
9	в том	12	39
10	в этом	33	38
11	своего рода	1	37
12	том что	8	32
13	такого рода	1	30
14	в частности	1	30
15	то что	21	29
16	в мире	7	28
17	в качестве	1	27
18	то же	18	26
19	как и	25	23
20	в то	15	23
21	себя в	3	22
22	не в	15	22
23	того что	3	22
24	так и	8	22
25	не может	26	22
26	я и	2	21
27	же время	13	21
28	и т.п	1	20
29	в себе	11	20
30	я в	2	19
31	прежде всего	16	19
32	как бы	33	18
33	с другой	7	17
34	точки зрения	31	17
35	то есть	3	17
36	в его	30	17
37	в жизни	5	16
38	сознания в	1	16
39	в этой	5	16
40	не менее	3	15
41	я не	6	15
42	в русской	1	15
43	только в	13	15
44	со стороны	1	15
45	в целом	8	15
46	и даже	5	14
47	по отношению	12	14
48	однако в	3	14
49	что он	15	14
50	в рамках	2	14
51	уже не	15	13
52	в своем	12	13
53	с одной	1	13
54	как это	1	13
55	но не	12	13
56	и его	21	13
57	в своей	11	12
58	о том	5	12
59	в данном	2	12
60	одной стороны	1	12
61	к себе	6	12
62	одним из	7	12
63	еще не	10	12
64	отношению к	12	12
65	не столько	1	11
66	в другом	3	11
67	никогда не	11	11
68	и сам	6	11
69	вместе с	1	11
70	как в	7	11
71	в основе	4	11
72	в отличие	4	11
73	с его	11	11
74	данном случае	2	11
75	это не	12	11
76	отличие от	4	11
77	или иначе	1	11
78	а в	10	11
79	даже в	6	10
80	из них	3	10
81	в ее	2	10
82	что в	11	10
83	и на	16	10
84	для себя	3	10
85	так или	1	10
86	потому что	8	10
87	этом отношении	3	10
88	жизни и	3	10
89	в области	1	10
90	с этой	2	9
91	к тому	4	9
92	искусства и	1	9
93	связи с	3	9
94	один из	3	9
95	что я	7	9
96	в поэзии	2	9
97	одно из	2	9
98	в начале	1	9
99	лишь в	4	9
100	же в	2	9
101	в своих	4	8
102	тем что	6	8
103	все же	11	8
104	исходит из	1	8
105	одна из	5	8
106	того же	3	8
107	едва ли	1	8
108	ли не	1	8
109	с точки	21	8
110	как раз	9	8
111	на себя	4	8
112	что не	3	8
113	в конце	8	8
114	о себе	19	8
115	и ты	1	8
116	художественного творчества	5	8
117	а именно	2	8
118	слова и	8	8
119	той же	8	8
120	но в	14	8
121	уже в	5	8
122	для него	23	8
123	по существу	6	8
124	и как	9	8
125	в искусстве	1	8
126	мира в	5	8
127	в самом	17	7
128	в одном	20	7
129	другой стороны	6	7
130	на свою	1	7
131	именно в	5	7
132	ведет к	1	7
133	в художественном	6	7
134	на фоне	5	7
135	для этого	3	7
136	в противоположность	2	7
137	в кругозоре	2	7
138	по преимуществу	2	7
139	не как	20	7
140	тому же	2	7
141	в случае	1	7
142	он не	14	7
143	и тем	1	7
144	и с	9	7
145	в нем	28	7
146	наконец в	4	7
147	до конца	10	7
148	друг друга	4	7
149	и для	7	7
150	перестает быть	4	7
151	он и	8	7
152	у нас	3	7
153	в их	6	7
154	так в	1	7
155	человека в	8	7
156	личности в	4	7
157	и других	1	7
158	это как	1	7
159	тому как	3	7
160	а затем	1	6
161	в виду	3	6
162	например в	5	6
163	при всей	2	6
164	как на	4	6
165	и он	5	6
166	у него	11	6
167	его в	8	6
168	не было	5	6
169	во всех	4	6
170	в каждом	15	6
171	было бы	8	6
172	подобно тому	3	6
173	с ее	1	6
174	то в	2	6
175	с миром	1	6
176	самом деле	10	6
177	самим собой	1	6
178	в слове	3	6
179	еще и	1	6
180	то и	3	6
181	тем же	3	6
182	и др	7	6
183	что ему	1	6
184	том числе	1	6
185	в ней	2	6
186	далеко не	7	6
187	как будто	4	6
188	и только	3	6
189	и наконец	7	6
190	и к	5	5
191	к этой	1	5
192	тех кто	1	5
193	в связи	1	5
