N	2gram	Berdyaev_O	Psycholo
1	то что	5	193
2	и в	19	190
3	в том	5	163
4	что в	4	123
5	потому что	9	114
6	том что	2	113
7	и что	1	108
8	может быть	11	107
9	в этом	12	100
10	все время	1	86
11	в самом	5	82
12	как бы	3	80
13	для того	3	78
14	того чтобы	4	78
15	что он	3	76
16	не только	11	75
17	на то	1	73
18	и не	13	73
19	что она	1	71
20	самом деле	1	70
21	не может	4	68
22	так как	2	63
23	было бы	3	56
24	если бы	1	55
25	о том	3	54
26	как и	6	51
27	что и	2	50
28	а не	11	50
29	что это	1	49
30	сказать что	2	46
31	по себе	2	46
32	в сущности	1	46
33	заключается в	1	46
34	не в	11	45
35	в этой	5	43
36	никогда не	9	42
37	и все	10	42
38	как это	1	40
39	но и	13	40
40	того что	3	39
41	и это	1	37
42	и как	1	36
43	с тем	2	35
44	вовсе не	1	34
45	и его	4	34
46	все же	2	33
47	что все	2	33
48	когда он	3	33
49	в себе	3	32
50	все это	6	32
51	он не	7	31
52	мы не	1	31
53	в его	7	31
54	в ней	1	31
55	как будто	1	30
56	как в	1	30
57	в нас	1	29
58	и для	2	29
59	в нем	10	29
60	что они	2	28
61	и когда	1	28
62	и то	2	28
63	в своих	3	27
64	и на	2	27
65	а в	5	27
66	так что	2	26
67	совершенно не	1	26
68	и здесь	1	25
69	жизни и	1	25
70	до конца	7	24
71	тем что	2	24
72	указывает на	1	24
73	в своем	2	23
74	один из	1	23
75	могут быть	3	23
76	из них	1	22
77	что у	2	22
78	и даже	1	22
79	в котором	1	21
80	в своей	2	21
81	в конце	1	21
82	и вот	3	21
83	она не	1	20
84	это не	3	20
85	все эти	4	20
86	в одном	1	19
87	в ее	2	19
88	у него	22	19
89	он говорит	1	19
90	в которой	2	18
91	можно было	1	18
92	но в	2	18
93	на самом	1	18
94	но не	1	18
95	действующих лиц	1	18
96	и есть	3	18
97	был бы	1	18
98	есть не	1	18
99	в виду	1	17
100	во всяком	1	17
101	что для	2	17
102	но это	1	17
103	одна из	1	17
104	у нас	1	17
105	и о	2	17
106	и к	2	16
107	к этому	2	16
108	та же	1	16
109	говорит о	1	16
110	не имеет	2	16
111	так и	2	16
112	от того	1	16
113	в них	1	15
114	не могут	3	15
115	на примере	1	15
116	и потому	2	15
117	двух противоположных	1	15
118	еще не	3	15
119	для него	5	15
120	в частности	1	15
121	в совершенно	1	14
122	хотя бы	3	14
123	но он	7	14
124	того как	1	14
125	прежде всего	9	14
126	заключает в	1	14
127	в жизни	1	14
128	бы в	1	14
129	должна быть	1	14
130	это есть	1	14
131	всяком случае	1	14
132	этом отношении	1	14
133	с той	1	14
134	с ним	3	14
135	само по	1	14
136	не могли	2	13
137	а с	1	13
138	и он	8	13
139	говорит он	1	13
140	должен был	2	13
141	со стороны	1	13
142	в этих	3	12
143	может служить	1	12
144	в самой	9	12
145	сам по	1	12
146	и очень	2	12
147	и с	2	12
148	например в	1	12
149	что не	4	12
150	и до	1	12
151	ничего не	2	12
152	не было	9	11
153	была бы	1	11
154	сравнению с	1	11
155	и заключается	1	11
156	по сравнению	1	11
157	на этот	1	11
158	как к	2	11
159	уже в	2	11
160	и других	1	11
161	он должен	1	11
162	его в	2	11
163	и из	2	11
164	существует между	1	11
165	этого слова	1	11
166	с его	4	11
167	думать что	1	11
168	во всем	1	10
169	в другом	2	10
170	трагедии и	1	10
171	не так	1	10
172	в одной	1	10
173	от него	7	10
174	отличается от	1	10
175	должно быть	2	10
176	совсем не	2	10
177	и от	3	10
178	ее в	2	10
179	это было	3	10
180	не есть	2	9
181	вопрос о	10	9
182	под влиянием	1	9
183	его и	1	9
184	оказывается что	1	9
185	и ее	3	9
186	о чем	1	9
187	мысль о	2	9
188	к чему	1	9
189	ту же	1	9
190	в силу	1	9
191	том случае	1	9
192	со всей	1	8
193	себе и	1	8
194	в сознании	1	8
195	будто бы	1	8
196	чувств и	1	8
197	художественного творчества	1	8
198	что же	2	8
199	он в	2	8
200	тем же	1	8
201	о нем	1	8
202	смысле этого	1	8
203	и эта	1	8
204	из всех	1	8
205	с другом	1	8
206	друг с	1	8
207	кажется что	1	8
208	к нему	3	8
209	в процессе	1	8
210	и более	1	8
211	том как	1	8
212	бы и	1	8
213	он видит	1	7
214	мысли и	3	7
215	и там	2	7
216	от этого	1	7
217	представляет собой	1	7
218	в каждом	1	7
219	что только	1	7
220	со всеми	1	7
221	только один	1	7
222	не существует	1	7
223	действующие лица	1	7
224	случае если	1	7
225	к которой	1	7
226	все что	3	7
227	к этой	2	7
228	одно из	2	7
