N	2gram	Bakhtin_fo	Retstnzi
1	не может	8	4
2	и в	84	3
3	если в	1	2
4	в центре	2	2
5	один из	5	2
6	отрешенными от	1	1
7	этой проблемы	2	1
8	в особенности	15	1
9	несмотря на	1	1
10	может быть	18	1
11	не только	16	1
12	точки зрения	14	1
13	с точки	9	1
14	событий и	3	1
15	может не	1	1
16	для него	5	1
17	подхода к	3	1
18	в ней	4	1
19	тех же	2	1
20	себе все	1	1
21	права и	1	1
22	в каждом	2	1
23	связи с	14	1
24	не связанными	1	1
25	бы на	1	1
26	оторвано от	1	1
27	на месте	1	1
28	с другими	3	1
29	защитительной речи	1	1
30	лучше всего	2	1
31	вопросов мы	1	1
32	его от	3	1
33	если бы	6	1
34	конечно и	5	1
35	смысл и	1	1
36	исходя из	1	1
37	вещей и	7	1
38	в его	19	1
39	влияния на	2	1
40	но и	14	1
41	мы видим	4	1
42	к тому	6	1
43	можно назвать	2	1
44	тому что	1	1
45	в то	13	1
46	из этих	5	1
47	и больше	1	1
48	ни один	2	1
49	же время	13	1
50	ничего для	1	1
51	то же	18	1
52	не оказать	1	1
53	при анализе	1	1
54	а не	7	1
55	бы в	1	1
56	нет и	4	1
57	и должно	2	1
58	в системе	1	1
59	и не	19	1
60	и все	10	1
61	и на	13	1
62	вполне понятно	4	1
