N	3gram	Voloshinov	VrazhdaK
1	то же время	7	4
2	в то же	7	4
3	в русской литературе	1	3
4	в связи с	12	3
5	в том что	9	2
6	не может быть	23	2
7	но в то	6	2
8	лишнего человека в	2	2
9	с точки зрения	31	2
10	не было бы	3	1
11	но при этом	2	1
12	в свою очередь	5	1
13	а между тем	1	1
14	с помощью которых	1	1
15	в литературу в	1	1
16	в конце концов	3	1
17	одно и то	3	1
18	– это и	2	1
19	равно как и	1	1
20	в той же	1	1
21	так же как	2	1
22	на то что	2	1
23	быть и речи	4	1
24	в соответствии с	1	1
25	по крайней мере	1	1
26	– одна из	3	1
27	в этом смысле	2	1
28	имеется в виду	1	1
29	не только не	1	1
30	о том что	2	1
31	от того как	1	1
32	до сих пор	10	1
33	в высшей степени	5	1
34	но в этом	1	1
35	нет ничего общего	1	1
36	в каком направлении	1	1
37	во всяком случае	4	1
38	а следовательно и	2	1
39	тем не менее	3	1
40	к вопросу о	1	1
41	и в самом	1	1
42	на первый план	2	1
43	с другой стороны	6	1
44	не с точки	1	1
45	то что они	1	1
46	связи с этим	3	1
47	но и это	1	1
48	это и есть	2	1
49	независимо от того	1	1
50	но в известном	1	1
51	и то же	3	1
52	между прочим и	1	1
53	тем что он	1	1
54	в этом отношении	4	1
55	все же не	1	1
56	и не может	11	1
57	может быть и	8	1
