N	4gram	Ircho_Kome	VerxiiNi
1	в том числе и	2	4
2	бы то ни было	3	2
3	с этой точки зрения	1	2
4	в то же время	11	2
5	как бы то ни	2	2
6	до сих пор еще	1	2
7	но вместе с тем	1	2
8	так или иначе связанные	1	1
9	прежде всего отдать себе	1	1
10	состоит в том что	1	1
11	лицом к лицу с	1	1
12	ничем не отличаются от	1	1
13	до сих пор не	2	1
14	а с точки зрения	1	1
15	до сих пор были	1	1
16	с точки зрения того	1	1
17	мы имеем в виду	2	1
18	и в то же	2	1
19	одного и того же	1	1
20	по тому же пути	1	1
21	или иначе связанные с	1	1
22	один и тот же	3	1
