N	2gram	Losev_Vlad	Tvorches
1	у достоевского	2	91
2	и в	56	56
3	как бы	5	41
4	в его	18	37
5	в то	15	30
6	м м	19	26
7	то же	10	25
8	в году	54	24
9	не только	35	24
10	же время	7	24
11	но в	19	24
12	как и	7	23
13	то есть	5	23
14	и не	33	23
15	а в	20	23
16	и его	12	23
17	в этом	30	22
18	и т	3	22
19	что в	24	21
20	в том	26	21
21	он не	13	19
22	том что	22	19
23	может быть	12	19
24	потому что	16	19
25	у него	28	18
26	то что	30	18
27	таким образом	6	17
28	и на	7	17
29	что он	22	17
30	т д	3	17
31	все это	7	17
32	при этом	5	16
33	но и	26	16
34	никогда не	15	16
35	как в	6	16
36	в бесах	1	16
37	м с	10	16
38	прежде всего	5	16
39	не может	12	16
40	и с	27	15
41	но это	6	15
42	в этой	4	15
43	с его	15	15
44	и даже	23	14
45	это не	3	14
46	там же	24	13
47	о том	13	13
48	времени в	2	13
49	а не	5	13
50	в котором	10	12
51	же с	22	12
52	л п	1	12
53	тем самым	2	12
54	в целом	3	12
55	в своей	7	11
56	все же	11	11
57	отнюдь не	3	11
58	для него	16	11
59	в самом	3	10
60	представление о	2	10
61	он сам	3	10
62	в русской	1	10
63	не в	12	10
64	в конце	22	10
65	только в	11	10
66	когда он	6	10
67	в основном	5	10
68	уже в	9	10
69	так и	11	10
70	но не	5	10
71	как будто	2	10
72	в душе	1	9
73	в своих	7	9
74	наряду с	1	9
75	по мнению	1	9
76	в изображении	1	9
77	и от	6	9
78	один из	4	9
79	жизни в	3	9
80	в свою	3	9
81	человека в	1	9
82	в нем	7	9
83	во многом	3	9
84	даже в	4	8
85	именно в	4	8
86	не менее	9	8
87	так же	4	8
88	к этому	11	8
89	хотя и	9	8
90	одним из	3	8
91	это уже	1	8
92	вместе с	9	8
93	тогда как	1	8
94	одной из	2	8
95	еще не	2	8
96	в себе	5	8
97	так как	11	8
98	в их	2	8
99	на его	7	8
100	об этом	13	8
101	вовсе не	8	8
102	в лице	1	8
103	в этих	5	7
104	и сам	7	7
105	года в	9	7
106	например в	1	7
107	уже не	6	7
108	казалось бы	1	7
109	в дальнейшем	10	7
110	за собой	1	7
111	что она	2	7
112	влияние на	1	7
113	и он	7	7
114	в которой	8	7
115	в чем	4	7
116	своего рода	1	7
117	самом деле	1	7
118	во сне	2	7
119	в момент	2	6
120	еще более	3	6
121	не столько	4	6
122	и как	7	6
123	если он	1	6
124	на эту	3	6
125	но у	1	6
126	хотя бы	5	6
127	одна из	1	6
128	достоевского но	2	6
129	его в	3	6
130	так что	13	6
131	и далее	1	6
132	с ним	10	6
133	если бы	2	6
134	и все	8	6
135	все эти	6	6
136	ли не	1	6
137	место в	2	6
138	и другие	2	5
139	в пользу	1	5
140	мысли и	5	5
141	что человек	1	5
142	быть может	1	5
143	в них	5	5
144	что этот	4	5
145	с другой	3	5
146	больше не	1	5
147	приходит к	1	5
148	по отношению	1	5
149	в своем	10	5
150	в одной	1	5
151	во всей	1	5
152	из них	3	5
153	что они	4	5
154	что у	4	5
155	в петербурге	10	5
156	на него	3	5
157	что и	6	5
158	не было	12	5
159	что не	3	5
160	в таком	2	5
161	я не	8	5
162	и это	4	5
163	и у	4	5
164	а с	5	5
165	что это	2	5
166	т п	1	5
167	если не	4	5
168	с большой	1	5
169	дело не	3	5
170	не так	1	5
171	в окончательном	1	5
172	та же	1	5
173	с этим	3	5
174	в россии	7	5
175	не имеют	1	5
176	это все	1	5
177	в истории	4	5
178	начиная с	3	5
179	до конца	8	5
180	том же	4	5
181	но если	1	5
182	тот же	7	5
183	ничего не	4	5
184	из этой	1	5
185	мы не	2	5
186	в литературе	1	5
187	как у	3	5
188	в виде	4	5
189	но с	1	5
190	но эта	2	5
191	и по	10	5
192	но его	4	5
193	и других	2	5
194	что я	5	5
195	как он	4	5
196	из архива	1	5
197	в известной	1	5
198	с этой	4	4
199	достоевского можно	1	4
200	говорит о	1	4
201	него в	4	4
202	на земле	2	4
203	тем что	2	4
204	роль в	1	4
205	так в	1	4
206	а а	7	4
207	и отчасти	1	4
208	но эти	1	4
209	представляет собой	1	4
210	по самой	1	4
211	только на	3	4
212	говорить о	1	4
213	и когда	1	4
214	говорит что	4	4
215	не вполне	3	4
216	утверждал что	1	4
217	с большим	1	4
218	что все	2	4
219	точки зрения	4	4
220	крайней мере	1	4
221	к нему	6	4
222	и мы	6	4
223	и потому	8	4
224	марта года	7	4
225	и через	3	4
226	письма к	6	4
227	что его	8	4
228	который в	1	4
229	так сказать	2	4
230	в такой	1	4
231	не был	6	4
232	в каждом	1	4
233	тут же	7	4
