N	2gram	Nazirov_Vr	ViktorSh
1	конце концов	1	2
2	в конце	3	2
3	и в	8	2
4	в том	3	2
5	том что	3	2
6	но это	2	1
7	одно и	1	1
8	столь же	2	1
9	том же	2	1
10	в самом	1	1
11	как же	2	1
12	и т.д	1	1
13	один пример	1	1
14	что слово	1	1
15	именно в	1	1
16	имеется в	1	1
17	ясно что	1	1
18	в частности	1	1
19	и то	2	1
20	так в	2	1
21	крайней мере	1	1
22	не хотел	1	1
23	и его	3	1
24	под влиянием	1	1
25	далеко не	3	1
26	тем более	2	1
27	по крайней	1	1
28	к этому	3	1
29	же с	1	1
30	потому что	1	1
31	ничуть не	1	1
32	в их	1	1
33	то же	5	1
34	не будем	1	1
35	полемизируя с	1	1
36	и не	5	1
37	я не	3	1
38	да и	1	1
39	в этом	8	1
40	все это	4	1
