N	4gram	Tiupa_Hudo	Tvorches
1	в то же время	7	24
2	в преступлении и наказании	1	16
3	и в то же	2	6
4	но в то же	1	6
5	в том числе и	2	2
6	заключается в том что	1	2
7	очередь по отношению к	1	1
8	не что иное как	1	1
9	только то что может	1	1
10	едва ли не первым	1	1
11	первую очередь по отношению	1	1
12	а с другой стороны	1	1
13	в таком случае это	1	1
14	по отношению к самому	1	1
15	одного и того же	3	1
16	и в самом деле	2	1
17	в войне и мире	2	1
18	в первую очередь по	1	1
19	и те и другие	1	1
20	но в таком случае	1	1
21	мы имеем в виду	3	1
22	бы то ни было	2	1
23	то же время они	1	1
24	не содержит в себе	1	1
