N	4gram	Potebnia_M	EvropaiE
1	в то же время	3	14
2	с одной стороны и	2	6
3	с этой точки зрения	1	5
4	бы то ни было	1	4
5	само по себе не	1	2
6	заключается в том что	1	2
7	и в этом смысле	3	2
8	и та и другая	1	1
9	и связанное с ним	1	1
10	и то и другое	2	1
11	но само по себе	1	1
12	то же время не	1	1
13	не только в том	1	1
14	дело в том что	3	1
15	в том случае если	1	1
16	на то что в	1	1
17	можно сказать даже что	1	1
18	между тем в одном	1	1
19	в то время как	1	1
20	не заключает в себе	3	1
21	только в том смысле	2	1
22	не говоря уже о	1	1
23	одного и того же	6	1
24	что само по себе	1	1
25	один и тот же	1	1
26	и во многих других	1	1
27	в том смысле что	2	1
