N	2gram	Tiupa_Anal	EvropaiC
1	таким образом	4	34
2	в том	16	31
3	и в	36	24
4	том что	19	20
5	все эти	2	19
6	то что	5	18
7	не может	3	18
8	может быть	19	17
9	до сих	1	15
10	все же	6	15
11	сих пор	1	15
12	точки зрения	3	14
13	в этом	19	13
14	все это	5	13
15	самом деле	2	12
16	с этим	4	12
17	между тем	8	12
18	в своем	7	12
19	по отношению	9	11
20	но и	26	11
21	культуры и	1	11
22	отношению к	9	11
23	все что	2	10
24	мы знаем	1	10
25	не только	40	10
26	так и	19	10
27	европейской цивилизации	1	10
28	как и	27	10
29	во всех	4	10
30	как бы	14	10
31	что в	15	9
32	при этом	19	9
33	в результате	6	9
34	не в	9	9
35	и все	3	9
36	и не	14	9
37	потому что	1	9
38	и что	2	9
39	на то	1	9
40	того же	7	9
41	в самом	7	8
42	с точки	2	8
43	чем у	1	8
44	к тому	10	8
45	для того	1	8
46	если бы	2	8
47	того чтобы	1	8
48	а между	1	8
49	так же	1	8
50	а и	4	8
51	из этих	4	8
52	что при	2	7
53	того что	4	7
54	приобщение к	1	7
55	что и	10	7
56	на самом	1	7
57	что он	5	7
58	не менее	9	7
59	о которых	2	7
60	о котором	2	7
61	из этого	1	7
62	о том	9	7
63	вместе с	3	7
64	по своей	5	7
65	в этой	10	7
66	в силу	2	7
67	по существу	1	7
68	для этого	1	7
69	мы можем	2	6
70	и на	5	6
71	несмотря на	2	6
72	с ним	2	6
73	что с	1	6
74	только в	9	6
75	тому же	7	6
76	от друга	1	6
77	в мире	17	6
78	отличается от	1	6
79	друг от	1	6
80	еще не	7	6
81	все они	2	6
82	и если	2	6
83	так что	2	6
84	и при	1	6
85	тогда как	37	6
86	что касается	5	6
87	как на	1	6
88	в общем	4	6
89	начало и	1	6
90	с другой	10	6
91	в то	8	6
92	и для	4	6
93	и к	7	5
94	как к	2	5
95	а потому	1	5
96	ничем не	1	5
97	должно быть	1	5
98	в состоянии	2	5
99	в его	12	5
100	что это	1	5
101	другой стороны	7	5
102	у него	2	5
103	его в	4	5
104	так или	5	5
105	в которой	1	5
106	и с	1	5
107	или иначе	5	5
108	именно в	4	5
109	и без	3	5
110	по своему	3	5
111	не будет	3	5
112	между двумя	1	5
113	и их	3	5
114	оказывается что	1	5
115	далеко не	8	5
116	его собственной	1	5
117	лишь в	9	5
118	так называемого	1	5
119	в себе	7	5
120	и от	3	5
121	что все	1	5
122	столь же	7	5
123	как будто	1	5
124	к этому	3	5
125	в целом	8	5
126	из них	4	5
127	но в	8	5
128	иначе говоря	5	4
129	не так	2	4
130	и то	2	4
131	ее и	1	4
132	та же	1	4
133	самого себя	1	4
134	из того	1	4
135	этом случае	1	4
136	хотя и	4	4
137	тем не	3	4
138	совершенно не	3	4
139	из которых	2	4
140	в европейской	1	4
141	все прочие	1	4
142	в их	7	4
143	связи с	1	4
144	одним из	1	4
145	в конце	6	4
146	в таком	2	4
147	с тем	2	4
148	состоит из	1	4
149	не есть	6	4
150	не могут	2	4
151	между собой	1	4
152	и у	1	4
153	и сейчас	1	4
154	а с	2	4
155	что мы	2	4
156	мы уже	2	4
157	в течение	1	4
158	хотя бы	1	4
159	то ни	1	4
160	в дальнейшем	2	4
161	в такой	1	4
162	мы должны	1	4
163	для меня	1	4
164	факт что	1	4
165	целый ряд	1	4
166	тот факт	1	4
167	признать что	1	4
168	и т.д	3	4
169	отношение к	2	4
170	он не	9	4
171	конце концов	1	4
172	если мы	1	4
