N	4gram	Losev_Vesc	RusskieA
1	не что иное как	12	4
2	на самом же деле	1	3
3	в том что это	1	3
4	подобно тому как в	1	3
5	это не значит что	1	2
6	стоит в связи с	1	2
7	и т д и	11	2
8	тот же корень что	1	1
9	т е в данном	1	1
10	вопрос о том как	2	1
11	и т д в	1	1
12	не потому что они	3	1
13	связанных друг с другом	1	1
14	в то время как	4	1
15	одного и того же	1	1
16	одном и том же	1	1
17	не связанных друг с	1	1
18	не только потому что	1	1
19	в одном и том	1	1
20	и т д а	1	1
21	дело в том что	4	1
22	е в данном случае	1	1
23	для того чтобы обеспечить	1	1
