N	4gram	Voloshinov	SlovoVZh
1	и по отношению к	1	3
2	сколько бы мы ни	1	3
3	мы никогда не сможем	1	2
4	одно и то же	5	2
5	одна и та же	1	1
6	не может быть понято	1	1
7	в ней как бы	1	1
8	но в то же	2	1
9	одному и тому же	1	1
10	и та же социальная	1	1
11	в зависимости от того	2	1
12	одним и тем же	1	1
13	из двух частей из	1	1
14	в плоть и кровь	1	1
15	социальной группы к которой	1	1
16	из общей для них	1	1
17	по отношению к слушателю	1	1
18	внутренней и внешней речи	1	1
19	на одно и то	1	1
20	зрения на одно и	1	1
21	второе и третье лицо	1	1
22	и не может быть	1	1
23	ничего не поймем в	1	1
24	в то же время	7	1
25	той социальной группы к	1	1
