N	4gram	Potebnia_M	Analitik
1	в то же время	8	14
2	состоит в том что	1	7
3	не что иное как	1	6
4	одного и того же	2	6
5	есть не что иное	1	5
6	и не может быть	1	4
7	в том что он	2	4
8	не в том чтобы	1	3
9	дело в том что	1	3
10	одной и той же	4	3
11	здесь не только в	1	3
12	бы то ни было	1	3
13	нет и не может	1	2
14	не говоря уже о	1	2
15	лишь в том что	1	2
16	один и тот же	2	2
17	заключается в том что	1	2
18	одно и то же	7	2
19	одна и та же	2	1
20	прибавим к этому что	1	1
21	и в том что	2	1
22	само по себе а	1	1
23	каков бы ни был	1	1
24	в чем и состоит	1	1
25	и в этом случае	1	1
26	и в самом деле	1	1
27	в том случае если	1	1
28	что в произведении искусства	1	1
29	виде в каком она	1	1
30	а тем более в	1	1
31	до тех пор пока	2	1
32	не сам по себе	1	1
33	в том смысле что	2	1
34	и сам по себе	1	1
35	нас а в нас	1	1
36	в большей или меньшей	1	1
37	по себе еще не	1	1
38	в том что одно	1	1
39	поэтому всякое понимание есть	1	1
40	том виде в каком	1	1
41	а в том что	1	1
42	что одно и то	2	1
43	слова до тех пор	1	1
44	тем не менее в	1	1
45	только в том что	3	1
46	он в то же	1	1
47	не только в том	1	1
48	ни прибавить ни убавить	1	1
49	а между тем в	1	1
50	в самом деле в	1	1
51	уже не могут быть	1	1
52	и та и другая	2	1
53	тем не менее не	1	1
54	не только не противоречит	1	1
55	упускать из виду что	1	1
56	в том виде в	1	1
57	одним и тем же	4	1
58	по отношению ко всем	1	1
59	в том и состоит	1	1
60	не в том что	4	1
61	но и в том	1	1
