N	3gram	Bakhtin_Fr	Myshleni
1	в том что	6	133
2	с точки зрения	6	89
3	для того чтобы	2	78
4	по сравнению с	2	45
5	по отношению к	2	42
6	с одной стороны	2	39
7	друг с другом	2	35
8	в этом отношении	5	30
9	в этом случае	1	27
10	в собственном смысле	3	26
11	с другой стороны	1	26
12	на то что	1	25
13	о том что	3	25
14	не может быть	5	23
15	не только не	1	21
16	можно сказать что	3	21
17	в самом деле	1	19
18	в отличие от	4	18
19	во всяком случае	2	18
20	до сих пор	7	17
21	как мы видели	2	17
22	в связи с	1	17
23	в известном смысле	1	15
24	и той же	1	15
25	одной и той	1	15
26	друг от друга	1	14
27	на этот вопрос	2	14
28	в первую очередь	1	14
29	мы уже говорили	12	14
30	потому что он	1	14
31	мы видели что	1	14
32	подобно тому как	2	14
33	в другом месте	2	13
34	в том чтобы	1	12
35	на первый план	1	12
36	в своем развитии	1	12
37	как мы уже	8	11
38	в последнее время	1	11
39	том числе и	7	10
40	по своей природе	1	10
41	в самом начале	1	10
42	в том числе	10	10
43	как и в	1	9
44	силу того что	1	9
45	в силу того	1	9
46	на самом деле	2	9
47	том что он	1	9
48	свое выражение в	1	8
49	более и более	1	8
50	той или иной	5	8
51	не могут быть	2	8
52	все более и	1	8
53	к тому чтобы	1	7
54	включает в себя	3	7
55	содержит в себе	2	7
56	как раз в	1	7
57	имеет в виду	1	6
58	и в частности	2	6
59	то что мы	1	6
60	потому что в	1	6
61	именно потому что	1	6
62	только то что	1	6
63	тот же предмет	1	6
64	и не может	2	6
65	уже говорили выше	1	6
66	лежит в основе	1	6
67	что он умеет	1	5
68	к частному и	1	5
69	как если бы	1	5
70	но все же	3	5
71	в нашем исследовании	1	5
72	находит свое выражение	1	5
73	прежде всего в	1	5
74	сами по себе	1	5
75	в конце концов	1	5
76	так как он	1	5
77	но он не	1	5
78	в какой мере	1	5
79	мы знаем что	1	5
80	в свое время	5	5
81	на этой стадии	1	5
82	в то же	5	5
83	только потому что	1	5
84	не только в	5	5
85	все эти три	1	5
86	по нашему мнению	1	5
87	мы видим что	1	4
88	о чем мы	2	4
89	в какой степени	1	4
90	так и в	3	4
91	не потому что	1	4
92	таким образом и	1	4
93	в тех случаях	1	4
94	лежащие в основе	1	4
95	что с точки	1	4
96	но и в	5	4
97	в себе и	2	4
98	таким образом в	1	4
99	далеко за пределы	1	4
100	между тем и	1	4
101	в значительной степени	4	4
102	в сущности это	1	4
103	тех случаях когда	1	4
104	в предисловии к	1	4
105	это означает что	1	4
106	выходит далеко за	1	3
107	о которой мы	1	3
108	в применении к	3	3
109	и связанное с	1	3
110	как мы говорили	1	3
111	один из них	1	3
112	подлежит никакому сомнению	2	3
113	но при этом	1	3
114	сказать что в	1	3
115	к тому же	1	3
116	чем иным как	1	3
117	или во всяком	1	3
118	во всей их	1	3
119	связи с развитием	1	3
120	то же время	5	3
121	и не является	1	3
122	в целом ряде	2	3
123	одна и та	1	3
124	дело в том	2	3
125	того или иного	1	3
126	в наши задачи	1	3
127	мы имеем в	1	3
128	и все остальные	1	3
129	не только как	1	3
130	уже говорили что	3	3
131	в вопросе о	1	3
132	и в силу	1	3
133	мы наблюдаем в	1	3
134	являются как бы	1	3
135	и во всех	2	3
136	так например в	1	3
137	только в пределах	1	3
138	в известной мере	6	3
139	все же в	2	3
140	не чем иным	1	3
141	тех или иных	1	3
142	по ту сторону	1	3
143	во всей своей	1	3
144	на котором мы	1	3
145	поэтому мы и	1	3
146	как раз и	2	3
147	не подлежит никакому	2	3
148	говорит об этом	1	3
149	теми или иными	1	3
150	к тому или	1	3
151	в значительной мере	3	3
152	там где они	1	3
153	в резком противоречии	1	3
154	в настоящее время	1	3
155	и та же	1	3
156	убедиться в этом	1	3
157	имеем в виду	2	3
158	то что для	2	3
159	нет и не	1	3
160	можно без преувеличения	1	2
161	в той или	5	2
162	на деле же	1	2
163	рядом друг с	1	2
164	мысли и не	1	2
165	нашего исследования является	1	2
166	с ним в	1	2
167	с целым рядом	1	2
168	тем что нам	1	2
169	стадии своего развития	1	2
170	мы встречаемся с	1	2
171	чтобы убедиться в	1	2
172	не входит в	2	2
173	самом же деле	3	2
174	в сущности и	1	2
175	на самом же	3	2
176	мы говорили уже	1	2
177	только в самом	2	2
178	во всех областях	1	2
179	в одном из	1	2
180	нас в том	1	2
181	в виду только	1	2
182	как именно в	1	2
183	мы и должны	1	2
184	и может быть	1	2
185	никакому сомнению что	1	2
186	как и для	1	2
187	и т.п но	1	2
188	в чем же	1	2
189	это так называемая	1	2
190	ступени своего развития	2	2
191	но все это	2	2
192	мы будем говорить	1	2
193	не в меньшей	1	2
194	никогда не могут	1	2
195	всей нашей работы	1	2
196	выходит за пределы	4	2
197	распространяется на все	1	2
198	никогда не может	1	2
199	как бы в	1	2
200	на протяжении всего	5	2
201	время от времени	1	2
202	именно благодаря этому	1	2
203	он еще не	1	2
204	в себе в	1	2
205	до известной степени	2	2
206	но это и	1	2
207	вовсе не в	2	2
208	до некоторой степени	1	2
209	было бы неправильно	1	2
210	на точку зрения	1	2
211	на все он	1	2
212	же в них	1	2
213	и как мы	1	2
214	резком противоречии с	1	2
215	в своей книге	3	2
216	основе ее лежит	1	2
217	точки зрения на	1	2
218	в большинстве случаев	2	2
219	или хотя бы	1	2
220	так как если	1	2
221	неизбежно должны были	1	2
222	и не только	1	2
223	и во всей	1	2
224	и ничего не	1	2
225	связанное с ним	1	2
226	которого можно было	1	2
227	но как раз	1	2
228	и в некоторых	1	2
229	во всех этих	2	2
230	сводится к тому	1	2
231	и в известной	1	2
232	и в области	1	2
233	мы остановимся в	2	2
234	тем самым он	1	1
235	она никогда не	1	1
236	оно имеет не	1	1
237	совпадает с его	1	1
238	все то что	1	1
239	характерную именно для	1	1
240	всего того что	2	1
241	и многие другие	1	1
242	его никогда не	1	1
243	говорили в начале	1	1
244	во время пребывания	1	1
245	более глубокое и	1	1
246	в себя и	1	1
247	имеет не только	1	1
248	основе его лежит	1	1
249	может быть наиболее	1	1
250	два основных момента	1	1
251	в художественной литературе	1	1
252	говорили выше в	1	1
253	во внешнем мире	1	1
254	точки зрения такое	1	1
255	не знает и	2	1
256	далеко не всегда	1	1
257	но даже и	2	1
258	и речи нет	1	1
259	идет не о	1	1
260	на что мы	1	1
261	он и в	1	1
262	что при таком	1	1
263	начало и конец	2	1
264	и в более	2	1
265	его отношения к	1	1
266	лишь в самом	1	1
267	мы уже указывали	1	1
268	поэтому оно имеет	1	1
269	одну из этих	1	1
270	в основе его	2	1
271	непосредственно связанная с	1	1
272	но также и	1	1
273	и полное понимание	1	1
274	в ряду этих	1	1
275	и превращается в	1	1
276	только на его	1	1
277	в себя оба	1	1
278	том что только	1	1
279	не только на	1	1
280	этой стадии своего	1	1
281	с этого момента	1	1
282	предметом нашего исследования	1	1
283	и даже по	1	1
284	к самой природе	1	1
285	не нуждается в	1	1
286	оно все же	1	1
287	один из наиболее	1	1
288	с господствовавшим в	1	1
289	прежде всего от	2	1
290	в виду прежде	1	1
291	имея в виду	1	1
292	что здесь на	1	1
293	без всякого исключения	1	1
294	можем сказать что	1	1
295	и т.п то	1	1
296	это нашло свое	1	1
297	преувеличения сказать что	1	1
298	прежде всего как	1	1
299	одно из величайших	1	1
300	для обозначения нового	1	1
301	в их чистом	2	1
302	быть определены как	1	1
303	в меру этого	1	1
304	могут быть определены	1	1
305	чуть ли не	1	1
306	речевого общения между	1	1
307	они могут быть	1	1
308	этом мы можем	1	1
309	что мы называем	1	1
310	еще и в	1	1
311	прежде всего на	3	1
312	не раньше чем	1	1
313	в отношении отдельных	1	1
314	том что слово	1	1
315	одна из основных	1	1
316	и в которой	1	1
317	было бы однако	1	1
318	формы речевого общения	1	1
319	его только в	1	1
320	по своей сущности	1	1
321	но это есть	1	1
322	первых мест в	1	1
323	большей своей части	1	1
324	свидетельствуют о том	1	1
325	от друга в	1	1
326	на двух моментах	1	1
327	может быть отнесена	1	1
328	если бы она	1	1
329	самой жизни в	2	1
330	несмотря на его	1	1
331	может быть правильно	1	1
332	несмотря на этот	1	1
333	пр и пр	1	1
334	в одной из	1	1
335	всего могут быть	1	1
336	этих форм и	1	1
337	этого процесса мы	1	1
338	с ним связанное	1	1
339	так и на	3	1
340	одной стороны он	1	1
341	это и не	1	1
342	в общей сложности	1	1
343	и наряду с	1	1
344	он не знает	1	1
345	как бы ни	2	1
346	главным образом в	1	1
347	относится ко всему	1	1
348	как бы к	1	1
349	с самим собой	1	1
350	как и у	1	1
351	и пр в	1	1
352	нашей работы мы	1	1
353	между тем в	1	1
354	находит свое отражение	1	1
355	языка но и	1	1
356	и единый в	1	1
357	до наших дней	1	1
358	сказать что и	1	1
359	все это в	2	1
360	точки зрения этих	1	1
361	до того времени	1	1
362	есть вовсе не	1	1
363	на этом мы	2	1
364	этого нет и	1	1
365	сомнению что он	1	1
366	начальной и конечной	1	1
367	в дальнейшем мы	1	1
368	выхода в свет	1	1
369	находится в состоянии	1	1
370	мы можем закончить	1	1
371	первый план выдвигается	1	1
372	видеть в нем	2	1
373	то для них	1	1
374	в духе его	1	1
375	целый ряд других	1	1
376	без преувеличения сказать	1	1
377	но и на	2	1
378	имели место в	1	1
379	ранних ступенях развития	1	1
380	случаях когда она	1	1
381	о мире в	2	1
382	еще раз что	1	1
383	в приведенном нами	1	1
384	свое особое отношение	1	1
385	и значение этой	1	1
386	в строгом смысле	1	1
387	и пр и	1	1
388	здесь нам важно	1	1
389	еще на двух	1	1
390	к этому типу	1	1
391	в этой новой	1	1
392	он дает в	2	1
393	в основе ее	1	1
394	в других местах	1	1
395	как бы внешним	1	1
396	а и в	1	1
397	значение в истории	1	1
398	мы можем сказать	1	1
399	этом отношении является	1	1
400	прямо или косвенно	1	1
401	еще только в	1	1
402	и в новой	1	1
403	как и всякая	2	1
404	на всех этапах	2	1
405	и в то	2	1
406	и в других	2	1
407	не может стать	1	1
408	из них не	1	1
409	мы наблюдаем и	1	1
410	именно в области	1	1
411	в некоторых других	1	1
412	и др то	1	1
413	или даже в	1	1
414	могла бы быть	1	1
415	котором мы остановимся	1	1
416	и т.п в	2	1
417	поэтому было бы	1	1
418	в полном отрыве	1	1
419	которые имели место	1	1
420	предисловии к своему	1	1
421	вовсе и не	1	1
422	и др он	1	1
423	смысл и значение	1	1
424	сказать что во	1	1
425	то что было	1	1
426	и в том	2	1
427	лишь в тех	1	1
428	точки зрения тех	1	1
429	на всех ступенях	1	1
430	становится на точку	1	1
431	рождения и развития	1	1
432	большей или меньшей	7	1
433	между ними но	1	1
434	приводит к ряду	1	1
435	его связь с	4	1
436	дистанция между ними	1	1
437	в борьбе с	1	1
438	и вот в	1	1
439	не только от	1	1
440	так и с	1	1
441	и теперь в	1	1
442	лежащее в основе	1	1
443	из них для	1	1
444	будет находиться в	1	1
445	ко всем его	1	1
446	только к чисто	1	1
447	виду прежде всего	1	1
448	в игре и	1	1
449	точка зрения на	1	1
450	для дальнейшего развития	1	1
451	в так называемой	1	1
452	в сущности за	1	1
453	и целый ряд	1	1
454	в большей своей	1	1
455	со всеми ее	1	1
456	ни на что	2	1
457	в самом его	2	1
458	быть отнесена к	1	1
459	в своем предисловии	1	1
460	здесь мы должны	1	1
461	который можно было	1	1
462	а как бы	1	1
463	но в отношении	1	1
464	одно из самых	1	1
465	и здесь мы	1	1
466	во второй половине	2	1
467	в отрыве от	2	1
468	влияние на развитие	1	1
469	быть правильно поставлена	1	1
470	в его книге	1	1
471	его теории в	1	1
472	также и в	1	1
473	можно даже сказать	1	1
474	полном отрыве от	1	1
475	бы они ни	1	1
476	от всех тех	1	1
477	сих пор остается	1	1
478	входит в область	1	1
479	упоминали выше и	1	1
480	всяком случае не	1	1
481	и вовсе не	2	1
482	что он позволяет	1	1
483	и связанные с	1	1
484	в них как	1	1
485	является здесь не	1	1
486	же время в	1	1
487	в свете которых	1	1
488	развития начальной и	1	1
489	с ним непосредственно	1	1
490	соединение в одном	1	1
491	области мысли и	1	1
492	только с помощью	1	1
493	мы упоминали выше	1	1
494	друг в друга	2	1
495	вне связи с	1	1
496	требует для своего	1	1
497	не является исключением	1	1
498	между прочим в	1	1
499	может быть никакой	1	1
500	до конца и	1	1
501	из них которые	1	1
502	том что новая	1	1
503	с которыми они	1	1
504	это как мы	1	1
