N	3gram	Tiupa_Lite	Freidism
1	с точки зрения	4	15
2	не может быть	5	14
3	по отношению к	4	11
4	в самом деле	1	10
5	в том что	15	9
6	как мы видели	1	8
7	во всяком случае	2	8
8	и прежде всего	4	7
9	в то же	12	6
10	то же время	12	6
11	в большинстве случаев	1	5
12	с самого начала	1	5
13	в свою очередь	2	4
14	во внешнем мире	1	4
15	тем не менее	4	4
16	на самом деле	1	4
17	в зависимости от	1	4
18	в данном случае	6	4
19	по ту сторону	1	4
20	не могут быть	1	4
21	в этом отношении	5	4
22	все то что	1	3
23	только то что	2	3
24	для того чтобы	1	3
25	о том что	3	3
26	до сих пор	1	3
27	к тому чтобы	1	3
28	далеко не всегда	1	3
29	бы то ни	1	3
30	в жизни человека	1	3
31	внутренней и внешней	1	3
32	но в то	1	3
33	а потому и	1	3
34	в конечном счете	8	3
35	мы не можем	1	3
36	не в силах	1	3
37	нет и не	1	3
38	и не может	1	3
39	одним из наиболее	2	2
40	может быть это	4	2
41	обстоит дело и	1	2
42	в конце концов	1	2
43	а с другой	2	2
44	по отношению ко	2	2
45	на всю жизнь	1	2
46	что осталось от	1	2
47	что он сам	1	2
48	и др к	1	2
49	мы никогда не	1	2
50	все тот же	1	2
51	в отличие от	6	2
52	жизни человека и	1	2
53	том что он	1	2
54	то ни было	1	2
55	было бы наивно	1	2
56	к тому что	1	2
57	в другом месте	1	2
58	с одной стороны	8	2
59	это прежде всего	1	2
60	как раз и	1	2
61	а также и	1	2
62	быть не может	1	1
63	что он не	1	1
64	в этом случае	2	1
65	в индивидуальном сознании	1	1
66	никогда и нигде	1	1
67	но и не	1	1
68	а как бы	1	1
69	из того же	1	1
70	той или иной	1	1
71	вместе с ним	1	1
72	по аналогии с	3	1
73	вовсе не является	1	1
74	и наконец в	1	1
75	в пределах одной	1	1
76	к себе самому	1	1
77	как мы знаем	1	1
78	по крайней мере	2	1
79	но и его	1	1
80	в себя и	2	1
81	имеется в виду	1	1
82	однако и здесь	1	1
83	отношению ко всему	2	1
84	все той же	2	1
85	и вовсе не	1	1
86	и является по	1	1
87	нуждается в объекте	1	1
88	в целом ряде	2	1
89	в том же	3	1
90	и не было	1	1
91	в произведение искусства	1	1
92	в свое время	1	1
93	как и всякое	1	1
94	дело и с	1	1
95	но даже и	1	1
96	и то же	1	1
97	во многих отношениях	1	1
98	не показывает нам	1	1
99	но при этом	2	1
100	жизни и в	2	1
101	в одной из	1	1
102	ничего общего с	2	1
103	повлечь за собой	1	1
104	одно из них	1	1
105	дело в том	2	1
106	иметь в виду	1	1
107	одно и то	1	1
108	при этом как	3	1
109	если и не	1	1
110	в основе этой	1	1
111	для искусства в	1	1
112	не выходит за	1	1
113	только потому что	1	1
114	это уже не	1	1
115	во всех этих	1	1
116	том что в	1	1
117	и только то	1	1
118	всяком случае в	1	1
119	и в то	1	1
120	быть может наиболее	1	1
121	уже не тот	1	1
122	есть так сказать	1	1
123	с ним а	1	1
124	не оставляет места	2	1
125	на первый взгляд	1	1
126	в хх веке	8	1
127	во второй половине	1	1
128	в наше время	1	1
129	второй половине века	1	1
130	не нуждается в	1	1
131	но все же	1	1
132	едва ли не	5	1
133	из того что	2	1
134	та сила которая	1	1
135	между тем как	1	1
136	является одним из	1	1
137	даже и не	1	1
138	тот или иной	1	1
139	можно было бы	2	1
140	в основе своей	1	1
