N	2gram	Bakhtin_Fr	Literetu
1	а не	6	50
2	и не	23	47
3	не только	23	46
4	и в	67	44
5	может быть	4	43
6	при этом	5	41
7	но и	23	41
8	в том	16	39
9	в этом	27	38
10	своего рода	7	37
11	том что	13	32
12	в частности	4	30
13	то что	9	29
14	в мире	1	28
15	в качестве	5	27
16	то же	18	26
17	в году	6	26
18	как и	19	23
19	в то	17	23
20	себя в	1	22
21	не в	8	22
22	того что	4	22
23	так и	14	22
24	не может	9	22
25	же время	14	21
26	и т.п	31	20
27	в себе	3	20
28	прежде всего	19	19
29	как бы	18	18
30	с другой	3	17
31	точки зрения	7	17
32	то есть	49	17
33	в его	17	17
34	в жизни	4	16
35	сознания в	1	16
36	в этой	13	16
37	не менее	4	15
38	только в	6	15
39	в целом	2	15
40	и даже	6	14
41	по отношению	1	14
42	что он	7	14
43	в рамках	1	14
44	уже не	1	13
45	в своем	13	13
46	с одной	2	13
47	как это	5	13
48	но не	6	13
49	и его	19	13
50	в своей	6	12
51	о том	8	12
52	в данном	4	12
53	одной стороны	2	12
54	одним из	7	12
55	еще не	5	12
56	отношению к	1	12
57	а также	4	12
58	не столько	5	11
59	в другом	4	11
60	никогда не	6	11
61	в конечном	1	11
62	и сам	2	11
63	столь же	1	11
64	еще в	3	11
65	вместе с	5	11
66	как в	4	11
67	в основе	6	11
68	в отличие	3	11
69	с его	11	11
70	данном случае	4	11
71	это не	5	11
72	отличие от	3	11
73	а в	4	11
74	даже в	5	10
75	конечном счете	1	10
76	из них	5	10
77	в ее	2	10
78	не случайно	3	10
79	что в	14	10
80	и на	12	10
81	жизни в	3	10
82	потому что	8	10
83	этом отношении	7	10
84	жизни и	11	10
85	в области	2	10
86	с этой	1	9
87	к тому	4	9
88	искусства и	1	9
89	связи с	7	9
90	один из	6	9
91	что я	1	9
92	в поэзии	3	9
93	одно из	2	9
94	в начале	2	9
95	и т.д	2	9
96	лишь в	3	9
97	в своих	1	8
98	тем что	3	8
99	все же	7	8
100	одна из	1	8
101	того же	6	8
102	с точки	5	8
103	как раз	5	8
104	что не	4	8
105	в конце	12	8
106	о себе	1	8
107	а именно	2	8
108	слова и	2	8
109	соответствии с	2	8
110	той же	6	8
111	в глазах	1	8
112	но в	20	8
113	уже в	1	8
