N	4gram	Medvedev_V	Marksizm
1	в то же время	5	15
2	но в то же	1	9
3	и не может быть	2	5
4	не может быть и	1	4
5	как если бы он	1	4
6	может быть и речи	1	4
7	с одной стороны и	2	3
8	быть и речи о	1	3
9	в том числе и	2	3
10	одно и то же	1	3
11	в той или иной	1	3
12	именно в том что	1	2
13	отнюдь не может быть	1	2
14	если бы он был	1	2
15	в том или ином	1	2
16	в точном смысле слова	2	2
17	нет и не может	1	2
18	так же как и	1	2
19	для того чтобы понять	1	2
20	с этой точки зрения	1	1
21	не может обойтись без	1	1
22	никогда не может быть	1	1
23	в таком случае является	1	1
24	является не чем иным	1	1
25	но все же и	1	1
26	этих и подобных им	3	1
27	чем же в таком	1	1
28	говоря уже о том	1	1
29	в большей или меньшей	2	1
30	и по отношению к	1	1
31	же в таком случае	1	1
32	может быть сведена к	1	1
33	уже о том что	1	1
34	не говоря уже о	1	1
35	в какой мере не	1	1
36	не чем иным как	1	1
37	хотя бы и не	2	1
38	на то или иное	1	1
39	ни в какой мере	1	1
40	не могут быть сведены	1	1
41	одну и ту же	1	1
42	приводит к тому что	2	1
43	не может быть сведена	1	1
44	до сих пор не	1	1
45	с ними в борьбу	1	1
