N	2gram	Propp_Isto	FransuaR
1	и в	40	367
2	в этом	13	112
3	и не	19	101
4	таким образом	13	100
5	и его	5	99
6	в его	10	98
7	прежде всего	15	92
8	не только	28	87
9	мы уже	7	85
10	но и	21	84
11	как бы	6	82
12	все эти	6	79
13	вовсе не	3	77
14	как и	5	76
15	в нем	8	75
16	но в	13	75
17	в эпоху	2	75
18	и на	6	72
19	и др	11	72
20	в том	12	71
21	как мы	3	71
22	то же	21	66
23	и все	1	66
24	в них	2	65
25	в этой	9	65
26	так и	13	65
27	и с	5	64
28	в сущности	2	64
29	в то	4	63
30	во время	5	63
31	во всех	3	62
32	все это	6	62
33	что в	19	52
34	в своем	5	51
35	только в	16	48
36	так как	20	46
37	том что	11	45
38	в году	1	44
39	то что	17	41
40	здесь в	4	41
41	у него	5	40
42	в ней	10	37
43	о том	12	35
44	он был	3	35
45	может быть	37	35
46	мы видим	16	35
47	сказать что	7	34
48	и даже	4	34
49	в себе	6	34
50	мы видели	4	32
51	в конце	1	32
52	он не	10	32
53	для него	2	32
54	до конца	1	31
55	связаны с	1	31
56	в своей	2	31
57	так же	18	30
58	но он	5	30
59	один из	10	30
60	потому что	12	30
61	той же	1	30
62	и потому	3	30
63	никогда не	25	30
64	тела и	1	30
65	в одном	8	29
66	еще не	14	29
67	связи с	10	29
68	в этих	17	29
69	что он	32	29
70	не может	19	29
71	в особенности	3	29
72	при этом	6	29
73	его в	15	29
74	не в	11	29
75	и к	1	28
76	из них	5	28
77	всех этих	4	28
78	также и	3	28
79	в той	1	28
80	в основе	4	28
81	и другие	7	27
82	сих пор	12	27
83	до сих	11	27
84	все же	17	27
85	по своему	1	27
86	роль в	3	27
87	и их	4	27
88	кроме того	3	26
89	средние века	1	26
90	в средние	1	26
91	все они	1	26
92	на самом	3	25
93	в области	2	25
94	но это	8	25
95	мира и	1	25
96	этот образ	1	24
97	он и	3	24
98	но не	7	24
99	например в	7	24
100	в ее	2	24
101	и у	1	24
102	и от	2	24
103	как в	7	24
104	того чтобы	3	24
105	времени и	1	24
106	в частности	3	24
107	в большинстве	4	24
108	большинстве случаев	4	23
109	так сказать	3	23
110	своего рода	2	23
111	и здесь	15	23
112	с ним	3	23
113	и для	5	23
114	в их	6	23
115	есть и	2	23
116	к нему	3	23
117	это не	8	23
118	еще и	2	23
119	даже в	5	22
120	не было	3	22
121	а в	15	22
122	тем что	7	22
123	что и	9	22
124	и других	1	22
125	там где	5	22
126	вместе с	13	22
127	и во	1	22
128	связь с	8	22
129	и о	1	22
130	именно в	5	21
131	в отношении	1	21
132	уже в	2	21
133	и как	3	21
134	в качестве	8	21
135	одним из	2	21
136	в себя	2	21
137	что это	12	21
138	ни в	2	21
139	и наконец	5	21
140	в виду	2	20
141	в связи	7	20
142	и это	2	20
143	в значительной	1	20
144	одной из	6	20
145	этом отношении	1	20
146	образов и	2	20
147	как раз	2	20
148	в образе	3	20
149	они были	1	20
150	а также	2	20
151	самом деле	2	20
152	во всем	3	19
153	их в	7	19
154	к этому	2	19
155	в эту	3	19
156	было бы	11	19
157	с ее	2	19
158	в дальнейшем	6	19
159	с другой	8	19
160	хотя и	1	19
161	в форме	3	19
162	в ту	2	19
163	далеко не	1	19
164	на мир	1	18
165	это и	1	18
166	здесь не	5	18
167	одна из	4	18
168	но они	6	18
169	превращается в	4	18
170	на этом	3	18
171	связанные с	3	18
172	перед нами	5	18
173	связан с	4	18
174	в большей	1	17
175	большей или	2	17
176	образы в	1	17
177	для того	1	17
178	конечно не	2	17
179	в результате	2	17
180	можно было	8	17
181	человеческого тела	1	17
182	связанных с	2	17
183	на его	2	17
184	такой же	2	17
185	еще более	1	17
186	но все	9	17
187	меньшей степени	1	17
188	связана с	7	17
