N	3gram	Bakhtin_sl	VerxiiNi
1	с одной стороны	7	7
2	с точки зрения	11	6
3	во всяком случае	7	6
4	друг с другом	2	5
5	по крайней мере	1	5
6	до сих пор	4	5
7	для того чтобы	1	5
8	в том числе	1	5
9	более или менее	5	5
10	том числе и	1	4
11	но все же	1	4
12	о том что	2	4
13	в том что	4	3
14	всяком случае не	1	3
15	в связи с	2	3
16	тем не менее	2	3
17	так или иначе	1	3
18	той или иной	13	2
19	и связанные с	2	2
20	между этими двумя	1	2
21	нет для него	1	2
22	на то что	1	2
23	таким образом в	4	2
24	с самого начала	1	2
25	с одним из	1	2
26	то или иное	1	2
27	то ни было	1	2
28	этой точки зрения	1	2
29	можно сказать что	1	2
30	бы то ни	1	2
31	в этом отношении	2	2
32	то же время	15	2
33	в то же	15	2
34	влечет за собой	1	2
35	с этой точки	1	2
36	но все это	1	2
37	и в этом	2	2
38	может быть и	2	2
39	мы видели что	1	1
40	сами по себе	1	1
41	так и в	5	1
42	и некоторые другие	1	1
43	на каждом шагу	2	1
44	сих пор не	2	1
45	в первом случае	2	1
46	точки зрения а	1	1
47	особенно важное значение	1	1
48	все более и	1	1
49	именно потому что	1	1
50	в свою очередь	3	1
51	а между тем	2	1
52	не только не	2	1
53	иметь в виду	1	1
54	может и не	1	1
55	но в то	6	1
56	речь идет о	1	1
57	ни с одним	1	1
58	глубокие различия между	1	1
59	один из этих	1	1
60	мы видим что	1	1
61	до известной степени	3	1
62	не может быть	11	1
63	в особый самостоятельный	1	1
64	по отношению к	2	1
65	и в то	6	1
66	и заставляет их	1	1
67	в данном случае	3	1
68	мы имеем в	1	1
69	в отличие от	12	1
70	же время он	1	1
71	и не могут	2	1
72	а в том	1	1
73	а не как	2	1
74	и заставляет его	1	1
75	только в одном	1	1
76	тем или иным	1	1
77	на задний план	1	1
78	не может не	5	1
79	имеем в виду	1	1
80	в широком смысле	3	1
81	и в сущности	4	1
82	тот факт что	1	1
83	в одном из	1	1
84	а следовательно и	2	1
85	совершенно иное значение	1	1
86	но с другой	1	1
87	с другой стороны	5	1
88	тем и другим	2	1
89	по всей вероятности	3	1
90	утверждать что в	1	1
91	мы уже говорили	1	1
92	даже там где	1	1
93	перестает быть тем	2	1
94	в то время	2	1
95	и в смысле	1	1
96	здесь таким образом	1	1
97	обстоит дело с	1	1
98	более и более	1	1
99	но по существу	2	1
100	не только как	1	1
101	никогда не могут	1	1
