N	2gram	Losev_Prob	IolandNe
1	и с	11	3
2	что в	11	2
3	самого себя	4	2
4	он не	10	2
5	ничего не	4	2
6	и не	56	2
7	в этом	25	2
8	говорить о	7	1
9	все эти	14	1
10	для того	5	1
11	и очень	6	1
12	а в	9	1
13	и о	8	1
14	же это	2	1
15	к нам	1	1
16	это было	4	1
17	и та	1	1
18	что для	4	1
19	для него	4	1
20	не остается	1	1
21	вплоть до	3	1
22	при такой	1	1
23	тем что	8	1
24	только что	4	1
25	бы его	2	1
26	от нее	2	1
27	а если	1	1
28	того же	2	1
29	нам в	2	1
30	не так	8	1
31	и др	1	1
32	его произведения	1	1
33	первую очередь	3	1
34	жизни и	7	1
35	пушкина и	3	1
36	и идей	2	1
37	с другой	14	1
38	но когда	3	1
39	и гоголя	1	1
40	этого все	1	1
41	в целом	9	1
42	он с	1	1
43	точно и	1	1
44	значительной мере	2	1
45	нее и	1	1
46	другой стороны	11	1
47	я не	1	1
48	себя в	4	1
49	нечто и	1	1
50	произведения и	2	1
51	могло бы	3	1
52	то и	9	1
53	и еще	2	1
54	в первую	3	1
55	что при	5	1
56	как только	3	1
57	если бы	9	1
58	в руки	1	1
59	следующим образом	1	1
60	в художественном	5	1
61	по существу	2	1
62	и сам	6	1
63	того что	10	1
64	них не	1	1
65	а с	2	1
66	только для	1	1
67	по поводу	3	1
68	так то	2	1
69	и тот	2	1
70	писателя а	1	1
71	а также	6	1
72	так и	16	1
73	автора и	1	1
74	в основе	3	1
75	в значительной	2	1
76	без этого	3	1
77	следовательно в	1	1
78	о ней	3	1
79	эти произведения	1	1
80	от этого	1	1
81	и занимается	1	1
82	того чтобы	4	1
83	и без	9	1
84	а для	1	1
85	другое дело	5	1
86	не заставлял	1	1
87	бы в	3	1
88	и ничего	1	1
89	не дает	1	1
90	есть только	5	1
91	и в	62	1
92	никогда не	7	1
93	и и	1	1
94	все это	9	1
95	со всеми	1	1
96	на котором	2	1
97	нисколько не	2	1
98	как о	6	1
99	в них	6	1
