N	4gram	Bakhtin_Pr	Literetu
1	в то же время	10	21
2	с этой точки зрения	1	5
3	бы то ни было	2	4
4	в том числе и	1	3
5	но с другой стороны	2	3
6	дело в том что	1	2
7	которые могли бы быть	1	2
8	то же время не	3	2
9	в целом ряде других	2	1
10	именно в том что	2	1
11	к себе самому и	1	1
12	а не так как	1	1
13	и не может быть	1	1
14	нет и не может	1	1
15	и в то же	3	1
16	одного и того же	1	1
17	все новые и новые	1	1
18	с точки зрения которого	1	1
19	в одном из своих	1	1
20	в том что он	4	1
21	от первого лица в	1	1
22	не тем что он	1	1
23	не имеет ничего общего	1	1
24	и в целом ряде	2	1
25	имеет ничего общего с	1	1
26	о если бы я	1	1
27	в той или иной	2	1
28	но в то же	5	1
29	какой бы то ни	1	1
30	бы там ни было	1	1
31	не слышат друг друга	1	1
