N	3gram	Propp_Isto	Komedia
1	в том что	8	29
2	к тому же	4	21
3	до сих пор	7	16
4	о том что	3	13
5	в то время	2	11
6	в свою очередь	1	10
7	по отношению к	2	9
8	вместе с тем	1	9
9	с одной стороны	2	9
10	то время как	2	9
11	с другой стороны	10	8
12	так или иначе	1	7
13	с самого начала	1	7
14	во всяком случае	2	7
15	в том числе	1	6
16	в связи с	5	6
17	с точки зрения	1	6
18	после того как	3	6
19	что он не	1	5
20	к этому времени	1	5
21	то же самое	1	5
22	и т д	30	5
23	за то что	1	5
24	тем не менее	6	5
25	в одном из	2	4
26	в обоих случаях	1	4
27	т е в	2	4
28	к тому что	1	4
29	но все же	5	4
30	не в состоянии	1	4
31	по сравнению с	2	4
32	независимо от того	2	4
33	можно было бы	2	4
34	обстоит дело с	1	4
35	что и в	3	4
36	то что он	1	3
37	друг от друга	1	3
38	и столь же	1	3
39	друг с другом	2	3
40	в соответствии с	1	3
41	из своего дома	1	3
42	хотя и не	1	3
43	иначе обстоит дело	1	3
44	о том чтобы	1	3
45	сих пор не	1	3
46	равно как и	1	3
47	на то что	4	3
48	но и в	2	3
49	в чем же	1	3
50	в этой связи	1	3
51	в другой раз	1	3
52	состоит в том	2	3
53	наряду с этим	2	3
54	то обстоятельство что	1	3
55	и даже не	1	2
56	в большинстве случаев	2	2
57	один шаг до	1	2
58	вполне возможно что	1	2
59	у нас в	1	2
60	с этой точки	1	2
61	сравним с этим	1	2
62	таким же образом	1	2
63	как и в	2	2
64	ухода из дома	1	2
65	в доме у	1	2
66	в зависимости от	1	2
67	точно так же	8	2
68	том что в	2	2
69	с тех пор	1	2
70	видеть в нем	1	2
71	и в том	1	2
72	в тех случаях	2	2
73	друг друга и	1	2
74	но и здесь	1	2
75	этой точки зрения	1	2
76	не означает что	1	2
77	и тем что	2	2
78	таким образом и	2	2
79	подобно тому как	3	2
80	так же как	7	2
81	не только в	3	2
82	не входил в	1	2
83	стало ясно что	1	2
84	отцом и сыном	1	2
85	мы имеем в	4	2
86	в этом случае	8	2
87	как мы видели	7	2
88	тех случаях когда	2	2
89	тем более что	1	2
90	берет на себя	2	2
91	к этому же	2	2
92	при жизни так	1	1
93	должны были бы	1	1
94	время от времени	1	1
95	а в другом	2	1
96	но и не	1	1
97	остается предположить что	1	1
98	соответствии с этим	1	1
99	в пределах этой	1	1
100	с этим и	1	1
101	о чем говорилось	1	1
102	на столе и	1	1
103	но вместе с	1	1
104	не может быть	4	1
105	в согласии с	1	1
106	несмотря на то	1	1
107	один из них	1	1
108	имеется в виду	1	1
109	можно сказать что	2	1
110	здесь не только	1	1
111	имеем дело с	1	1
112	они должны были	1	1
113	потому что как	1	1
114	принимает уродливые формы	1	1
115	что он так	1	1
116	здесь мы видим	1	1
117	в плен в	1	1
118	высказывает предположение что	1	1
119	еще тем что	1	1
120	некоторый свет на	1	1
121	ему все что	1	1
122	к заключению что	1	1
123	его на своей	1	1
124	но он не	1	1
125	и если бы	1	1
126	друг друга в	1	1
127	предположить что они	2	1
128	три года до	1	1
129	уходит из дому	1	1
130	ничего общего с	1	1
131	смысле этого слова	3	1
132	в соединении с	1	1
133	только до известного	1	1
134	что в нем	1	1
135	бросается в глаза	1	1
136	остается то что	1	1
137	и прежде всего	1	1
138	в данном случае	6	1
139	к входной двери	1	1
140	но если бы	1	1
141	мы узнаем что	1	1
142	она не могла	1	1
143	что действующие лица	1	1
144	так что он	1	1
145	на поле битвы	1	1
146	мы уже знаем	3	1
147	следующим образом на	1	1
148	в других случаях	2	1
149	но в этом	1	1
150	в этот момент	1	1
151	и и толстой	2	1
152	по этому поводу	1	1
153	к ним в	1	1
154	это вовсе не	1	1
155	нет никаких препятствий	1	1
156	и в его	1	1
157	для нас важно	1	1
158	и по существу	1	1
159	только в связи	2	1
160	в одном случае	5	1
161	с этим же	1	1
162	следовательно не в	1	1
163	но больше всего	1	1
164	и не может	1	1
165	мы имеем дело	1	1
166	заставляет себя ждать	1	1
167	тому что в	1	1
168	можно полагать что	1	1
169	при этом они	1	1
170	вопрос почему в	1	1
171	т д все	1	1
172	и не всегда	1	1
173	на задний план	1	1
174	но прежде всего	1	1
175	т е к	2	1
176	что и она	1	1
177	то что и	1	1
178	он должен быть	1	1
179	к ней в	1	1
180	его на волю	1	1
181	только после того	2	1
182	в его распоряжение	1	1
183	именно в этой	1	1
184	с того что	2	1
185	со стороны мужа	1	1
186	что у нее	1	1
187	этот вопрос не	1	1
188	но он уже	1	1
189	мы увидим что	2	1
190	несколько иначе обстоит	1	1
191	же самое что	1	1
192	мы и здесь	1	1
193	может быть в	1	1
194	в некоторых случаях	6	1
195	приведем несколько примеров	3	1
196	не видно и	1	1
197	образом и здесь	1	1
198	связи с этим	1	1
199	и с радостью	1	1
200	на этот вопрос	1	1
201	еще больше чем	1	1
202	ни один из	2	1
203	и здесь мы	2	1
204	начинается с того	2	1
205	не заставляет себя	1	1
206	в этом стремлении	1	1
207	выйти замуж за	1	1
208	своих детей и	1	1
209	не что иное	6	1
210	но и во	1	1
211	состоял в том	1	1
212	в центре внимания	1	1
213	одной стороны он	1	1
214	следить за тем	1	1
215	очень важный для	1	1
216	и ничего не	1	1
217	по содержанию и	1	1
218	до нашей эры	1	1
219	что и здесь	2	1
220	но это еще	1	1
221	может привести к	1	1
222	же как мы	1	1
223	могли быть и	1	1
224	возможно что в	1	1
225	в этом доме	3	1
226	сюда же можно	1	1
227	же как и	3	1
228	мы ничего не	1	1
229	в дом и	1	1
230	дело следовательно не	1	1
231	тем что он	1	1
232	однако еще не	1	1
233	что под этим	1	1
234	же в этих	1	1
235	по этому вопросу	1	1
236	что указывает на	1	1
237	что иное как	6	1
238	не всю жизнь	1	1
239	и устраивает ему	1	1
240	этом случае в	1	1
241	если это делает	1	1
242	его дочери и	2	1
243	выясняется что он	1	1
244	гораздо важнее что	1	1
245	что в некоторых	3	1
246	и не только	1	1
247	согласии с этим	1	1
248	этим объясняется что	1	1
249	с ней в	1	1
250	с собой в	1	1
251	мы не можем	1	1
252	в другом случае	3	1
