N	2gram	Kanaev_Sov	Narrotol
1	не только	4	62
2	и не	6	50
3	при этом	3	47
4	а не	3	38
5	может быть	12	30
6	и в	7	30
7	в том	4	29
8	в этом	7	28
9	том что	1	28
10	а в	4	27
11	такого рода	2	26
12	только в	1	25
13	в данном	1	24
14	как и	6	24
15	не в	3	23
16	не может	17	20
17	в себе	3	17
18	данном случае	1	17
19	в его	2	16
20	и т.п	1	15
21	но в	3	15
22	и его	1	14
23	то же	3	13
24	уже не	2	13
25	о том	1	13
26	в своем	1	13
27	у него	2	13
28	времени и	2	13
29	все же	3	12
30	как бы	4	12
31	прежде всего	5	12
32	по отношению	1	11
33	хотя и	1	11
34	в мире	1	11
35	если бы	1	11
36	в этой	3	11
37	в нем	3	11
38	жизни в	1	11
39	в отличие	2	11
40	отличие от	2	11
41	отношению к	1	11
42	один из	1	10
43	никогда не	1	10
44	точки зрения	12	10
45	в то	1	10
46	и все	3	10
47	не является	1	10
48	жизни и	4	10
49	с его	1	10
50	ничего не	6	10
51	но не	1	10
52	и т.д	3	10
53	тем не	2	9
54	той или	1	9
55	отнюдь не	3	9
56	что в	2	9
57	с ним	1	9
58	еще не	3	9
59	и к	3	8
60	в самом	2	8
61	в таком	2	8
62	не менее	2	8
63	одна из	3	8
64	он не	1	8
65	самом деле	2	8
66	мы имеем	1	8
67	же время	1	8
68	и для	1	8
69	у нас	3	8
70	или иной	2	8
71	с другой	1	7
72	в конце	3	7
73	же в	1	7
74	в свою	2	7
75	это не	4	7
76	или в	1	7
77	в ней	1	7
78	одного из	1	7
79	в целом	4	7
80	все что	1	6
81	в результате	6	6
82	между двумя	1	6
83	сказать что	1	6
84	в нашем	2	6
85	с одной	2	6
86	в конечном	1	6
87	на другой	1	6
88	известном смысле	1	6
89	во втором	1	6
90	таким образом	11	6
91	в известном	1	6
92	то и	2	6
93	из этих	2	6
94	они не	1	6
95	как у	1	6
96	одной стороны	1	6
97	в своих	1	5
98	и даже	2	5
99	именно в	1	5
100	свою очередь	2	5
101	в другом	1	5
102	в одном	3	5
103	он сам	1	5
104	точка зрения	1	5
105	из них	4	5
106	к нему	1	5
107	от его	1	5
108	не было	1	5
109	но для	1	5
110	так сказать	2	5
111	между собой	3	5
112	точку зрения	4	5
113	и от	1	5
114	с ее	1	5
115	что это	2	5
116	их в	4	5
117	и у	1	5
118	том как	1	5
119	вследствие этого	1	5
120	было бы	3	5
121	мы не	9	5
122	на самом	1	5
123	о жизни	2	5
124	в какой	1	5
125	в начале	1	5
126	еще в	1	5
127	не случайно	1	5
128	еще раз	1	4
129	по себе	1	4
130	в первом	3	4
131	все его	1	4
132	конечном счете	1	4
133	роль в	2	4
134	когда в	1	4
135	которой он	2	4
136	только на	1	4
137	но они	1	4
138	к этому	1	4
139	несмотря на	1	4
140	в третьем	2	4
141	не будет	1	4
142	другой день	1	4
143	и по	2	4
144	на ее	1	4
145	собственно и	1	4
146	это уже	1	4
147	со всеми	2	4
148	вместе с	4	4
149	не имеет	1	4
150	которая не	1	4
151	в обоих	1	4
152	всяком случае	2	4
153	во всяком	2	4
154	для нас	3	4
155	а на	2	4
156	так в	1	4
157	в области	3	4
