N	3gram	Tiupa_Disk	Mirosoze
1	не может быть	5	28
2	добра и зла	1	10
3	в том что	18	9
4	а не в	2	9
5	это и есть	1	9
6	вместе с тем	1	6
7	о том что	8	6
8	до сих пор	1	5
9	на этом пути	1	5
10	прежде всего в	2	5
11	что он не	1	4
12	по отношению к	13	4
13	заключает в себе	1	4
14	потому что в	2	4
15	в нем нет	1	4
16	никогда не было	1	4
17	на то что	1	4
18	как будто бы	2	3
19	том что он	1	3
20	а не только	2	3
21	в своем творчестве	1	3
22	был прежде всего	1	3
23	в мире и	1	3
24	как и все	1	3
25	в значительной степени	3	3
26	во всяком случае	2	3
27	также и в	1	3
28	как и в	3	3
29	в этом направлении	1	2
30	не только в	2	2
31	хотя бы и	1	2
32	он не может	1	2
33	в е годы	2	2
34	по природе своей	6	2
35	человек не мог	1	2
36	между тем как	1	2
37	но для этого	1	2
38	в чем не	1	2
39	том что в	3	2
40	но также и	1	2
41	в россии в	1	2
42	в наше время	4	2
43	к которому он	1	2
44	и не может	3	2
45	и те же	1	2
46	место в творчестве	1	2
47	тем что он	2	2
48	подобно тому как	4	2
49	не могут быть	1	2
50	по своей природе	3	2
51	в этом отношении	4	2
52	ни в чем	1	2
53	не было в	3	1
54	и мир в	1	1
55	и заключается в	1	1
56	не могу не	1	1
57	на том что	1	1
58	во всех его	1	1
59	в xix веке	1	1
60	ставил и решал	1	1
61	одни и те	1	1
62	в этот период	1	1
63	в самом деле	1	1
64	природе своей не	1	1
65	в своей основе	1	1
66	было в том	1	1
67	в строгом смысле	1	1
68	не несет в	1	1
69	друг на друга	1	1
70	во втором случае	1	1
71	на этом основании	1	1
72	сам по себе	1	1
73	не в том	3	1
74	в том случае	1	1
75	и не должно	1	1
76	речь идет о	2	1
77	в этом мире	2	1
78	в отличие от	12	1
79	тех случаях когда	1	1
80	не только о	1	1
81	может быть названа	1	1
82	но и от	1	1
83	не может существовать	1	1
84	одной из сторон	1	1
85	чем у пушкина	1	1
86	несмотря на все	1	1
87	с другой стороны	4	1
88	свет и на	1	1
89	друга и каждый	1	1
90	не то чтобы	2	1
91	и в том	1	1
92	но не менее	1	1
93	в тех случаях	1	1
94	это ведет к	1	1
95	в чистом виде	1	1
96	и не быть	1	1
97	в действительности это	1	1
98	прежде всего как	1	1
99	в другом и	1	1
100	той или иной	6	1
101	и как бы	5	1
102	прежде всего он	1	1
103	значение не только	1	1
104	не могли быть	1	1
105	не только от	1	1
106	двоится для человека	1	1
107	с точки зрения	3	1
108	а не как	2	1
109	а иногда и	1	1
110	лицом к лицу	2	1
111	определяется не внешними	1	1
112	обращение к богу	1	1
113	в себе страшную	1	1
114	лежит в основании	1	1
115	уже в конце	1	1
116	мир в этом	1	1
117	и не нужна	1	1
118	еще не было	1	1
119	уже как бы	1	1
120	хотя и в	2	1
121	в то же	7	1
122	отличается не только	1	1
123	то же время	9	1
124	на самом деле	1	1
125	тому как в	1	1
126	он сам в	1	1
127	только потому что	1	1
128	к богу и	1	1
129	во всех этих	1	1
130	это прежде всего	3	1
131	еще в одном	2	1
132	и он мог	1	1
133	несет в себе	3	1
134	и все же	3	1
135	том случае если	1	1
136	одной стороны он	1	1
137	та или иная	1	1
138	с одной стороны	12	1
139	то есть к	1	1
140	нет и не	1	1
