N	3gram	Berdyaev_V	KulturaY
1	и т д	2	42
2	в том что	2	33
3	с другой стороны	1	17
4	по крайней мере	1	13
5	вместе с тем	1	9
6	после того как	1	7
7	хотя бы и	1	6
8	так и в	1	5
9	и в этом	1	5
10	но все же	1	5
11	д и т	1	4
12	том что он	2	4
13	к тому что	3	4
14	т д и	1	4
15	что я не	1	3
16	в конце концов	1	3
17	вместо того чтобы	2	3
18	и вместе с	1	3
19	в известном смысле	1	3
20	с тем чтобы	1	3
21	не могут быть	1	3
22	в вопросе о	2	2
23	против того что	1	2
24	потому что оно	1	2
25	бы то ни	1	2
26	то что мы	3	2
27	по сравнению с	1	2
28	это еще не	2	2
29	оно не имеет	1	1
30	уже не с	1	1
31	все это как	1	1
32	в первый раз	3	1
33	имеет своим предметом	1	1
34	все равно не	1	1
35	есть еще и	1	1
36	и все это	1	1
37	во что бы	1	1
38	что не в	1	1
39	бы и не	2	1
40	и никогда не	1	1
41	это не было	1	1
42	является и будет	1	1
43	есть одна из	1	1
44	и в вопросе	1	1
45	на этом пути	1	1
46	то ни стало	1	1
47	я думаю что	1	1
48	того что он	1	1
49	между тем если	1	1
50	но прежде всего	1	1
51	лишь в процессе	1	1
52	есть один из	1	1
53	но и в	2	1
54	получается в результате	1	1
55	но в нем	1	1
56	как и в	1	1
57	и не было	1	1
58	речь идет конечно	1	1
59	не было для	1	1
60	не в силах	2	1
61	не будет уже	2	1
62	и в русском	1	1
63	что бы то	1	1
64	другой стороны в	1	1
65	все тот же	2	1
66	да и то	1	1
67	в этих словах	1	1
68	я говорю тебе	1	1
69	есть прежде всего	1	1
70	нет и что	1	1
71	и что ты	1	1
72	не могут и	1	1
73	то что я	2	1
74	a с другой	1	1
