N	4gram	Vygotskiy_	FransuaR
1	в то же время	2	55
2	в том числе и	1	17
3	дело в том что	1	13
4	и до наших дней	1	5
5	с одной стороны и	1	5
6	одной и той же	5	4
7	в связи с этим	1	4
8	один и тот же	2	4
9	и не может быть	1	4
10	одного и того же	1	3
11	не что иное как	2	3
12	есть не что иное	1	3
13	а с другой стороны	1	2
14	с другой стороны в	1	2
15	заключается в том что	7	2
16	бы то ни было	1	2
17	ни на что не	1	2
18	совершенно так же как	1	2
19	на том же самом	2	2
20	и в том что	1	2
21	в узком смысле слова	1	2
22	ни в коем случае	1	2
23	все дело в том	1	2
24	может быть отнесена к	1	2
25	одним и тем же	1	2
26	так же как и	2	2
27	в том или ином	1	2
28	никогда не может быть	2	1
29	на вопрос о том	1	1
30	смысл и значение в	1	1
31	мы найдем целый ряд	1	1
32	что на самом деле	1	1
33	с таким расчетом чтобы	2	1
34	что с точки зрения	1	1
35	в первом случае мы	1	1
36	в том что в	1	1
37	на самом деле нет	1	1
38	о том что он	1	1
39	в то время как	6	1
40	с точки зрения их	1	1
41	и в самом деле	3	1
42	мы не в состоянии	1	1
43	то же самое что	2	1
44	с новой точки зрения	2	1
45	в основе его лежит	1	1
46	то же что и	1	1
47	в искусстве и в	1	1
48	всех времен и народов	1	1
49	что в основе этого	1	1
50	именно потому что она	1	1
51	трудно провести границу между	1	1
52	одно и то же	1	1
53	в особенности тогда когда	1	1
54	мы не знаем но	1	1
55	так же трудно как	1	1
56	одном и том же	1	1
57	же как и в	2	1
58	во всяком случае в	2	1
59	заключается в том чтобы	4	1
60	друг к другу и	1	1
61	ни в одну из	1	1
62	в том что все	1	1
63	беда в том что	2	1
64	состоит в том что	1	1
65	рассказывает о том как	1	1
66	в силу того что	3	1
67	в конце концов оказывается	1	1
68	их с точки зрения	1	1
69	совершенно правильно указывает что	1	1
70	в том случае если	2	1
71	в том что она	4	1
72	идет не только о	1	1
73	прежде всего тем что	1	1
74	до сих пор недостаточно	1	1
75	вместе с тем и	1	1
76	том же самом месте	1	1
77	эпохи в том числе	1	1
78	и в основе своей	1	1
79	есть в конечном счете	1	1
80	то мы увидим что	1	1
81	если мы обратимся к	1	1
82	ни дать ни взять	1	1
83	сам по себе и	1	1
84	так же точно и	3	1
85	он не только не	2	1
86	в том что он	1	1
87	в те времена когда	1	1
88	но вместе с тем	1	1
89	это имеет в виду	1	1
90	из того факта что	1	1
91	самую существенную роль в	1	1
92	это в самом деле	1	1
93	особую точку зрения на	1	1
94	не в том что	1	1
95	проникать во все тайны	1	1
96	может быть в них	1	1
97	свою особую точку зрения	1	1
