N	3gram	Losev_Dial	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	25	9
4	в том что	12	7
5	на самом деле	1	6
6	во всяком случае	3	6
7	для того чтобы	1	6
8	до сих пор	1	5
9	не может быть	12	4
10	на то что	3	4
11	более или менее	1	4
12	бы то ни	2	4
13	во что бы	1	3
14	что бы то	1	3
15	той или иной	2	3
16	в конце концов	1	3
17	в данном случае	3	3
18	в лучшем случае	2	3
19	и то что	1	3
20	не может не	3	3
21	и не может	1	3
22	то ни стало	1	3
23	и в том	1	2
24	ни одна из	1	2
25	того или иного	3	2
26	тот факт что	1	2
27	и во всяком	1	2
28	точно так же	3	2
29	о том что	6	2
30	не могут не	1	2
31	сама по себе	11	2
32	к тому что	2	2
33	а следовательно и	1	2
34	ни к чему	1	2
35	это потому что	1	2
36	друг от друга	1	2
37	она не может	1	2
38	из которых каждый	1	2
39	и вместе с	1	2
40	необходимо иметь в	1	1
41	но при этом	1	1
42	в самом деле	6	1
43	даже тогда когда	1	1
44	в силу этого	3	1
45	уже не на	1	1
46	говорить не о	1	1
47	на точку зрения	1	1
48	лишь тогда когда	1	1
49	причем все это	1	1
50	и как бы	2	1
51	и в частности	2	1
52	что оно есть	1	1
53	за то что	1	1
54	с тою разницей	1	1
55	о котором мы	1	1
56	но в то	1	1
57	речь идет о	1	1
58	это конечно не	1	1
59	заключается не в	1	1
60	и на нем	1	1
61	к чему не	1	1
62	именно так как	1	1
63	так же как	2	1
64	его жизни и	1	1
65	тех или иных	2	1
66	и таким образом	1	1
67	и прежде всего	6	1
68	есть то что	8	1
69	от того что	4	1
70	тою разницей что	1	1
71	по крайней мере	10	1
72	прежде всего в	1	1
73	мы ведь уже	1	1
74	эта точка зрения	1	1
75	точки зрения в	2	1
76	и ни от	2	1
77	заключается в том	1	1
78	с самого начала	1	1
79	и то и	1	1
80	на том же	1	1
81	и что в	1	1
82	то ни было	1	1
83	на точке зрения	1	1
84	из всего этого	1	1
85	в этом вопросе	1	1
86	совершенно ясно что	1	1
87	что же будет	1	1
88	прежде всего с	1	1
89	и вопрос о	1	1
90	о себе самом	1	1
91	представить себе что	1	1
92	он не может	3	1
93	в связи с	3	1
94	то же самое	1	1
95	в этих последних	1	1
96	что с точки	2	1
97	тем не менее	10	1
98	от церкви и	1	1
99	того и другого	1	1
100	только то что	1	1
101	как же может	1	1
102	он с особенной	1	1
103	в себе черты	1	1
104	в этом отношении	2	1
105	перед нами не	1	1
106	вопрос о том	1	1
107	в применении к	1	1
108	и не только	5	1
109	представление о себе	1	1
110	богом а не	1	1
111	постольку поскольку она	1	1
112	что он есть	4	1
113	это и есть	4	1
114	может быть ибо	1	1
115	он всегда будет	1	1
116	но даже и	3	1
117	того ни другого	1	1
118	только в виде	1	1
119	ни того ни	1	1
120	то и другое	2	1
121	зависит от того	1	1
122	тот или иной	2	1
123	от всякого другого	5	1
124	к тому же	2	1
125	которую можно назвать	1	1
126	того что не	2	1
127	и в этом	4	1
128	должно быть и	2	1
129	не вникая в	1	1
130	отнюдь не должны	1	1
